epoch,rule_variant,error_broadcast_mode,parameter_name,component,numel,cosine_similarity,local_grad_norm,backprop_grad_norm,norm_ratio
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.23463365366140806,1.5104423255252186e-05,2.114862945745699e-05,0.7142033752793849
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.17411064659935044,5.1099457778036594e-05,6.165588274598122e-05,0.8287847756519637
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.2136062055477982,1.9252231140853837e-05,2.8356420443742536e-05,0.6789372622017601
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.1384119306056703,0.0021956174168735743,0.015385887585580349,0.14270333151196316
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8513658883162742,0.0023612126242369413,0.0032473388127982616,0.7271223483684293
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9990228656285136,5.042859265813604e-05,2.9166605600039475e-05,1.7289838804239843
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,0.9999999911224919,0.09387993812561035,0.035207536071538925,2.666472823664436
2,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,0.9999999769830475,0.015037855133414268,0.005639605689793825,2.6664727922312514
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.18450821672381276,0.0011154907988384366,0.001170152798295021,0.9532864421727517
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.36141132020846206,0.00037141211214475334,0.00025596882915124297,1.451005233431348
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.10081257773383417,0.0018536923453211784,0.011667286045849323,0.15887948044453373
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.7970606966171995,0.005629530176520348,0.0043504019267857075,1.2940253038609923
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.32159976948063157,1.1121300303784665e-05,3.714843114721589e-05,0.2993746885389928
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.24645715312355562,3.922708492609672e-05,0.00011964095756411552,0.3278733754467117
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.20002967744842598,1.768408401403576e-05,6.12194708082825e-05,0.28886371430018204
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.11046070908765893,0.0008406242122873664,0.023689772933721542,0.035484688460448825
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8133928987622641,0.0027160546742379665,0.008062005043029785,0.33689568034310596
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9996037136887164,8.262430492322892e-05,7.22341937944293e-05,1.1438392185081976
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,1.000000004121461,0.09510303288698196,0.04755152016878128,1.9999998432735575
6,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,0.999999970888722,0.02810566872358322,0.014052833430469036,2.0000001324035583
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.18450821924185626,0.001114990678615868,0.001170152798295021,0.9528590448081768
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.3614113058203819,0.00037124560913071036,0.00025596882915124297,1.4503547518319102
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.10081266442373897,0.001852861256338656,0.011667286045849323,0.15880824802774157
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.7970607169262883,0.00562700629234314,0.0043504019267857075,1.2934451542060632
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.32127831753191977,7.862980965001043e-06,3.714843114721589e-05,0.2116638714075673
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.24643542320252787,2.773432970570866e-05,0.00011964095756411552,0.23181300148849818
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.19995321038902752,1.2502999197749887e-05,6.12194708082825e-05,0.20423239254505188
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.11046032700651597,0.0005943384021520615,0.023689772933721542,0.02508839589935257
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8133929492124438,0.0019203047268092632,0.008062005043029785,0.2381919530342294
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9994811362366398,4.77009525639005e-05,7.22341937944293e-05,0.6603652563671852
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,0.9999999669136599,0.05490522086620331,0.04755152016878128,1.15464701591381
6,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,1.0000000514420015,0.016226062551140785,0.014052833430469036,1.1546470418417651
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.18450824917667588,0.00164989463519305,0.001170152798295021,1.409982214448453
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.361412568035245,0.0005493463831953704,0.00025596882915124297,2.146145618084753
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.10081250884640569,0.0027417498640716076,0.011667286045849323,0.2349946554033446
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.7970607006568138,0.008326497860252857,0.0043504019267857075,1.913960594553829
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.32198849458564216,2.2239868485485204e-05,3.714843114721589e-05,0.598675830983946
