seed,reliability_heterogeneity,method,population_loss_after_one_step,population_loss_decrease,expected_guaranteed_decrease,mean_attenuation,attenuation_reliability_correlation
7007,1.5,explicit_point_gate,0.4422023677,3.557797632,3.087026034,0.5,1
7007,2,no_shunting,3.137685857,0.8623141425,0,1,0
7007,2,best_global_gain,1.622493918,2.377506082,2,0.5,0
7007,2,reliability_aligned,0.6026883861,3.397311614,3.428844371,0.5,1
7007,2,shuffled_shunting,1.657126328,2.342873672,2.621294603,0.5,0.47952893
7007,2,anti_aligned_shunting,4.893681289,-0.8936812888,-2.286533112,0.5,-1
7007,2,explicit_point_gate,0.6026883861,3.397311614,3.428844371,0.5,1
7008,0,no_shunting,3.673933419,0.3260665812,0,1,0
7008,0,best_global_gain,2.327779822,1.672220178,2,0.5,0
7008,0,reliability_aligned,2.327779822,1.672220178,2,0.5,0
7008,0,shuffled_shunting,2.327779822,1.672220178,2,0.5,0
7008,0,anti_aligned_shunting,2.327779822,1.672220178,2,0.5,0
7008,0,explicit_point_gate,2.327779822,1.672220178,2,0.5,0
7008,0.5,no_shunting,3.352304956,0.6476950441,-2.220446049e-16,1,0
7008,0.5,best_global_gain,1.446709425,2.553290575,2,0.5,0
7008,0.5,reliability_aligned,1.297759029,2.702240971,2.197496878,0.5,1
7008,0.5,shuffled_shunting,1.173589573,2.826410427,2.065715928,0.5,0.6432407017
7008,0.5,anti_aligned_shunting,1.975997999,2.024002001,1.407509367,0.5,-1
7008,0.5,explicit_point_gate,1.297759029,2.702240971,2.197496878,0.5,1
7008,1,no_shunting,3.613252171,0.3867478288,8.881784197e-16,1,0
7008,1,best_global_gain,1.997640388,2.002359612,2,0.5,0
7008,1,reliability_aligned,2.051229828,1.948770172,2.63926014,0.5,1
7008,1,shuffled_shunting,2.984221357,1.015778643,1.414476872,0.5,0.020939905
7008,1,anti_aligned_shunting,3.116776509,0.883223491,0.08221958092,0.5,-1
7008,1,explicit_point_gate,2.051229828,1.948770172,2.63926014,0.5,1
7008,1.5,no_shunting,3.695113571,0.3048864289,-8.881784197e-16,1,0
7008,1.5,best_global_gain,1.56954933,2.43045067,2,0.5,0
7008,1.5,reliability_aligned,0.9455754079,3.054424592,3.087026034,0.5,1
7008,1.5,shuffled_shunting,2.396476729,1.603523271,1.442115442,0.5,0.1400622921
7008,1.5,anti_aligned_shunting,4.581647083,-0.5816470829,-1.261078101,0.5,-1
7008,1.5,explicit_point_gate,0.9455754079,3.054424592,3.087026034,0.5,1
7008,2,no_shunting,3.05382669,0.94617331,0,1,0
7008,2,best_global_gain,2.153078308,1.846921692,2,0.5,0
7008,2,reliability_aligned,0.9227699327,3.077230067,3.428844371,0.5,1
7008,2,shuffled_shunting,2.46881619,1.53118381,2.097618532,0.5,0.3892399524
7008,2,anti_aligned_shunting,5.616632724,-1.616632724,-2.286533112,0.5,-1
7008,2,explicit_point_gate,0.9227699327,3.077230067,3.428844371,0.5,1
7009,0,no_shunting,4.030441543,-0.03044154312,0,1,0
7009,0,best_global_gain,2.619237634,1.380762366,2,0.5,0
7009,0,reliability_aligned,2.619237634,1.380762366,2,0.5,0
7009,0,shuffled_shunting,2.619237634,1.380762366,2,0.5,0
7009,0,anti_aligned_shunting,2.619237634,1.380762366,2,0.5,0
7009,0,explicit_point_gate,2.619237634,1.380762366,2,0.5,0
7009,0.5,no_shunting,5.691151915,-1.691151915,-2.220446049e-16,1,0
7009,0.5,best_global_gain,2.9507703,1.0492297,2,0.5,0
7009,0.5,reliability_aligned,3.092457346,0.9075426542,2.197496878,0.5,1
7009,0.5,shuffled_shunting,3.124485194,0.8755148057,1.932305543,0.5,0.2944984424
7009,0.5,anti_aligned_shunting,3.360839686,0.6391603135,1.407509367,0.5,-1
7009,0.5,explicit_point_gate,3.092457346,0.9075426542,2.197496878,0.5,1
7009,1,no_shunting,5.510999396,-1.510999396,8.881784197e-16,1,0
7009,1,best_global_gain,2.765270466,1.234729534,2,0.5,0
7009,1,reliability_aligned,1.596922784,2.403077216,2.63926014,0.5,1
7009,1,shuffled_shunting,2.39572724,1.60427276,1.303439321,0.5,-0.07906165775
7009,1,anti_aligned_shunting,4.741555943,-0.7415559432,0.08221958092,0.5,-1
7009,1,explicit_point_gate,1.596922784,2.403077216,2.63926014,0.5,1
7009,1.5,no_shunting,8.029291041,-4.029291041,-8.881784197e-16,1,0
7009,1.5,best_global_gain,3.022925181,0.977074819,2,0.5,0
7009,1.5,reliability_aligned,1.222673099,2.777326901,3.087026034,0.5,1
7009,1.5,shuffled_shunting,8.393074707,-4.393074707,-0.2433327507,0.5,-0.6749217598
7009,1.5,anti_aligned_shunting,8.53987124,-4.53987124,-1.261078101,0.5,-1
7009,1.5,explicit_point_gate,1.222673099,2.777326901,3.087026034,0.5,1
7009,2,no_shunting,1.826835859,2.173164141,0,1,0
7009,2,best_global_gain,1.668917867,2.331082133,2,0.5,0
7009,2,reliability_aligned,0.7871815958,3.212818404,3.428844371,0.5,1
7009,2,shuffled_shunting,3.403447579,0.596552421,-0.5764523718,0.5,-0.4256206203
7009,2,anti_aligned_shunting,4.437509779,-0.4375097785,-2.286533112,0.5,-1
7009,2,explicit_point_gate,0.7871815958,3.212818404,3.428844371,0.5,1
7010,0,no_shunting,2.797204124,1.202795876,0,1,0
7010,0,best_global_gain,1.900767625,2.099232375,2,0.5,0
7010,0,reliability_aligned,1.900767625,2.099232375,2,0.5,0
7010,0,shuffled_shunting,1.900767625,2.099232375,2,0.5,0
7010,0,anti_aligned_shunting,1.900767625,2.099232375,2,0.5,0
7010,0,explicit_point_gate,1.900767625,2.099232375,2,0.5,0
7010,0.5,no_shunting,5.011183212,-1.011183212,-2.220446049e-16,1,0
7010,0.5,best_global_gain,2.913620074,1.086379926,2,0.5,0
7010,0.5,reliability_aligned,2.694087389,1.305912611,2.197496878,0.5,1
7010,0.5,shuffled_shunting,3.482007113,0.5179928869,1.718655254,0.5,-0.2220082009
7010,0.5,anti_aligned_shunting,3.304750211,0.6952497885,1.407509367,0.5,-1
7010,0.5,explicit_point_gate,2.694087389,1.305912611,2.197496878,0.5,1
7010,1,no_shunting,2.529256048,1.470743952,8.881784197e-16,1,0
7010,1,best_global_gain,2.061338782,1.938661218,2,0.5,0
7010,1,reliability_aligned,1.895636098,2.104363902,2.63926014,0.5,1
7010,1,shuffled_shunting,2.575950205,1.424049795,1.331294414,0.5,-0.02472787954
7010,1,anti_aligned_shunting,2.899228826,1.100771174,0.08221958092,0.5,-1
7010,1,explicit_point_gate,1.895636098,2.104363902,2.63926014,0.5,1
7010,1.5,no_shunting,1.400330331,2.599669669,-8.881784197e-16,1,0
7010,1.5,best_global_gain,1.136787773,2.863212227,2,0.5,0
7010,1.5,reliability_aligned,0.6101328235,3.389867177,3.087026034,0.5,1
7010,1.5,shuffled_shunting,1.562444861,2.437555139,1.517081703,0.5,0.3020778034
7010,1.5,anti_aligned_shunting,2.7583093,1.2416907,-1.261078101,0.5,-1
7010,1.5,explicit_point_gate,0.6101328235,3.389867177,3.087026034,0.5,1
7010,2,no_shunting,1.057467963,2.942532037,0,1,0
7010,2,best_global_gain,1.203360404,2.796639596,2,0.5,0
7010,2,reliability_aligned,0.3406791959,3.659320804,3.428844371,0.5,1
7010,2,shuffled_shunting,1.853090128,2.146909872,0.1872744604,0.5,0.02953866983
7010,2,anti_aligned_shunting,3.844549193,0.1554508068,-2.286533112,0.5,-1
7010,2,explicit_point_gate,0.3406791959,3.659320804,3.428844371,0.5,1
7011,0,no_shunting,1.835757581,2.164242419,0,1,0
7011,0,best_global_gain,2.155981649,1.844018351,2,0.5,0
7011,0,reliability_aligned,2.155981649,1.844018351,2,0.5,0
7011,0,shuffled_shunting,2.155981649,1.844018351,2,0.5,0
7011,0,anti_aligned_shunting,2.155981649,1.844018351,2,0.5,0
7011,0,explicit_point_gate,2.155981649,1.844018351,2,0.5,0
7011,0.5,no_shunting,2.85725472,1.14274528,-2.220446049e-16,1,0
7011,0.5,best_global_gain,1.979800997,2.020199003,2,0.5,0
7011,0.5,reliability_aligned,2.16797883,1.83202117,2.197496878,0.5,1
7011,0.5,shuffled_shunting,2.389085591,1.610914409,1.836017499,0.5,0.06027108533
7011,0.5,anti_aligned_shunting,2.044993783,1.955006217,1.407509367,0.5,-1
7011,0.5,explicit_point_gate,2.16797883,1.83202117,2.197496878,0.5,1
7011,1,no_shunting,1.209913145,2.790086855,8.881784197e-16,1,0
7011,1,best_global_gain,1.286926195,2.713073805,2,0.5,0
7011,1,reliability_aligned,0.9530031105,3.04699689,2.63926014,0.5,1
7011,1,shuffled_shunting,1.325982288,2.674017712,1.734816109,0.5,0.1786974549
7011,1,anti_aligned_shunting,2.451258418,1.548741582,0.08221958092,0.5,-1
7011,1,explicit_point_gate,0.9530031105,3.04699689,2.63926014,0.5,1
7011,1.5,no_shunting,0.8538968625,3.146103138,-8.881784197e-16,1,0
7011,1.5,best_global_gain,1.047171326,2.952828674,2,0.5,0
7011,1.5,reliability_aligned,0.4152063343,3.584793666,3.087026034,0.5,1
7011,1.5,shuffled_shunting,2.094292043,1.905707957,0.01081320487,0.5,-0.6133646102
7011,1.5,anti_aligned_shunting,3.067578375,0.9324216246,-1.261078101,0.5,-1
7011,1.5,explicit_point_gate,0.4152063343,3.584793666,3.087026034,0.5,1
7011,2,no_shunting,1.430236629,2.569763371,0,1,0
7011,2,best_global_gain,1.806557967,2.193442033,2,0.5,0
7011,2,reliability_aligned,0.8220424745,3.177957525,3.428844371,0.5,1
7011,2,shuffled_shunting,2.58388834,1.41611166,0.09588753521,0.5,-0.247225531
7011,2,anti_aligned_shunting,3.734261466,0.2657385341,-2.286533112,0.5,-1
