seed,reliability_heterogeneity,method,step_size,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_final_gain,minimum_input_rate
8206,0,adaptive_local_shunt,23.96819741,0.3943405123,0.3908017509,0.00353876144,0.3443253621,0.3542007747,0.9921875,0.5791363224,0
8206,0,adaptive_global_shunt,23.96819741,0.3943405123,0.3903663524,0.00397415994,0.3438904757,0.3525553164,0.9956054688,0.5739071747,0
8206,0,adaptive_shuffled_shunt,23.96819741,0.3943405123,0.3903871972,0.003953315139,0.3460103704,0.3536773294,0.99609375,0.547507625,0
8206,0,adaptive_point_gate,23.96819741,0.3943405123,0.3908017509,0.00353876144,0.3443253621,0.3542007747,0.9921875,0.5791363224,0
8206,1,exact_clean_bp,23.96819741,0.3943405123,0.3898019636,0.004538548741,0.3305849061,0.3392843037,0.9975585938,1,0
8206,1,noisy_no_shunt,23.96819741,0.3943405123,0.3900502163,0.004290296051,0.339267624,0.3484914525,0.9951171875,1,0
8206,1,initial_oracle_shunt,23.96819741,0.3943405123,0.3906437755,0.003696736768,0.3464490394,0.355584772,0.9921875,0.7598785813,0
8206,1,adaptive_local_shunt,23.96819741,0.3943405123,0.3907779939,0.003562518411,0.3536601291,0.3610020797,0.9946289062,0.4758659104,0
8206,1,adaptive_global_shunt,23.96819741,0.3943405123,0.3907001496,0.003640362663,0.3631495332,0.3703954567,0.9907226562,0.5232457533,0
8206,1,adaptive_shuffled_shunt,23.96819741,0.3943405123,0.3908682984,0.003472213954,0.3566004751,0.3646678395,0.9907226562,0.5341966397,0
8206,1,adaptive_point_gate,23.96819741,0.3943405123,0.3907779939,0.003562518411,0.3536601291,0.3610020797,0.9946289062,0.4758659104,0
8206,2,exact_clean_bp,23.96819741,0.3943405123,0.3898019636,0.004538548741,0.3305849061,0.3392843037,0.9975585938,1,0
8206,2,noisy_no_shunt,23.96819741,0.3943405123,0.3907901728,0.003550339497,0.340489659,0.3524032063,0.9926757812,1,0
8206,2,initial_oracle_shunt,23.96819741,0.3943405123,0.3911820487,0.003158463607,0.3459056682,0.3545642205,0.9946289062,0.6464538489,0
8206,2,adaptive_local_shunt,23.96819741,0.3943405123,0.3906939408,0.003646571498,0.3538178288,0.360034018,0.9970703125,0.621308095,0
8206,2,adaptive_global_shunt,23.96819741,0.3943405123,0.3917543127,0.002586199606,0.3581144862,0.3649480206,0.9970703125,0.1942947816,0
8206,2,adaptive_shuffled_shunt,23.96819741,0.3943405123,0.3893148862,0.005025626117,0.3438702332,0.3546886373,0.994140625,0.6808557815,0
8206,2,adaptive_point_gate,23.96819741,0.3943405123,0.3906939408,0.003646571498,0.3538178288,0.360034018,0.9970703125,0.621308095,0
8207,0,exact_clean_bp,23.85260393,0.3940111885,0.3891515183,0.004859670197,0.3294250902,0.3317873527,0.9975585938,1,0
8207,0,noisy_no_shunt,23.85260393,0.3940111885,0.3882803182,0.005730870283,0.3340000986,0.3359784134,0.998046875,1,0
8207,0,initial_oracle_shunt,23.85260393,0.3940111885,0.3882803182,0.005730870283,0.3340000986,0.3359784134,0.998046875,1,0
8207,0,adaptive_local_shunt,23.85260393,0.3940111885,0.38858169,0.005429498525,0.3457477555,0.3469834569,0.9975585938,0.407189902,0
8207,0,adaptive_global_shunt,23.85260393,0.3940111885,0.3882803182,0.005730870283,0.3432897511,0.3444775839,0.99609375,0.448634937,0
8207,0,adaptive_shuffled_shunt,23.85260393,0.3940111885,0.3889986971,0.005012491385,0.3475135941,0.3487564186,0.99609375,0.4023383431,0
8207,0,adaptive_point_gate,23.85260393,0.3940111885,0.38858169,0.005429498525,0.3457477555,0.3469834569,0.9975585938,0.407189902,0
8207,1,exact_clean_bp,23.85260393,0.3940111885,0.3891515183,0.004859670197,0.3294250902,0.3317873527,0.9975585938,1,0
8207,1,noisy_no_shunt,23.85260393,0.3940111885,0.3892656508,0.004745537764,0.3318236992,0.334562936,0.9975585938,1,0
8207,1,initial_oracle_shunt,23.85260393,0.3940111885,0.3900848268,0.003926361749,0.3403803888,0.3427894416,0.9975585938,0.7598785813,0
8207,1,adaptive_local_shunt,23.85260393,0.3940111885,0.3897174,0.004293788562,0.3467470276,0.349018474,0.9975585938,0.5439218215,0
8207,1,adaptive_global_shunt,23.85260393,0.3940111885,0.3896123687,0.004398819786,0.3565213516,0.3582700349,0.9970703125,0.4893763704,0
8207,1,adaptive_shuffled_shunt,23.85260393,0.3940111885,0.3897883439,0.004222844597,0.3514939735,0.3535490173,0.998046875,0.5248856901,0
8207,1,adaptive_point_gate,23.85260393,0.3940111885,0.3897174,0.004293788562,0.3467470276,0.349018474,0.9975585938,0.5439218215,0
8207,2,exact_clean_bp,23.85260393,0.3940111885,0.3891515183,0.004859670197,0.3294250902,0.3317873527,0.9975585938,1,0
8207,2,noisy_no_shunt,23.85260393,0.3940111885,0.3890488517,0.004962336799,0.3433741358,0.3450486426,0.9936523438,1,0
8207,2,initial_oracle_shunt,23.85260393,0.3940111885,0.3896296194,0.004381569085,0.3453720955,0.347793996,0.9975585938,0.6464538489,0
8207,2,adaptive_local_shunt,23.85260393,0.3940111885,0.3906168323,0.003394356267,0.3498449123,0.3530477208,0.9965820312,0.5736155914,0
8207,2,adaptive_global_shunt,23.85260393,0.3940111885,0.3904469217,0.003564266838,0.3742031534,0.3750739649,0.9970703125,0.1776254134,0
8207,2,adaptive_shuffled_shunt,23.85260393,0.3940111885,0.3892186153,0.004792573204,0.3607133058,0.3618331475,0.9780273438,0.5813137069,0
8207,2,adaptive_point_gate,23.85260393,0.3940111885,0.3906168323,0.003394356267,0.3498449123,0.3530477208,0.9965820312,0.5736155914,0
