seed,reliability_heterogeneity,branch,oracle_initial_gain,adaptive_final_gain
8213,1,4,1,0.8344799089
8213,1,5,1,0.5533411669
8213,1,6,1,1
8213,1,7,1,1
8213,2,0,0.03597241992,0.03
8213,2,1,0.1086265323,0.03
8213,2,2,0.3052173297,0.08582348995
8213,2,3,0.7218145097,0.4796818621
8213,2,4,1,0.1756173443
8213,2,5,1,0.7035727739
8213,2,6,1,1
8213,2,7,1,1
8214,0,0,1,0.67271758
8214,0,1,1,0.4307955568
8214,0,2,1,0.6214520661
8214,0,3,1,0.6974348536
8214,0,4,1,0.9191674059
8214,0,5,1,0.03
8214,0,6,1,0.7261153571
8214,0,7,1,0.399540928
8214,1,0,0.238405844,0.429545625
8214,1,1,0.3866427396,0.4081138641
8214,1,2,0.5958732602,0.1084362137
8214,1,3,0.8581068062,0.6837313669
8214,1,4,1,0.8696978454
8214,1,5,1,0.5318358189
8214,1,6,1,0.7602992608
8214,1,7,1,1
8214,2,0,0.03597241992,0.07263355186
8214,2,1,0.1086265323,0.1823789709
8214,2,2,0.3052173297,0.7508806042
8214,2,3,0.7218145097,1
8214,2,4,1,0.4321475079
8214,2,5,1,0.9630401374
8214,2,6,1,1
8214,2,7,1,1
8215,0,0,1,0.7062930585
8215,0,1,1,0.336425427
8215,0,2,1,0.2104319879
8215,0,3,1,0.7400390027
8215,0,4,1,0.03
8215,0,5,1,0.6875814965
8215,0,6,1,0.8734252056
8215,0,7,1,0.5851623073
8215,1,0,0.238405844,0.03
8215,1,1,0.3866427396,0.03
8215,1,2,0.5958732602,0.5276885208
8215,1,3,0.8581068062,0.7296853203
8215,1,4,1,1
8215,1,5,1,1
8215,1,6,1,0.8290167845
8215,1,7,1,1
8215,2,0,0.03597241992,0.03
8215,2,1,0.1086265323,0.7982871881
8215,2,2,0.3052173297,0.4495529972
8215,2,3,0.7218145097,0.8765132175
8215,2,4,1,1
8215,2,5,1,1
8215,2,6,1,1
8215,2,7,1,1
8216,0,0,1,0.6509593554
8216,0,1,1,0.8561780526
8216,0,2,1,0.4177524428
8216,0,3,1,0.6622539349
8216,0,4,1,0.03
8216,0,5,1,0.5638836375
8216,0,6,1,0.6629737447
8216,0,7,1,0.6537241071
8216,1,0,0.238405844,0.577573045
8216,1,1,0.3866427396,0.4461456537
8216,1,2,0.5958732602,0.7670517333
8216,1,3,0.8581068062,0.03
8216,1,4,1,0.133908825
8216,1,5,1,1
8216,1,6,1,0.4461412502
8216,1,7,1,1
8216,2,0,0.03597241992,0.7911011392
8216,2,1,0.1086265323,0.1060953235
8216,2,2,0.3052173297,0.03
8216,2,3,0.7218145097,0.03
8216,2,4,1,0.2978001602
8216,2,5,1,0.7443454161
8216,2,6,1,1
8216,2,7,1,1
8217,0,0,1,0.3253342468
8217,0,1,1,0.8529691679
8217,0,2,1,0.1199533131
8217,0,3,1,0.1477098116
8217,0,4,1,0.3468121415
8217,0,5,1,0.8118203079
8217,0,6,1,0.4470114422
8217,0,7,1,0.8913106544
8217,1,0,0.238405844,0.4704116394
8217,1,1,0.3866427396,0.9254276935
8217,1,2,0.5958732602,0.03
8217,1,3,0.8581068062,0.4228807001
8217,1,4,1,0.3646674623
8217,1,5,1,0.534358172
8217,1,6,1,0.9432661435
8217,1,7,1,0.8946327955
8217,2,0,0.03597241992,0.6158886662
8217,2,1,0.1086265323,0.5943916494
8217,2,2,0.3052173297,0.03
8217,2,3,0.7218145097,0.1830959723
8217,2,4,1,1
8217,2,5,1,0.8623033926
8217,2,6,1,1
8217,2,7,1,1
8218,0,0,1,0.3977841971
8218,0,1,1,0.5704280177
8218,0,2,1,0.03
8218,0,3,1,0.579827881
8218,0,4,1,0.3960876913
8218,0,5,1,0.4526955686
8218,0,6,1,0.2794557068
8218,0,7,1,0.0548143911
8218,1,0,0.238405844,0.4197554763
8218,1,1,0.3866427396,0.7976874353
8218,1,2,0.5958732602,0.5339296048
8218,1,3,0.8581068062,0.2459699914
8218,1,4,1,0.3937834007
8218,1,5,1,0.6816720739
8218,1,6,1,0.5550961538
8218,1,7,1,1
8218,2,0,0.03597241992,0.0527724198
8218,2,1,0.1086265323,0.03
8218,2,2,0.3052173297,0.8053899525
8218,2,3,0.7218145097,0.413915338
8218,2,4,1,0.8527241378
8218,2,5,1,1
8218,2,6,1,1
8218,2,7,1,1
8219,0,0,1,0.03
8219,0,1,1,0.2676724718
8219,0,2,1,0.847921256
8219,0,3,1,0.4771234783
8219,0,4,1,0.7533331643
8219,0,5,1,0.4220273111
8219,0,6,1,0.7749808148
8219,0,7,1,0.03
8219,1,0,0.238405844,0.03
8219,1,1,0.3866427396,0.1069895035
8219,1,2,0.5958732602,0.6390708591
8219,1,3,0.8581068062,0.8139566937
8219,1,4,1,0.5694768931
8219,1,5,1,0.5188621396
8219,1,6,1,0.9539780147
8219,1,7,1,0.9414087597
8219,2,0,0.03597241992,0.1384213757
8219,2,1,0.1086265323,0.6098399364
8219,2,2,0.3052173297,0.03
8219,2,3,0.7218145097,0.1435874908
8219,2,4,1,0.3728037042
8219,2,5,1,1
8219,2,6,1,1
8219,2,7,1,1
8220,0,0,1,0.8370363015
8220,0,1,1,0.2795946376
8220,0,2,1,0.838145604
8220,0,3,1,0.5807481763
8220,0,4,1,0.4619403928
8220,0,5,1,0.5212981819
8220,0,6,1,0.05604637066
8220,0,7,1,1
8220,1,0,0.238405844,0.2827133258
8220,1,1,0.3866427396,0.1245139339
8220,1,2,0.5958732602,0.3903133258
8220,1,3,0.8581068062,0.595670864
8220,1,4,1,0.4827798587
8220,1,5,1,0.4146962333
8220,1,6,1,1
8220,1,7,1,1
8220,2,0,0.03597241992,0.03
8220,2,1,0.1086265323,0.03
8220,2,2,0.3052173297,0.03
8220,2,3,0.7218145097,0.4875491888
8220,2,4,1,0.05512295888
8220,2,5,1,0.8318217359
8220,2,6,1,1
8220,2,7,1,1
8221,0,0,1,0.2646161264
8221,0,1,1,0.4035439489
8221,0,2,1,1
8221,0,3,1,0.9327614101
8221,0,4,1,0.5420216928
8221,0,5,1,0.7745679558
8221,0,6,1,0.5014407277
8221,0,7,1,0.1874629224
8221,1,0,0.238405844,0.03
8221,1,1,0.3866427396,0.03
8221,1,2,0.5958732602,0.3902306225
8221,1,3,0.8581068062,0.3851162547
8221,1,4,1,0.03
8221,1,5,1,0.5539798246
8221,1,6,1,0.6176376829
8221,1,7,1,0.9832317643
8221,2,0,0.03597241992,0.5070388632
8221,2,1,0.1086265323,0.4168922114
8221,2,2,0.3052173297,0.1004489262
8221,2,3,0.7218145097,0.1846720899
8221,2,4,1,0.8864172932
8221,2,5,1,1
8221,2,6,1,1
8221,2,7,1,1
8222,0,0,1,0.3464261253
8222,0,1,1,0.4607306679
8222,0,2,1,0.5443980023
8222,0,3,1,0.748685809
8222,0,4,1,0.1432281724
8222,0,5,1,0.9367058687
8222,0,6,1,0.9140334571
8222,0,7,1,0.9102975368
8222,1,0,0.238405844,0.03
8222,1,1,0.3866427396,0.03
8222,1,2,0.5958732602,0.2315336965
8222,1,3,0.8581068062,0.7858580168
8222,1,4,1,0.03
8222,1,5,1,0.03
8222,1,6,1,1
8222,1,7,1,1
8222,2,0,0.03597241992,0.3176089251
8222,2,1,0.1086265323,0.03
8222,2,2,0.3052173297,0.6297572144
8222,2,3,0.7218145097,0.7087666885
8222,2,4,1,0.6772935456
8222,2,5,1,0.8996313199
8222,2,6,1,1
8222,2,7,1,1
8223,0,0,1,0.7993550067
8223,0,1,1,0.2668701575
8223,0,2,1,0.4455663377
8223,0,3,1,0.3955509936
8223,0,4,1,0.9350824679
8223,0,5,1,0.7914642272
8223,0,6,1,0.5696359878
8223,0,7,1,0.03696704011
8223,1,0,0.238405844,0.2658452277
8223,1,1,0.3866427396,0.1755425965
8223,1,2,0.5958732602,0.113920924
8223,1,3,0.8581068062,0.08117359896
8223,1,4,1,0.6834593603
8223,1,5,1,0.8551395717
8223,1,6,1,0.03
8223,1,7,1,1
8223,2,0,0.03597241992,0.3084978655
8223,2,1,0.1086265323,0.03
8223,2,2,0.3052173297,0.03
8223,2,3,0.7218145097,1
8223,2,4,1,0.5978126746
8223,2,5,1,0.5943850476
8223,2,6,1,1
8223,2,7,1,1
8224,0,0,1,0.6424831169
8224,0,1,1,0.1049987477
8224,0,2,1,0.3868787483
8224,0,3,1,0.4552690113
8224,0,4,1,0.6301577443
8224,0,5,1,0.03
8224,0,6,1,0.5938409329
8224,0,7,1,0.2525860723
8224,1,0,0.238405844,0.6802422827
8224,1,1,0.3866427396,0.03
8224,1,2,0.5958732602,0.3230491182
8224,1,3,0.8581068062,0.5347628988
8224,1,4,1,0.4306770615
8224,1,5,1,0.03
8224,1,6,1,1
