seed,phase,optimizer,rate_scope,rule,contrast,value
1108,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,-8.642599071938901e-05
1109,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0007761777824593921
1110,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,-0.00012422824763913749
1111,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,-1.9244589530802682e-05
1112,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.00010232544296299894
1113,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0012641938242139
1114,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0002923005728601942
1115,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0011497672688864631
1116,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0026039385924612798
1117,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0003607735770616369
1118,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,2.2457304233957788e-05
1119,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,0.0006354777401688973
1120,fresh,adam,common,calibrated_broadcast,task_difference_in_gap,-0.00010754989386472743
1101,fresh,sgd,selected,unit_broadcast,target_gap,0.001924853608181
1102,fresh,sgd,selected,unit_broadcast,target_gap,0.00038306848979450104
1103,fresh,sgd,selected,unit_broadcast,target_gap,0.0007661194949393
1104,fresh,sgd,selected,unit_broadcast,target_gap,0.0006185026884756
1105,fresh,sgd,selected,unit_broadcast,target_gap,0.0012072353890939
1106,fresh,sgd,selected,unit_broadcast,target_gap,0.0010981852271127
1107,fresh,sgd,selected,unit_broadcast,target_gap,0.0018148288589428002
1108,fresh,sgd,selected,unit_broadcast,target_gap,0.0003050754997286
1109,fresh,sgd,selected,unit_broadcast,target_gap,0.0003165998538762
1110,fresh,sgd,selected,unit_broadcast,target_gap,0.0005136111695278
1111,fresh,sgd,selected,unit_broadcast,target_gap,0.00030159113980350003
1112,fresh,sgd,selected,unit_broadcast,target_gap,0.0005535703562245999
1113,fresh,sgd,selected,unit_broadcast,target_gap,0.0012745208485551
1114,fresh,sgd,selected,unit_broadcast,target_gap,0.0006615602686324861
1115,fresh,sgd,selected,unit_broadcast,target_gap,0.0003849901711939001
1116,fresh,sgd,selected,unit_broadcast,target_gap,-7.611987473180005e-05
1117,fresh,sgd,selected,unit_broadcast,target_gap,0.00035752213797720007
1118,fresh,sgd,selected,unit_broadcast,target_gap,0.0007434990856753999
1119,fresh,sgd,selected,unit_broadcast,target_gap,0.0023600718265180997
1120,fresh,sgd,selected,unit_broadcast,target_gap,0.0007421228197175999
1101,fresh,sgd,selected,unit_broadcast,control_gap,-0.000297813569035
1102,fresh,sgd,selected,unit_broadcast,control_gap,-0.00018498287868690195
1103,fresh,sgd,selected,unit_broadcast,control_gap,-0.0007498140913326363
1104,fresh,sgd,selected,unit_broadcast,control_gap,-0.0006761165692603244
1105,fresh,sgd,selected,unit_broadcast,control_gap,-0.0002024445230768304
1106,fresh,sgd,selected,unit_broadcast,control_gap,-0.0006038625988115153
1107,fresh,sgd,selected,unit_broadcast,control_gap,-0.0004302728304829
1108,fresh,sgd,selected,unit_broadcast,control_gap,-0.00012546741755288702
1109,fresh,sgd,selected,unit_broadcast,control_gap,-0.0001714315480317161
