seed,branches,epoch,state_comparison,interpolated_zero_alignment,no_observed_positive_to_negative_crossing
11009,8,0,own_state,0.574523663576,False
11009,8,1,common_exact_state,0.572628297515,False
11009,8,1,own_state,0.574478406808,False
11009,8,10,common_exact_state,0.556575151333,False
11009,8,10,own_state,0.574093028453,False
11009,8,50,common_exact_state,0.492305812913,False
11009,8,50,own_state,0.572752134758,False
11009,8,100,common_exact_state,0.428793094018,False
11009,8,100,own_state,0.571604773178,False
11009,8,250,common_exact_state,0.310943206061,False
11009,8,250,own_state,0.568267177179,False
11010,2,0,common_exact_state,0.99818722073,False
11010,2,0,own_state,0.99818722073,False
11010,2,1,common_exact_state,0.985921102161,False
11010,2,1,own_state,0.998079434753,False
11010,2,10,common_exact_state,0.8819147716,False
11010,2,10,own_state,0.997282886943,False
11010,2,50,common_exact_state,0.598449857186,False
11010,2,50,own_state,0.995215084689,False
11010,2,100,common_exact_state,0.441170128387,False
11010,2,100,own_state,0.993331400576,False
11010,2,250,common_exact_state,0.35596356395,False
11010,2,250,own_state,0.989243581308,False
11010,4,0,common_exact_state,0.6501124155,False
11010,4,0,own_state,0.6501124155,False
11010,4,1,common_exact_state,0.645946416661,False
11010,4,1,own_state,0.650019482971,False
11010,4,10,common_exact_state,0.610019375943,False
11010,4,10,own_state,0.649256932571,False
11010,4,50,common_exact_state,0.484072405084,False
11010,4,50,own_state,0.646990830465,False
11010,4,100,common_exact_state,0.390775054163,False
11010,4,100,own_state,0.645564256669,False
11010,4,250,common_exact_state,0.278220597063,False
11010,4,250,own_state,0.64464534018,False
11010,8,0,common_exact_state,0.586597298862,False
11010,8,0,own_state,0.586597298862,False
11010,8,1,common_exact_state,0.58469973573,False
11010,8,1,own_state,0.586576318793,False
11010,8,10,common_exact_state,0.567875185958,False
11010,8,10,own_state,0.586388820384,False
11010,8,50,common_exact_state,0.501973267556,False
11010,8,50,own_state,0.585581108897,False
11010,8,100,common_exact_state,0.43720680694,False
11010,8,100,own_state,0.584620051048,False
11010,8,250,common_exact_state,0.321073913787,False
11010,8,250,own_state,0.581968491294,False
11011,2,0,common_exact_state,0.988297401524,False
11011,2,0,own_state,0.988297401524,False
11011,2,1,common_exact_state,0.976960569831,False
11011,2,1,own_state,0.988149051544,False
11011,2,10,common_exact_state,0.878933553494,False
11011,2,10,own_state,0.987075641759,False
11011,2,50,common_exact_state,0.593498352844,False
11011,2,50,own_state,0.984440070855,False
11011,2,100,common_exact_state,0.446918150975,False
11011,2,100,own_state,0.982253309551,False
11011,2,250,common_exact_state,0.404091889716,False
11011,2,250,own_state,0.976724331482,False
11011,4,0,common_exact_state,0.678874035119,False
11011,4,0,own_state,0.678874035119,False
11011,4,1,common_exact_state,0.674762372508,False
11011,4,1,own_state,0.678808477141,False
11011,4,10,common_exact_state,0.639860443778,False
11011,4,10,own_state,0.678247743954,False
11011,4,50,common_exact_state,0.509857531049,False
11011,4,50,own_state,0.676248573593,False
11011,4,100,common_exact_state,0.40347474714,False
11011,4,100,own_state,0.674498719618,False
11011,4,250,common_exact_state,0.272375958884,False
11011,4,250,own_state,0.671625272291,False
11011,8,0,common_exact_state,0.570349393703,False
11011,8,0,own_state,0.570349393703,False
11011,8,1,common_exact_state,0.56862654975,False
11011,8,1,own_state,0.570333605462,False
11011,8,10,common_exact_state,0.553362541418,False
11011,8,10,own_state,0.570197970781,False
11011,8,50,common_exact_state,0.492157079007,False
11011,8,50,own_state,0.569711419281,False
11011,8,100,common_exact_state,0.430433318051,False
11011,8,100,own_state,0.569284897916,False
11011,8,250,common_exact_state,0.318210826683,False
11011,8,250,own_state,0.568486011052,False
11012,2,0,common_exact_state,,True
11012,2,0,own_state,,True
11012,2,1,common_exact_state,0.998342132346,False
11012,2,1,own_state,,True
11012,2,10,common_exact_state,0.892570254017,False
11012,2,10,own_state,,True
11012,2,50,common_exact_state,0.614505296468,False
11012,2,50,own_state,,True
11012,2,100,common_exact_state,0.465910525111,False
11012,2,100,own_state,,True
11012,2,250,common_exact_state,0.390157909347,False
11012,2,250,own_state,0.989371459064,False
11012,4,0,common_exact_state,0.661577002623,False
11012,4,0,own_state,0.661577002623,False
11012,4,1,common_exact_state,0.657588340948,False
11012,4,1,own_state,0.661488277445,False
11012,4,10,common_exact_state,0.623038872918,False
11012,4,10,own_state,0.660756260669,False
11012,4,50,common_exact_state,0.494155542248,False
11012,4,50,own_state,0.658498697123,False
11012,4,100,common_exact_state,0.392211442653,False
11012,4,100,own_state,0.656826051681,False
