cohort,config_index,method,dataset,core,core_type,depth,seed,test_accuracy,test_categorical_loglikelihood,best_epoch,checkpoint_tensor_count,checkpoint_bytes,checkpoint_sha256,config_sha256,latest_log_critical_count,used_streaming_evaluation
exact_mnist_additive,30,exact_transport,mnist,additive,dendritic_additive,4,42,0.975600004196167,-0.08448569476604462,20,39,24154082,88bb8f2d8910995f7a51ad6ca305a82b4d95a388087549d2e7d6d4f89a352173,9047d6d96f9c0b9588e9e7efa3e8919b94c0ca110a36cf934a1a14573f286fce,0,False
bp_mnist_additive,31,backpropagation,mnist,additive,dendritic_additive,4,43,0.9751999974250793,-0.08307547122240067,16,39,24154082,352ffab005fb263aff6475d16f528a8edd3afbab25d24f9771b5cdaabb8471dc,e5860d78da68e749956bf57ddb52f537501d7dabc6fd7bbbeda13d66a6d32e60,0,False
exact_mnist_additive,31,exact_transport,mnist,additive,dendritic_additive,4,43,0.9739999771118164,-0.08671623468399048,18,39,24154082,9d2c0abc95e07a79f7f79f5561bdd7b87ce360819b672e5f2bfec65b1e34308d,ddde67658be3806d43e74fe57fdf43d808d206fe3ed9f668327bdf102098e7c7,0,False
bp_mnist_additive,32,backpropagation,mnist,additive,dendritic_additive,4,44,0.9751999974250793,-0.08457358181476593,19,39,24154082,7c6cbab9e546e54978a6004bd8cdaeaee21b157d84c79d0f679d37d495dba990,1a405b06c497d3020a5f0bbb13260d5107526f5282a262a88cb8303b5ec1079e,0,False
exact_mnist_additive,32,exact_transport,mnist,additive,dendritic_additive,4,44,0.9756999611854553,-0.08364005386829376,19,39,24154082,9ae01d456d78801e2014a97192f16f2da694a00c4b2f55b94160f956573515ec,a35c71d34c14d1c734d638a2701675d6833f442a52bd965f5f4b60057ef03e65,0,False
bp_mnist_additive,33,backpropagation,mnist,additive,dendritic_additive,4,45,0.9758999943733215,-0.08488234877586365,19,39,24154082,06b4ac58f2acce21a84034e56a5444fbb6466b9b3f44b6abb69a360388cc1a6b,108f5562686bd7a5905ab4974203f44c8ec2cf5e0835d3b37e902a5a89a04943,0,False
exact_mnist_additive,33,exact_transport,mnist,additive,dendritic_additive,4,45,0.97489994764328,-0.0823652595281601,22,39,24154082,0d67126ea060722c545c03f3745124ae57c35d5b43e5a56b152a98b141e31597,463c5a934063c8bc4489287fcc04f3f23f83d9f7ebb3988be6e13030808d0b75,0,False
bp_mnist_additive,34,backpropagation,mnist,additive,dendritic_additive,4,46,0.9763999581336975,-0.08110512048006058,19,39,24154082,4213d0baf609fad66d8d95694b5755f095fe96816365f97fe0ac434b1f557f67,6a3500c5fdca802786eea9473c7ec9ec862b453b370b05b704429d27082c61d2,0,False
exact_mnist_additive,34,exact_transport,mnist,additive,dendritic_additive,4,46,0.9750999808311462,-0.08256196975708008,18,39,24154082,bcff7a5f3c41d85c2c0525b7fbe09a6745b63a3f01e50fff8cb38b2d65020b5c,65e5bbc2eea0380ed950ab3d63c4c9fdeb288a1cc82b704a454d47665483f71f,0,False
bp_mnist_additive,35,backpropagation,mnist,additive,dendritic_additive,4,47,0.9745000004768372,-0.0967244878411293,28,39,24154082,d8dc20d1655f221f722ce6e14a633feb69ee83fbf53c303411abde354930c665,81b0553755cca4fc576d876f035188eeadb0755e8c7b5312532d963fcb06f23e,0,False
exact_mnist_additive,35,exact_transport,mnist,additive,dendritic_additive,4,47,0.9739999771118164,-0.09040486067533493,20,39,24154082,6793ce15bba6ed5737e9e3b6f68274a7eda70cb88a67946f476fa8ddee82b6d7,efb739a14e2a9ce15f6e0a45a8d29836fc45877a78871e8f7404c0ac2cdf5e50,0,False
bp_mnist_additive,36,backpropagation,mnist,additive,dendritic_additive,4,48,0.9750999808311462,-0.08476346731185913,19,39,24154082,f376a4f54bb785e2d0feeb1962a9681c41a8caf39a82c91822e435ffa4389f97,02232a55bb6cc88800513d28fadcdb793359eaec082b8752fb885b66cf5c2bc4,0,False
exact_mnist_additive,36,exact_transport,mnist,additive,dendritic_additive,4,48,0.9745999574661255,-0.08905133605003357,19,39,24154082,041762646ccfd686cbd858ebe7f4b7a79c61bce65fbe57cf85f1bad6f13d02a8,73be183c004d9163e2763ee5e5cfb938b7496ec3793900bc78b112261bc875af,0,False
bp_mnist_additive,37,backpropagation,mnist,additive,dendritic_additive,4,49,0.976699948310852,-0.08362296968698502,23,39,24154082,6f261f864620a9a4b1a0ed26a18d94c570621210d850855c015a40011720f731,5bcd2422746a8d361606ce15aa81024dadd09cdd6ba09d36b5525db7374e5741,0,False
exact_mnist_additive,37,exact_transport,mnist,additive,dendritic_additive,4,49,0.9741999506950378,-0.08683860301971436,14,39,24154082,fdf1b9d7cb1b4d8b08221f4bfa8962968860e18e49a8114985ffa3ec9c1baa14,4f3435fa5bfbb41f7642920c97f5a2aa947161ff218be65afa46188e8a5c232c,0,False
bp_mnist_additive,38,backpropagation,mnist,additive,dendritic_additive,4,50,0.9746999740600586,-0.0865035355091095,21,39,24154082,9d8b8f44bd6df359de69e5a17ad0a4b4c836f61fae222376d2cdd41fe9908f26,0ef8fb30168342f6454568fac853ff63705d9c594ee6af44b06ba86fc8e46ec2,0,False
exact_mnist_additive,38,exact_transport,mnist,additive,dendritic_additive,4,50,0.9731999635696411,-0.08714617043733597,14,39,24154082,8d4090b304278ffa5110aa6c676b0d96f7ae9299fb4f439b4a6fbe3e2b0ad1b2,95b4e912fd911a7bd93650d829a78f5bba741caaff9bc142568671dcdddad11d,0,False
bp_mnist_additive,39,backpropagation,mnist,additive,dendritic_additive,4,51,0.974399983882904,-0.08578279614448547,17,39,24154082,9cfcd390f8ccd7e22d8e2cab28f11d932ebbac29811ed3082473e2295068362a,2bd88ad2b9b390d984b0cbb9efc382ae6ec450bf5fbb82cc5014a038bac76a3b,0,False
exact_mnist_additive,39,exact_transport,mnist,additive,dendritic_additive,4,51,0.9754999876022339,-0.08611366897821426,21,39,24154082,619918d03b7c43fce7f77f00338f486aeffb6c3b50afc948c9a82a55ece2f0fa,0c7aa453592f32ea41617eeafbe1fa384a3c2cc1cf128eabf1115841f94fbca1,0,False
bp_mnist_shunting,0,backpropagation,mnist,shunting,dendritic_shunting,1,42,0.9642999768257141,-0.11944859474897385,96,15,1622346,19f0a0b135f83336e7b1809bc4fd31fd66b41ff0852e8cbeb232fac500de9194,3002b48943242179f70b90fa4f35385beba522221b6d1648c0ea7ecac9c16e30,0,False
exact_mnist_shunting,0,exact_transport,mnist,shunting,dendritic_shunting,1,42,0.9660999774932861,-0.11322084814310074,96,15,1622346,bfb32475bad725e33095356203e84e6c433554066f88f1f418ed10f1288db66d,7f93ebd62f7613ed8862bc57feccc9829e4c506faf9a5bd5d7edbdffed7a0dcc,0,False
bp_mnist_shunting,1,backpropagation,mnist,shunting,dendritic_shunting,1,43,0.9663999676704407,-0.11139683425426483,87,15,1622346,7884e9224adc0fbe87951aea5bf64f9d3ffe8a07e57c3524955ffd93a232bfde,2e973b44d203cb51cd2ef0660c9ca9d2a9a5bce684ee2d5a3a6fbb860728431d,0,False
exact_mnist_shunting,1,exact_transport,mnist,shunting,dendritic_shunting,1,43,0.9660999774932861,-0.11323283612728119,88,15,1622346,c77af8bbd5869b32690c7552a987c4bb76903fe476c7918691e67edb1c5e2cdb,bee39ebf91bda031ecd08ff43a105f865f9932321df37cd9858d78346c3380f7,0,False
bp_mnist_shunting,2,backpropagation,mnist,shunting,dendritic_shunting,1,44,0.9688999652862549,-0.10572781413793564,84,15,1622346,dea9cd4ad76772defd6fa8a46a7e5d1ac81db043aa2dcbc56deeb8729b482498,3c053abfeffe3560818f92974ec406d6bb7a48121191a0c016bbf5dd594f9fb3,0,False
exact_mnist_shunting,2,exact_transport,mnist,shunting,dendritic_shunting,1,44,0.9668999910354614,-0.11174394190311432,97,15,1622346,59558ed42a4b8316c6ef530a451d60658b78a9189be8efa484fd4fb78bedda54,c28a903db7ffd6eead2573b2b3f57e9d41fd16ce1ca8abc0123cf517117993ea,0,False
bp_mnist_shunting,3,backpropagation,mnist,shunting,dendritic_shunting,1,45,0.9667999744415283,-0.11009057611227036,82,15,1622346,6d8a845f6e6c1f2399597cb910e6c9a1e423cd2998159490aaa3b61ee43b06a7,b3e02819e7774f00bf1496efd560dc508c41530a3298e49ae94322eb1dbedce3,0,False
exact_mnist_shunting,3,exact_transport,mnist,shunting,dendritic_shunting,1,45,0.965999960899353,-0.10964035242795944,97,15,1622346,815bc94a57665669233ef8dd3dc0bd12fb3e763d2ac58456e21d91604b53d71c,664e5b821781701ebd7076c37f6cc7ef9de0ed0f603a0135de078099f79374c4,0,False
