source,dataset,network_type,strategy,branch_factors,ie_value,population,test_accuracy_mean,test_accuracy_std,test_accuracy_count,nominal_depth_mean,nominal_depth_std,nominal_depth_count,active_stage_count_mean,active_stage_count_std,active_stage_count_count,effective_depth_from_soma_mean,effective_depth_from_soma_std,effective_depth_from_soma_count,minimum_stage_median_mean,minimum_stage_median_std,minimum_stage_median_count,minimum_stage_q05_mean,minimum_stage_q05_std,minimum_stage_q05_count,log10_product_stage_medians_mean,log10_product_stage_medians_std,log10_product_stage_medians_count,activity_threshold_mean,activity_threshold_std,activity_threshold_count
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",5,0,0.5305666327476501,0.059671617644099915,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.6142356395721436,0.06746861393757463,3,0.029343727355202038,0.012403013823357378,3,-0.5075342316455224,0.12955371782955413,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",5,1,0.5305666327476501,0.059671617644099915,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.5556116898854574,0.043266230213059795,3,0.468620886405309,0.07768831286355167,3,0.0339067512542499,0.1624667742489997,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",10,0,0.5024999777475992,0.035666090660362484,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.7627260486284891,0.0543247661855216,3,0.021979147257904213,0.006689467437334403,3,-0.11232594638603217,0.20446373262760223,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",10,1,0.5024999777475992,0.035666090660362484,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.5637407104174296,0.05150555942577888,3,0.4832460979620616,0.005394251562550953,3,0.08406796138711814,0.14074126217258076,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",20,0,0.49553332726160687,0.01565898355556052,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,1.0199509064356487,0.1895146104558913,3,0.027045499222973984,0.010620095807699953,3,0.21036030693628102,0.07249377461443467,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",20,1,0.49553332726160687,0.01565898355556052,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.4890579581260681,0.04831645623444828,3,0.4231102466583252,0.05020120004198614,3,0.04290596693495555,0.03972182064427932,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",40,0,0.6148332953453064,0.06674146514845826,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.8901180823644003,0.23624301575448395,3,0.042185098553697266,0.0116575740936743,3,0.37327128762614814,0.14088732999851078,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3, 3]",40,1,0.6148332953453064,0.06674146514845826,3,3.0,0.0,3,3.0,0.0,3,3.0,0.0,3,0.5265188813209534,0.02526061341070444,3,0.44699277480443317,0.013492526922773482,3,0.06764713003889333,0.058654504557941675,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",0,0,0.3482999900976817,0.04309651394656214,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.6944310665130615,0.04913085146634287,3,0.13048973679542542,0.02506275123208742,3,-0.26473237637242364,0.13132039670617832,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",0,1,0.3482999900976817,0.04309651394656214,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.6172457536061605,0.0637142582735953,3,0.5343927443027496,0.05331797180258522,3,-0.27155665189308525,0.025846133730751293,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",5,0,0.5583666563034058,0.029387305874053984,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.6488638520240784,0.08407584156330819,3,0.030654287586609524,0.009409691498668117,3,-0.30646877499311304,0.05132705223264657,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",5,1,0.5583666563034058,0.029387305874053984,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.4978187084197998,0.01839772167220945,3,0.452273964881897,0.009884373272912708,3,-0.06514334348561095,0.09991041556053301,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",10,0,0.5840999881426493,0.036392182019783316,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.7955503861109415,0.1370415446104896,3,0.02010793300966422,0.00839887501755512,3,-0.05721809940122155,0.05175710990778041,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",10,1,0.5840999881426493,0.036392182019783316,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5012066463629404,0.01352168305905978,3,0.44216997424761456,0.01847736651412597,3,-0.03483472871613439,0.03370962735741385,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",20,0,0.6143666505813599,0.052982273006132855,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.8362746636072794,0.21317430072932858,3,0.023716322456796963,0.010685672320328436,3,-0.0077577757686587605,0.07261671857518902,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",20,1,0.6143666505813599,0.052982273006132855,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5167207022507986,0.03378830283938194,3,0.39033546050389606,0.11562605896080877,3,-0.04424113720827157,0.03747163494365488,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",40,0,0.6465333104133606,0.032962004404559514,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.8790233135223389,0.4754210416343808,3,0.034688595682382584,0.02218262654306989,3,0.01996696241140942,0.19916270636045902,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[3, 3]",40,1,0.6465333104133606,0.032962004404559514,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5507306257883707,0.10520567052233064,3,0.36763229966163635,0.03597891217095126,3,-0.08463263587441895,0.12061710777765812,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",0,0,0.4017333189646403,0.07290489570340891,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.622943381468455,0.11223768735504558,3,0.0769405538837115,0.028594173424107566,3,-0.2832727516859359,0.1596758243334444,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",0,1,0.4017333189646403,0.07290489570340891,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5406190156936646,0.04779540397790472,3,0.4729374945163727,0.012123961148026613,3,-0.28946422223755913,0.08846978750876024,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",5,0,0.596999982992808,0.06710359486112015,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.5894340475400289,0.03752673547928312,3,0.027867918213208515,0.021859035787266716,3,-0.33151404322243105,0.07424401537552527,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",5,1,0.596999982992808,0.06710359486112015,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.49637728929519653,0.015006046017402191,3,0.4656256337960561,0.011306054230752515,3,-0.05321170196539529,0.06667178830939895,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",10,0,0.6004999876022339,0.0999301687249069,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.7068002621332804,0.11693119513498185,3,0.016595357718567055,0.004975454610452388,3,-0.21939128797915064,0.09041449554972707,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",10,1,0.6004999876022339,0.0999301687249069,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.46727561950683594,0.10709085419610398,3,0.4088141620159149,0.09712473873346769,3,-0.10033261126065607,0.06408135242916348,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",20,0,0.6150333086649576,0.0765718938931734,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.6770973602930704,0.09999610861105422,3,0.03304138996948799,0.016945526208684825,3,-0.1683938844338794,0.04008929971303779,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",20,1,0.6150333086649576,0.0765718938931734,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.459506630897522,0.02473234911112797,3,0.4005970557530721,0.022654631918226083,3,-0.11911326623258374,0.09739969078478777,3,0.001,0.0,3
morphology_ie,noise_resilience,dendritic_additive,local_ca,"[4, 4]",40,0,0.6557666460673014,0.06414281748594938,3,2.0,0.0,3,2.0,0.0,3,2.0,0.0,3,0.781169613202413,0.10835275137626237,3,0.04845047307511171,0.030963093996168634,3,-0.06782941520877052,0.031456859284141235,3,0.001,0.0,3
