segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction,qc_included
4135,5450,74.0537303919003,0.1256955419369879,277.711,147.937,38.304,468,5,229.46131089282667,0,True,False,0,0.0,0,0.0,648518346349531254,1.1092732696334164,0.0,-13.010048194754297,-13.113753283619051,,True
4290,9440,26.190160432847712,0.4612248816334348,278.656,184.561,42.294,164,2,58.60373533509699,2,False,True,0,0.0,1,220.0,648518346349531254,4.446846835465258,0.47619047619047616,-4.377370770392227,-5.869566039111597,0.09136656707029407,True
4372,4088,2.2607246444686355,0.09561614927533843,279.391,207.178,19.257,14,10,224.27416982057233,0,True,False,0,0.0,0,0.0,648518346349531254,0.1,0.0,-14.439298682823468,-12.136713589829423,,True
4483,4824,3.7438086415498835,0.09531836650955751,280.042,202.537,25.599,49,11,235.2168923177536,0,True,False,0,0.0,0,0.0,648518346349531254,0.1,0.0,-15.14010875503509,-12.837523662041045,,True
4824,4088,9.459638500100038,0.2723174162340007,282.31,204.154,25.221,64,10,231.47308367620371,2,False,True,0,0.0,0,0.0,648518346349531254,3.6337353211737753,0.0,-13.777394198406524,-15.067655331708654,,True
5112,8751,29.78234884676383,0.2678161956189429,283.843,164.905,86.247,177,2,72.98199510063932,0,True,False,0,0.0,0,0.0,648518346349531254,0.950533692166681,0.0,-4.631667483699113,-4.580935812799647,,True
5218,6932,9.617572541437234,0.34601719552102256,284.41,169.966,15.771,57,8,83.7225215466645,2,False,True,0,0.0,0,0.0,648518346349531254,3.0419940254109425,0.0,-4.200455576183115,-5.312968805985067,,True
5319,8118,18.78899086914927,0.11860663799911685,284.914,238.783,86.226,110,4,87.95438490117556,0,True,False,0,0.0,0,0.0,648518346349531254,0.26557316139871473,0.0,-8.917555994336542,-7.591691078900272,,True
5450,7305,75.0346034927731,0.1298508545317063,285.313,193.843,71.358,486,4,155.40758050092637,2,False,True,0,0.0,0,0.0,648518346349531254,1.6399078972369265,0.0,-10.011547489694944,-10.50618756973262,,True
5765,8118,17.367002985690487,0.13663904681098765,286.279,246.7,69.552,108,4,86.53239701771678,2,False,True,0,0.0,0,0.0,648518346349531254,0.38750612992157796,0.0,-8.555796314845148,-7.60777270368375,,True
6082,8066,26.64715129406086,0.21095047644251613,286.93,216.712,1.554,159,4,107.35420696480078,0,True,False,0,0.0,0,0.0,648518346349531254,0.6698892842944363,0.0,-7.4409575582642224,-7.040314730690517,,True
6193,8066,52.73003808970478,0.23158482839179625,287.203,246.952,8.652,332,4,133.4370937604447,0,True,False,0,0.0,0,0.0,648518346349531254,1.4552577538199911,0.0,-7.936814905300061,-8.311997940625986,,True
6491,5450,16.492385259281352,0.13070698811855694,288.148,192.73,84.399,104,5,171.89996576020772,0,True,False,0,0.0,0,0.0,648518346349531254,0.2568940295995144,0.0,-11.429965179614998,-10.07087356430548,,True
6684,9559,23.733741169555977,0.13403271070286826,288.967,215.326,66.087,149,3,64.66283550001434,2,False,True,0,0.0,0,0.0,648518346349531254,0.5557264286176886,0.0,-7.509362665551198,-6.9218835248704975,,True
6932,7323,3.3804516222892835,0.3626162589486776,289.996,169.588,22.617,19,7,74.10494900522727,2,False,True,0,0.0,0,0.0,648518346349531254,5.695238048255759,0.0,-4.023415219036332,-5.763045614580034,,True
7145,4824,12.667376535310176,0.2814475003333551,291.088,202.537,28.077,81,11,244.1404602115139,0,True,False,0,0.0,0,0.0,648518346349531254,0.424869747252849,0.0,-14.193588389550738,-13.337615755467208,,True
7160,8751,17.077599112359707,0.27827956829695827,291.214,180.739,86.247,100,2,60.27724536623519,0,True,False,0,0.0,0,0.0,648518346349531254,0.5663434315311365,0.0,-3.9988685140373024,-3.430313898737813,,True
7231,10616,70.81198944507406,2.2385565309819553,291.592,146.677,50.253,184,1,70.81198944507406,0,True,False,0,0.0,0,0.0,648518346349531254,10.0,0.0,-2.0130369536089363,-4.315622046602982,,True
7249,7323,14.700972545187557,0.3890281287166161,291.697,164.821,13.902,82,7,85.42546992812554,2,False,True,0,0.0,0,0.0,648518346349531254,3.3243738752446004,0.0,-5.352706525314903,-6.553987873493393,,True
7305,9665,19.076609971978026,0.1695233465750765,291.991,255.142,85.092,118,3,80.37297700815327,2,False,True,0,0.0,0,0.0,648518346349531254,0.5215154211684094,0.0,-8.210592567788291,-7.559576133602505,,True
7323,8504,10.652434579766059,0.4754911910374605,292.138,169.987,24.99,59,6,70.72449738293798,2,False,True,0,0.0,0,0.0,648518346349531254,19.45701468778253,0.0,-3.757093512410211,-6.725301169783398,,True
8066,9890,42.056461561622484,0.39356087510787335,295.372,205.582,17.073,263,3,80.70705567073992,2,False,True,1,670.0,1,246.0,648518346349531254,4.985030492802717,0.5324675324675324,-5.388287573531283,-6.994727093837653,0.10536247837710332,True
8118,9665,7.869026995851042,0.1292639551018078,295.708,250.312,80.892,49,3,69.16539403202628,2,False,True,0,0.0,0,0.0,648518346349531254,0.8201913784834057,0.0,-7.867332367867019,-7.669114790306743,,True
8381,10616,60.905457783841214,2.9273082641817014,297.199,155.434,65.625,143,1,60.905457783841214,2,False,True,1,79.0,1,292.0,648518346349531254,12.290596069365552,0.6320346320346321,-2.0130369536089363,-4.521871376365987,0.012423337002673377,True
8504,8805,1.8259758424438197,0.5274743664334268,297.682,172.633,32.802,12,5,60.072062803171924,2,False,True,0,0.0,0,0.0,648518346349531254,8.582967900905297,0.0,-3.7034269896594916,-5.853206752542991,,True
8553,7249,18.655242044925227,0.2754940093063483,297.892,162.532,3.465,125,8,104.08071197305077,0,True,False,1,669.0,0,0.0,648518346349531254,2.060521890468629,0.0,-6.109778294838043,-6.83273759044082,,True
8751,10616,43.199646253875486,2.4549519617959894,298.9,178.261,74.004,111,1,43.199646253875486,2,False,True,0,0.0,0,0.0,648518346349531254,12.660937188941244,0.0,-2.0130369536089363,-4.551558395147561,,True
8805,10184,18.084093143998206,2.4145640922043086,299.131,173.179,33.18,108,4,58.24608696072811,2,False,True,0,0.0,1,53.0,648518346349531254,25.804377160868192,0.11471861471861472,-3.4486151282781075,-6.699159263213483,0.16779367825129737,True
9152,9248,17.754283988510668,0.12148456186240528,300.034,211.756,0.84,100,5,139.68155697235628,0,True,False,0,0.0,0,0.0,648518346349531254,0.257037202898714,0.0,-10.42053294571542,-9.061998499512777,,True
9248,6684,57.26443748383125,0.13755141665508255,300.265,214.213,16.548,336,4,121.9272729838456,2,False,True,0,0.0,0,0.0,648518346349531254,1.3341878189885765,0.0,-8.988362752656876,-9.276685484084295,,True
9399,9559,12.554848302176445,0.10651989246242878,300.958,226.477,86.268,72,3,53.48394263263481,0,True,False,0,0.0,0,0.0,648518346349531254,0.159372696732448,0.0,-7.332076118695943,-5.495566303647231,,True
9440,10616,32.41357490224928,6.187039268258688,301.252,179.5,48.111,10,1,32.41357490224928,2,False,True,0,0.0,0,0.0,648518346349531254,33.11301802640681,0.0,-2.0130369536089363,-5.5129634525213485,,True
9559,11108,8.917805360648083,0.1553792896807047,301.861,228.388,75.768,54,2,40.92909433045836,2,False,True,0,0.0,0,0.0,648518346349531254,0.8016033733194966,0.0,-6.492979044975725,-6.271837704548239,,True
9665,11108,29.28507806636496,0.2331117960833638,302.407,253.126,81.774,185,2,61.29636703617524,2,False,True,0,0.0,0,0.0,648518346349531254,2.2047334332774744,0.0,-6.870709285750714,-7.661315895403851,,True
9890,9440,6.237019206868149,4.721961970755098,303.415,180.529,43.596,51,2,38.65059410911743,2,False,True,0,0.0,0,0.0,648518346349531254,24.92122535472379,0.0,-2.517231178967357,-5.732951043215602,,True
10063,8381,33.757456196808775,0.27415455590879,303.982,175.069,85.764,205,2,94.66291398064999,0,True,False,0,0.0,0,0.0,648518346349531254,1.1029019704887024,0.0,-4.6804836606548506,-4.778428521626344,,True
10184,9890,1.5113997076124777,2.4862808004201744,304.654,180.172,42.924,11,3,40.161993816729904,2,False,True,0,0.0,0,0.0,648518346349531254,40.7366684749139,0.0,-2.737218769661611,-6.444347401832099,,True
10226,10184,3.012937399770058,1.7817751559953938,304.885,180.613,40.362,21,4,43.174931216499964,2,False,True,0,0.0,1,443.0,648518346349531254,2.6649046456237295,0.9588744588744589,-3.4486151282781075,-4.428783405002027,0.16952350998584684,True
10375,10616,15.227863981945736,0.31226949520891145,305.473,191.323,61.32,97,1,15.227863981945736,0,True,False,0,0.0,0,0.0,648518346349531254,0.5666831281992563,0.0,-4.110957977253119,-3.543002988988637,,True
10403,11272,14.56172618104913,0.4661577900195628,305.578,191.176,61.278,95,2,40.23351907907275,0,True,False,0,0.0,0,0.0,648518346349531254,0.8089422877917318,0.0,-3.8448730040956987,-3.632845301916312,,True
11108,10616,32.01128896981028,0.21679931001909006,309.127,230.719,74.319,198,1,32.01128896981028,2,False,True,0,0.0,0,0.0,648518346349531254,2.575809341979278,0.0,-5.583708681131611,-6.529872473427804,,True
11272,10616,25.671792898023618,6.020392275869816,309.736,181.663,53.844,2,1,25.671792898023618,2,False,True,0,0.0,0,0.0,648518346349531254,35.71935916381902,0.0,-2.0130369536089363,-5.588729768913721,,True
11364,13534,35.26144645592646,0.29824397462862207,310.408,156.673,2.793,214,5,115.81559604263639,0,True,False,0,0.0,0,0.0,648518346349531254,1.2532667981488588,0.0,-4.316476372653248,-4.5422299533944415,,True
11876,11272,3.6576507265176326,5.693547575428804,312.928,181.999,53.193,21,2,29.329443624541252,2,False,True,0,0.0,0,0.0,648518346349531254,24.66545238779757,0.0,-2.5929974953597297,-5.798401071162355,,True
11974,10226,54.91895953875891,0.3124868885281892,313.579,200.815,2.142,345,5,98.09389075525888,0,True,False,1,869.0,1,66.0,648518346349531254,4.068962662134954,0.14285714285714285,-4.8123120245739415,-6.215700117374189,0.13665670702940713,True
12076,11876,2.064570503087884,5.615026433424699,314.419,182.356,52.206,12,3,31.394014127629134,2,False,True,0,0.0,0,0.0,648518346349531254,27.354337906751457,0.0,-2.8026687976083644,-6.111543921093401,,True
12563,10616,51.50827247147029,5.540633324438261,317.716,173.578,46.704,83,1,51.50827247147029,0,True,False,0,0.0,2,177.0,648518346349531254,10.383116883116884,0.38311688311688313,-2.0130369536089363,-4.353218064029262,0.0,True
12997,10226,69.91529805181534,0.26495270352923994,321.181,222.634,2.184,456,5,113.09022926831531,0,True,False,1,209.0,0,0.0,648518346349531254,2.65993985929129,0.0,-5.383760227985214,-6.362063741234239,,True
13142,12076,12.8148197044908,3.0834030193730615,322.252,184.666,44.352,79,4,44.208833832119936,2,False,True,0,0.0,0,0.0,648518346349531254,20.534491385902342,0.0,-3.11581164753941,-6.137917626484505,,True
13337,10616,50.16619086648026,5.395041141173463,324.415,165.745,48.006,101,1,50.16619086648026,2,False,True,0,0.0,1,170.0,648518346349531254,35.687268563546354,0.36796536796536794,-2.0130369536089363,-5.587830955919621,0.26513602767730776,True
