family,calibration_rows,calibration_noise_sd,policy,seed_count,mean_test_nmse,mean_regret,regret_ci_low,regret_ci_high
quartet,64,0.0,two_sweep_pilot,20,0.33540269349093965,0.04561349296969434,0.002077444014820404,0.10916401145523873
quartet,64,0.0,uniform_random_expectation,20,0.3870836635053097,0.09729446298406436,0.053234723588783665,0.15359863584621786
quartet,64,0.5,development_best_fixed,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,64,0.5,estimated_cut,20,0.3024366498171335,0.012647449295888158,0.0014936264161637348,0.031916456712598774
quartet,64,0.5,fixed_balanced,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,64,0.5,fixed_comb,20,0.42869228947134974,0.1389030889501045,0.03481064933458153,0.2523996226036141
quartet,64,0.5,fixed_mixed,20,0.3650993841701226,0.07531018364887733,0.017283074898268563,0.1448323874391876
quartet,64,0.5,observed_rank_only,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,64,0.5,oracle_best_trained_menu,20,0.28978920052124535,0.0,0.0,0.0
quartet,64,0.5,oracle_full_target_cut,20,0.3247944016272378,0.03500520110599256,0.001993246414382477,0.08712185412262662
quartet,64,0.5,two_sweep_pilot,20,0.40218377208491807,0.11239457156367276,0.030618171348286025,0.20877378556878076
quartet,64,0.5,uniform_random_expectation,20,0.3870836635053097,0.09729446298406436,0.053234723588783665,0.15359863584621786
quartet,256,0.0,development_best_fixed,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,256,0.0,estimated_cut,20,0.3247944016272378,0.03500520110599256,0.001993246414382477,0.08712185412262662
quartet,256,0.0,fixed_balanced,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,256,0.0,fixed_comb,20,0.42869228947134974,0.1389030889501045,0.03481064933458153,0.2523996226036141
quartet,256,0.0,fixed_mixed,20,0.3650993841701226,0.07531018364887733,0.017283074898268563,0.1448323874391876
quartet,256,0.0,observed_rank_only,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,256,0.0,oracle_best_trained_menu,20,0.28978920052124535,0.0,0.0,0.0
quartet,256,0.0,oracle_full_target_cut,20,0.3247944016272378,0.03500520110599256,0.001993246414382477,0.08712185412262662
quartet,256,0.0,two_sweep_pilot,20,0.35974742101933904,0.06995822049809369,0.0042371409545512795,0.14821977911693573
quartet,256,0.0,uniform_random_expectation,20,0.3870836635053097,0.09729446298406436,0.053234723588783665,0.15359863584621786
quartet,256,0.5,development_best_fixed,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
quartet,256,0.5,estimated_adaptive_dp,20,0.0014359446279995848,-0.2883532558932457,-0.3459307358421381,-0.22639277925749904
quartet,256,0.5,estimated_cut,20,0.2924810790498222,0.002691878528576881,0.001373357080415516,0.004585956546148866
quartet,256,0.5,fixed_balanced,20,0.3539371822189416,0.06414798169769632,0.003680497322744972,0.13084363659726211
