family,calibration_rows,calibration_noise_sd,policy,mean_test_nmse,ci95_low,ci95_high,n_seeds
quartet,1024,0.0,observed_rank_only,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,1024,0.0,oracle_best_trained_menu,0.28978920052124535,0.22825945720933483,0.3469853687755196,20
quartet,1024,0.0,oracle_full_target_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
quartet,1024,0.0,two_sweep_pilot,0.37241369770531435,0.29129898429670037,0.4550641271670723,20
quartet,1024,0.0,uniform_random_expectation,0.3870836635053097,0.3480651716792873,0.42375691673345106,20
quartet,1024,0.5,development_best_fixed,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,1024,0.5,estimated_cut,0.3195414731175096,0.2452081225783136,0.3973804725826332,20
quartet,1024,0.5,fixed_balanced,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,1024,0.5,fixed_comb,0.42869228947134974,0.3506403688596221,0.5142420326524355,20
quartet,1024,0.5,fixed_mixed,0.3650993841701226,0.30450685374848635,0.43003302560687495,20
quartet,1024,0.5,observed_rank_only,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,1024,0.5,oracle_best_trained_menu,0.28978920052124535,0.22825945720933483,0.3469853687755196,20
quartet,1024,0.5,oracle_full_target_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
quartet,1024,0.5,two_sweep_pilot,0.35192678368191566,0.26351785982577747,0.4428988789269093,20
quartet,1024,0.5,uniform_random_expectation,0.3870836635053097,0.3480651716792873,0.42375691673345106,20
random_interactions,64,0.0,development_best_fixed,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.0,estimated_cut,0.46581468879690957,0.3814916920412081,0.5520959747329318,20
random_interactions,64,0.0,fixed_balanced,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.0,fixed_comb,0.6267988621602256,0.5625976211786896,0.682884023036436,20
random_interactions,64,0.0,fixed_mixed,0.571333051876217,0.49958731976261433,0.639064024859704,20
random_interactions,64,0.0,observed_rank_only,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.0,oracle_best_trained_menu,0.42610899037303573,0.35948538494237603,0.49448824572452893,20
random_interactions,64,0.0,oracle_full_target_cut,0.45058049046359294,0.37200113187696854,0.5309124648929194,20
random_interactions,64,0.0,two_sweep_pilot,0.5715742303669191,0.5052931741582479,0.6343671744240987,20
random_interactions,64,0.0,uniform_random_expectation,0.5828822269980962,0.5309314524812544,0.6288242178733507,20
random_interactions,64,0.5,development_best_fixed,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.5,estimated_cut,0.4591906986278983,0.3802399529055369,0.5398012370423222,20
random_interactions,64,0.5,fixed_balanced,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.5,fixed_comb,0.6267988621602256,0.5625976211786896,0.682884023036436,20
random_interactions,64,0.5,fixed_mixed,0.571333051876217,0.49958731976261433,0.639064024859704,20
random_interactions,64,0.5,observed_rank_only,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,64,0.5,oracle_best_trained_menu,0.42610899037303573,0.35948538494237603,0.49448824572452893,20
random_interactions,64,0.5,oracle_full_target_cut,0.45058049046359294,0.37200113187696854,0.5309124648929194,20
random_interactions,64,0.5,two_sweep_pilot,0.5863601465323821,0.5128122750740003,0.6514521396950411,20
random_interactions,64,0.5,uniform_random_expectation,0.5828822269980962,0.5309314524812544,0.6288242178733507,20
random_interactions,256,0.0,development_best_fixed,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,256,0.0,estimated_cut,0.45058049046359294,0.37200113187696854,0.5309124648929194,20
random_interactions,256,0.0,fixed_balanced,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,256,0.0,fixed_comb,0.6267988621602256,0.5625976211786896,0.682884023036436,20
random_interactions,256,0.0,fixed_mixed,0.571333051876217,0.49958731976261433,0.639064024859704,20
random_interactions,256,0.0,observed_rank_only,0.5522166294244502,0.49224735698716215,0.6098542280328053,20
random_interactions,256,0.0,oracle_best_trained_menu,0.42610899037303573,0.35948538494237603,0.49448824572452893,20
random_interactions,256,0.0,oracle_full_target_cut,0.45058049046359294,0.37200113187696854,0.5309124648929194,20
random_interactions,256,0.0,two_sweep_pilot,0.47958888322461374,0.40785346239653153,0.5513621955362717,20
