root_id,alignment,method,credit_capture,one_step_progress,iterative_progress
864691135324623260,0.4,depth bins,0.256058670623983,0.47074447561988303,0.23698192035611224
864691135409937097,0.4,depth bins,0.13683411959557773,0.32797970001833704,0.1271304851843097
864691135739661169,0.4,depth bins,0.26691650652245996,0.4816429037667208,0.24853202380466582
864691135810666525,0.4,depth bins,0.10098281395749989,0.2735820348408162,0.09258063582866412
864691136043380566,0.4,depth bins,0.17713514779397038,0.3816608655812622,0.16274180268058783
864691135060651419,0.4,morphology-selected paths,0.4000000000000001,0.6153837726591798,0.38874464278967996
864691135196576298,0.4,morphology-selected paths,0.4,0.6143126705538356,0.39361997889617373
864691135277186789,0.4,morphology-selected paths,0.3999999999999999,0.6147567046663778,0.3730111306379369
864691135324623260,0.4,morphology-selected paths,0.4,0.6150139469644497,0.3940298388003459
864691135409937097,0.4,morphology-selected paths,0.3999999999999999,0.6144529062542158,0.3827872236848555
864691135739661169,0.4,morphology-selected paths,0.4000000000000001,0.6147483384576062,0.3896007791735979
864691135810666525,0.4,morphology-selected paths,0.4,0.6151811181618687,0.38399122341900493
864691136043380566,0.4,morphology-selected paths,0.4000000000000002,0.6149635288220587,0.38974640822146467
864691135060651419,0.4,random paths,0.08968722102321795,0.25073175166967043,0.08809550828225066
864691135196576298,0.4,random paths,0.3819054613292177,0.5882823337010692,0.37213138224414705
864691135277186789,0.4,random paths,0.13085393831213932,0.3164661807788086,0.12743201780817173
864691135324623260,0.4,random paths,0.24384279205161122,0.4556328938324435,0.23387658125631336
864691135409937097,0.4,random paths,0.15271723772876494,0.34481238048623497,0.1433932514265674
864691135739661169,0.4,random paths,0.27807437110263505,0.49316017957028196,0.2717955444062688
864691135810666525,0.4,random paths,0.10839486475101907,0.27915844832594783,0.10689386679491479
864691136043380566,0.4,random paths,0.1878854380820768,0.3921950499866432,0.18096179252423478
864691135060651419,0.6,ancestry-shuffled paths,0.07022619439666752,0.2131975552132222,0.06658248031149079
864691135196576298,0.6,ancestry-shuffled paths,0.3618296386435148,0.5686331058673857,0.36220965285316364
