root_id,stream,method,requested_channels,effective_rank,wiring_nonzeros,n_weighted_coordinates
864691135277186789,36,ancestry-shuffled paths,8,8,90,95
864691135277186789,37,morphology-selected paths,8,8,90,95
864691135277186789,37,random paths,8,8,21,95
864691135277186789,37,depth bins,8,8,95,95
864691135277186789,37,ancestry-shuffled paths,8,8,90,95
864691135277186789,38,morphology-selected paths,8,8,90,95
864691135277186789,38,random paths,8,8,45,95
864691135277186789,38,depth bins,8,8,95,95
864691135277186789,38,ancestry-shuffled paths,8,8,90,95
864691135277186789,39,morphology-selected paths,8,8,90,95
864691135277186789,39,random paths,8,8,45,95
864691135277186789,39,depth bins,8,8,95,95
864691135277186789,39,ancestry-shuffled paths,8,8,90,95
864691135324623260,0,morphology-selected paths,8,8,14,34
864691135324623260,0,random paths,8,8,18,34
864691135324623260,0,depth bins,8,8,34,34
864691135324623260,0,ancestry-shuffled paths,8,8,14,34
864691135324623260,1,morphology-selected paths,8,8,14,34
864691135324623260,1,random paths,8,8,55,34
864691135324623260,1,depth bins,8,8,34,34
864691135324623260,1,ancestry-shuffled paths,8,8,14,34
864691135324623260,2,morphology-selected paths,8,8,14,34
864691135324623260,2,random paths,8,7,17,34
864691135324623260,2,depth bins,8,8,34,34
864691135324623260,2,ancestry-shuffled paths,8,8,14,34
864691135324623260,3,morphology-selected paths,8,8,14,34
864691135324623260,3,random paths,8,7,37,34
864691135324623260,3,depth bins,8,8,34,34
864691135324623260,3,ancestry-shuffled paths,8,8,14,34
864691135324623260,4,morphology-selected paths,8,8,14,34
864691135324623260,4,random paths,8,8,12,34
864691135324623260,4,depth bins,8,8,34,34
864691135324623260,4,ancestry-shuffled paths,8,8,14,34
864691135324623260,5,morphology-selected paths,8,8,14,34
864691135324623260,5,random paths,8,8,24,34
864691135324623260,5,depth bins,8,8,34,34
864691135324623260,5,ancestry-shuffled paths,8,7,14,34
864691135324623260,6,morphology-selected paths,8,8,14,34
864691135324623260,6,random paths,8,8,17,34
864691135324623260,6,depth bins,8,8,34,34
864691135324623260,6,ancestry-shuffled paths,8,8,14,34
864691135324623260,7,morphology-selected paths,8,8,14,34
864691135324623260,7,random paths,8,8,18,34
864691135324623260,7,depth bins,8,8,34,34
864691135324623260,7,ancestry-shuffled paths,8,6,14,34
864691135324623260,8,morphology-selected paths,8,8,14,34
864691135324623260,8,random paths,8,8,15,34
864691135324623260,8,depth bins,8,8,34,34
864691135324623260,8,ancestry-shuffled paths,8,8,14,34
864691135324623260,9,morphology-selected paths,8,8,14,34
864691135324623260,9,random paths,8,7,22,34
864691135324623260,9,depth bins,8,8,34,34
864691135324623260,9,ancestry-shuffled paths,8,8,14,34
864691135324623260,10,morphology-selected paths,8,8,14,34
864691135324623260,10,random paths,8,8,13,34
864691135324623260,10,depth bins,8,8,34,34
864691135324623260,10,ancestry-shuffled paths,8,7,14,34
864691135324623260,11,morphology-selected paths,8,8,14,34
864691135324623260,11,random paths,8,7,40,34
864691135324623260,11,depth bins,8,8,34,34
864691135324623260,11,ancestry-shuffled paths,8,6,14,34
864691135324623260,12,morphology-selected paths,8,8,14,34
864691135324623260,12,random paths,8,8,59,34
864691135324623260,12,depth bins,8,8,34,34
864691135324623260,12,ancestry-shuffled paths,8,7,14,34
864691135324623260,13,morphology-selected paths,8,8,14,34
864691135324623260,13,random paths,8,8,14,34
864691135324623260,13,depth bins,8,8,34,34
864691135324623260,13,ancestry-shuffled paths,8,8,14,34
864691135324623260,14,morphology-selected paths,8,8,14,34
864691135324623260,14,random paths,8,8,18,34
864691135324623260,14,depth bins,8,8,34,34
864691135324623260,14,ancestry-shuffled paths,8,8,14,34
864691135324623260,15,morphology-selected paths,8,8,14,34
864691135324623260,15,random paths,8,8,49,34
864691135324623260,15,depth bins,8,8,34,34
864691135324623260,15,ancestry-shuffled paths,8,7,14,34
864691135324623260,16,morphology-selected paths,8,8,14,34
864691135324623260,16,random paths,8,8,31,34
864691135324623260,16,depth bins,8,8,34,34
864691135324623260,16,ancestry-shuffled paths,8,7,14,34
864691135324623260,17,morphology-selected paths,8,8,14,34
864691135324623260,17,random paths,8,8,31,34
864691135324623260,17,depth bins,8,8,34,34
864691135324623260,17,ancestry-shuffled paths,8,8,14,34
864691135324623260,18,morphology-selected paths,8,8,14,34
864691135324623260,18,random paths,8,7,30,34
864691135324623260,18,depth bins,8,8,34,34
864691135324623260,18,ancestry-shuffled paths,8,7,14,34
864691135324623260,19,morphology-selected paths,8,8,14,34
864691135324623260,19,random paths,8,7,55,34
864691135324623260,19,depth bins,8,8,34,34
864691135324623260,19,ancestry-shuffled paths,8,8,14,34
864691135324623260,20,morphology-selected paths,8,8,14,34
864691135324623260,20,random paths,8,8,15,34
864691135324623260,20,depth bins,8,8,34,34
864691135324623260,20,ancestry-shuffled paths,8,7,14,34
