seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7103,1,6,2.87851711e-05,6.898396088e-06,4.172733884,0.8066786302,0.5336531347
7103,1,7,2.128986601e-05,2.881270047e-06,7.389056099,0.880797078,0.3439573877
7103,1.5,0,2.602506058e-05,0.0005227273151,0.04978706837,0.04742587318,4.646294118
7103,1.5,1,2.184064951e-05,0.0001861643774,0.1173191661,0.105000585,2.770852708
7103,1.5,2,4.049050678e-05,0.0001464643175,0.2764530466,0.2165790958,2.433912319
7103,1.5,3,2.377398086e-05,3.64945586e-05,0.6514390575,0.3944675128,1.233444817
7103,1.5,4,2.483328006e-05,1.617736856e-05,1.535063009,0.6055324872,0.8165082567
7103,1.5,5,2.678511091e-05,7.404825514e-06,3.617250785,0.7834209042,0.551612472
7103,1.5,6,2.87851711e-05,3.377052269e-06,8.523756461,0.894999415,0.3733824428
7103,1.5,7,2.128986601e-05,1.059960015e-06,20.08553692,0.9525741268,0.2086207013
7103,2,0,2.602506058e-05,0.001420920162,0.01831563889,0.03,7.660443943
7103,2,1,2.184064951e-05,0.0003802830132,0.05743261927,0.05431326613,3.960213615
7103,2,2,4.049050678e-05,0.0002248319559,0.1800923121,0.1526086648,3.015560404
7103,2,3,2.377398086e-05,4.20988453e-05,0.564718122,0.3609072548,1.324770836
7103,2,4,2.483328006e-05,1.402380328e-05,1.770794952,0.6390927452,0.7602204471
7103,2,5,2.678511091e-05,4.823792554e-06,5.552707876,0.8473913352,0.4452162156
7103,2,6,2.87851711e-05,1.653207772e-06,17.41170806,0.9456867339,0.2612454412
7103,2,7,2.128986601e-05,3.899374979e-07,54.59815003,0.98201379,0.1265348516
7104,0,0,2.132619113e-05,2.132619113e-05,1,0.5,0.9384771555
7104,0,1,2.728770598e-05,2.728770598e-05,1,0.5,1.065544213
7104,0,2,2.912616791e-05,2.912616791e-05,1,0.5,1.089459976
7104,0,3,2.813691301e-05,2.813691301e-05,1,0.5,1.080995317
