model,task,optimizer,rule,step,gradient_cosine,optimizer_update_cosine,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_sign_oracle_capture,path_best_rank_one_capture,path_effective_rank,path_full_rank_capture,path_delivered_relative_squared_error,path_delivered_cosine,path_energy,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_sign_oracle_capture,credit_best_rank_one_capture,credit_effective_rank,credit_full_rank_capture,credit_delivered_relative_squared_error,credit_delivered_cosine,credit_energy
conductance,0,adam,unit_broadcast,64,0.8339953111326956,0.3828497949478046,0.7235772872903989,0.904112330481146,0.7235772872903989,0.9912394780134098,1.0177132065127326,1.0,7.042408143007158,0.8486668938049012,260.1172356258634,0.7327669705805139,0.9027614989219999,0.7327669705805139,0.9918105408977576,1.0165526938309137,1.0,6.913103742911804,0.8541073291386484,371.3904450194637
conductance,0,adam,unit_broadcast,256,0.8216207712063731,0.28577970247825274,0.725381728327475,0.9025708053833373,0.725381728327475,0.9911740538035113,1.0178488194709487,1.0,6.954513304966582,0.8497145825119536,261.68480230510056,0.7345422347838245,0.9014862751711223,0.7345422347838245,0.9914580027420741,1.0172715440385927,1.0,6.829035319514624,0.855086838016083,43.15805914889282
conductance,0,adam,unit_broadcast,512,0.8247329866781217,0.17144992712958834,0.7252839645584437,0.9022476902383854,0.7252839645584437,0.9911739583129793,1.0178491221740698,1.0,6.944725723929926,0.8496519866641989,261.8105344389476,0.7349048890699794,0.901545420561453,0.7349048890699794,0.9915234485704829,1.017140340858313,1.0,6.822830161333424,0.8552828273971343,6.192753563105717
conductance,0,adam,unit_broadcast,1024,0.8369985480542204,-0.20015301509091135,0.7254960391197074,0.902720721802709,0.7254960391197074,0.9911692024272897,1.0178588855808743,1.0,6.934018209361865,0.8497743149532371,262.0705333806477,0.7322123773513084,0.9017829279858812,0.7322123773513084,0.9911373183866953,0.91620743800132,1.0,6.847785285560174,0.8536558077690654,0.08142244901176586
conductance,0,sgd,calibrated_broadcast,0,0.9940378428115244,0.9940378428115244,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,0.010391973926798326,0.9947918661109829,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,0.010758493337668125,0.9946553256656816,28813.304619249662
conductance,0,sgd,calibrated_broadcast,1,0.9939829496483146,0.9939829496483146,0.6910580479411246,0.9907379563212586,0.6910580479411246,0.9907880324219052,1.0186348702253267,1.0,0.01039642668506896,0.9947899070555529,275.0922575690903,0.6906313637640852,0.9903491020556977,0.6906313637640852,0.9912977139527657,1.017595767025251,1.0,0.010762388202636189,0.994651472244106,27831.788359442784
conductance,0,sgd,calibrated_broadcast,16,0.9931686597881525,0.9931686597881525,0.6950513299287518,0.9899363411351614,0.6950513299287518,0.9907473951097711,1.0187175171290934,1.0,0.011327575428127975,0.9943894628455683,272.09751973935937,0.6945159073671882,0.9895126600516269,0.6945159073671882,0.9910064316076559,1.0181902103651368,1.0,0.01172162593750797,0.9942162979198461,17428.102185325646
conductance,0,sgd,calibrated_broadcast,64,0.9883069880483522,0.9883069880483522,0.7027105084849027,0.9839563448943602,0.7027105084849027,0.9907393287951735,1.0187347700950444,1.0,0.018272677737871328,0.9913841495328375,267.0206068282479,0.7033781116415977,0.9833226174888539,0.7033781116415977,0.9903633160701526,1.0195072234865388,1.0,0.018943432159614783,0.991058112426883,7568.083927147816
conductance,0,sgd,calibrated_broadcast,256,0.9687194811052743,0.9687194811052743,0.7161932653500815,0.9568723267757653,0.7161932653500815,0.9908543090902903,1.0185019729218117,1.0,0.050417407067878305,0.9774756203736414,260.2598415924814,0.7225683777397781,0.9567758558549467,0.7225683777397781,0.9907407167788345,1.0187321121093549,1.0,0.0503274453143728,0.9773944047722983,3458.2042680027334
conductance,0,sgd,calibrated_broadcast,512,0.9506586677026508,0.9506586677026508,0.7192304833380492,0.9332932367267691,0.7192304833380492,0.9909698895963409,1.0182655493299682,1.0,0.07832743750622742,0.9649573472440759,259.03721684985237,0.727467707416385,0.9334895773616025,0.727467707416385,0.9913295057180707,1.017527420399865,1.0,0.07769487355630496,0.9650322388447149,2246.888682722415
