sensitivity,model,task,optimizer,contrast,seed,difference
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211214,0.6186540030129302
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211215,0.7620484808464348
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211216,0.6652320625801866
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211217,0.763471067465075
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211218,0.7623339373152811
selected_rate,algebraic,nested,adam,sign_broadcast minus exact,211219,0.737150972011801
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211200,-0.07696271708151592
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211201,-0.12010751559610933
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211202,0.007292937700622226
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211203,0.00631354821584218
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211204,-0.004326710642516884
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211205,-0.00617637850739583
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211206,0.05737109469816115
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211207,-0.06325293152978428
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211208,0.00862714379925078
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211209,-0.010607164474565334
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211210,-0.00018205263295900664
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211211,-0.03771395719042936
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211212,0.0003939916626760631
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211213,-0.003923997316675809
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211214,0.07225818292959652
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211215,-0.0004003009260213908
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211216,0.020069287561766402
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211217,-0.05317258608430597
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211218,-0.019146683986785873
selected_rate,algebraic,nested,adam,unit_broadcast minus calibrated_broadcast,211219,-0.11108025804212662
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211200,0.6490587463233691
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211201,0.369733446590556
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211202,0.7615635176246173
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211203,0.7561173301935699
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211204,0.2710032653531117
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211205,0.7549634143010631
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211206,-0.0022001456008832188
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211207,0.554237062021274
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211208,0.7513539071190749
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211209,0.23801313891062248
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211210,0.37123610063610574
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211211,0.3391157574178779
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211212,0.5559904130390618
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211213,0.6938263198035773
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211214,0.3242311720204454
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211215,0.7751579848284312
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211216,0.3066822873148136
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211217,0.21993919318672273
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211218,0.7451379656915605
