state,architecture,feedback_family,budget_k,n_seeds,mean_address_capture,ci95_low_address_capture,ci95_high_address_capture,mean_coefficient_residual_energy,ci95_low_coefficient_residual_energy,ci95_high_coefficient_residual_energy,mean_realized_field_score,ci95_low_realized_field_score,ci95_high_realized_field_score
initialization,point_neuron_explicit_gating,learned_rank_k_upper_bound,1,20,0.1329633476,0.1307557282,0.1351438445,7.647620227e-31,6.679310166e-31,8.700457641e-31,0.1329633476,0.1308151558,0.1351322377
initialization,point_neuron_explicit_gating,learned_rank_k_upper_bound,2,20,0.2612405622,0.2584796726,0.2643408638,1.683325737e-30,1.541718362e-30,1.830074002e-30,0.2612405622,0.2584963989,0.264353089
initialization,point_neuron_explicit_gating,learned_rank_k_upper_bound,4,20,0.5120672,0.5096777572,0.5147139958,3.726995609e-30,3.54465909e-30,3.911909154e-30,0.5120672,0.5097171461,0.5147224676
initialization,point_neuron_explicit_gating,learned_rank_k_upper_bound,8,20,1,1,1,8.550057084e-30,8.22580516e-30,8.891002184e-30,1,1,1
initialization,point_neuron_explicit_gating,neuron_indexed_shared,1,20,0.1581537891,0.1572944711,0.1589716125,2205.126811,2190.131165,2221.011147,-0.2451325635,-0.2497354971,-0.2406031628
initialization,point_neuron_explicit_gating,random_rank_k,1,20,0.1512204508,0.1492768696,0.1530922633,2902.287426,2799.636587,3004.253384,-0.379235801,-0.3976557634,-0.3611071255
initialization,point_neuron_explicit_gating,random_rank_k,2,20,0.2879216961,0.2861650173,0.2896240953,1889.73381,1818.12129,1964.807794,-0.05758634381,-0.07231723234,-0.04353951831
initialization,point_neuron_explicit_gating,random_rank_k,4,20,0.5418532843,0.539288309,0.5442258386,758.3449865,717.6628875,807.2526321,0.4031620609,0.3924639281,0.4124580335
initialization,point_neuron_explicit_gating,random_rank_k,8,20,1,1,1,8.550057084e-30,8.223599917e-30,8.896248164e-30,1,1,1
initialization,point_neuron_explicit_gating,random_sparse_matched,1,20,0.1581537891,0.1573034896,0.1589706988,2205.126811,2190.342156,2221.1545,-0.2451325635,-0.2498087492,-0.2405837182
initialization,point_neuron_explicit_gating,random_sparse_matched,2,20,0.3042497765,0.3031323714,0.3053856431,1446.421504,1435.914305,1456.362773,0.03971606409,0.03614689521,0.04321917584
initialization,point_neuron_explicit_gating,random_sparse_matched,4,20,0.5682719026,0.566175669,0.5704193742,688.6640247,677.6998821,700.0889019,0.4423232637,0.4382242256,0.4462605711
initialization,point_neuron_explicit_gating,random_sparse_matched,8,20,1,1,1,8.550057084e-30,8.220761074e-30,8.891375192e-30,1,1,1
initialization,point_neuron_explicit_gating,within_neuron_route_derangement,1,20,0.1581537891,0.157294218,0.1589734312,2205.126811,2189.886593,2220.963072,-0.2451325635,-0.2496840262,-0.2406512961
initialization,point_neuron_explicit_gating,within_neuron_route_derangement,2,20,0,0,0,5258.973584,5229.021454,5291.179098,-0.9616988508,-0.9678813366,-0.9558225006
initialization,point_neuron_explicit_gating,within_neuron_route_derangement,4,20,0,0,0,5178.968092,5151.91463,5208.226364,-0.9470906286,-0.9533583478,-0.9409326698
initialization,point_neuron_explicit_gating,within_neuron_route_derangement,8,20,0,0,0,5090.748896,5057.920053,5125.665592,-0.9309645604,-0.9384367077,-0.9239527512
trained,degree_depth_matched_rewired_tree,backpropagation,8,20,1,1,1,5.645131658e-30,5.23643435e-30,6.070310575e-30,1,1,1
trained,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,1,20,0.1620503511,0.1611611672,0.1629187529,6816.929527,6771.148983,6864.697807,-0.2148391261,-0.2198886307,-0.2102082494
trained,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,2,20,0.3135957649,0.3120296666,0.3152667537,3734.335747,3620.859271,3853.022302,0.0786029266,0.07417561085,0.08317096894
trained,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,4,20,0.5490540157,0.5466682996,0.5513530459,525.8965669,510.7757653,542.5020455,0.3999276054,0.3945180527,0.4054576572
trained,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,8,20,1,1,1,5.645131658e-30,5.239872224e-30,6.071116387e-30,1,1,1
trained,degree_depth_matched_rewired_tree,depth_interleaved_bins,1,20,0.1620503511,0.1611539163,0.1629134767,6816.929527,6771.250755,6864.285478,-0.2148391261,-0.2199343893,-0.210182329
trained,degree_depth_matched_rewired_tree,depth_interleaved_bins,2,20,0.3146415352,0.3132433266,0.3159706869,3548.685927,3471.38094,3634.175335,0.08258125202,0.07801958902,0.08689572606
trained,degree_depth_matched_rewired_tree,depth_interleaved_bins,4,20,0.5516668661,0.5490480718,0.5540378779,503.6674747,486.7945002,521.1900697,0.4054897283,0.4002645079,0.4100922068
trained,degree_depth_matched_rewired_tree,depth_interleaved_bins,8,20,1,1,1,5.645131658e-30,5.245892113e-30,6.072769713e-30,1,1,1
trained,degree_depth_matched_rewired_tree,exact_compartment_transport,8,20,1,1,1,5.645131658e-30,5.241547335e-30,6.067541674e-30,1,1,1
trained,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,1,20,0.0615030789,0.05933502291,0.06360543135,7.167266726e-31,5.983032799e-31,8.435974254e-31,0.0615030789,0.05935427099,0.06361474563
trained,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,2,20,0.134815579,0.1310733978,0.1385348555,1.537875098e-30,1.327508923e-30,1.757254689e-30,0.134815579,0.1311817706,0.1384754546
trained,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,4,20,0.320799235,0.3158232702,0.3257913299,2.969231523e-30,2.714366723e-30,3.228162825e-30,0.320799235,0.3158108074,0.3257792259
trained,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,8,20,1,1,1,5.645131658e-30,5.236792383e-30,6.074256874e-30,1,1,1
trained,degree_depth_matched_rewired_tree,neuron_indexed_shared,1,20,0.1620503511,0.1611563023,0.1629072036,6816.929527,6770.922622,6864.633219,-0.2148391261,-0.2198576822,-0.2102037999
trained,degree_depth_matched_rewired_tree,random_rank_k,1,20,0.1701151879,0.1558471988,0.1863082639,3805.303916,3016.834707,4663.998174,-0.3425527777,-0.3889230282,-0.2978650207
trained,degree_depth_matched_rewired_tree,random_rank_k,2,20,0.2851851816,0.2720761528,0.2975819158,2134.265711,1687.054598,2615.262312,-0.0788637526,-0.1051196088,-0.05361258285
trained,degree_depth_matched_rewired_tree,random_rank_k,4,20,0.5169174324,0.5112355123,0.5225185715,541.2783819,496.7620547,591.3422931,0.3412797393,0.3245983467,0.3558801198
trained,degree_depth_matched_rewired_tree,random_rank_k,8,20,1,1,1,5.695550003e-30,5.348804019e-30,6.041382343e-30,1,1,1
trained,degree_depth_matched_rewired_tree,random_sparse_matched,1,20,0.1620503511,0.161157642,0.1629108685,6816.929527,6770.594195,6864.779021,-0.2148391261,-0.2198644248,-0.2102134153
trained,degree_depth_matched_rewired_tree,random_sparse_matched,2,20,0.3133450348,0.3118326834,0.3149997764,3608.868127,3337.724809,3813.384541,0.07818504608,0.07337921209,0.0830078879
trained,degree_depth_matched_rewired_tree,random_sparse_matched,4,20,0.5495142867,0.547573427,0.5515035804,519.4483193,495.7790355,542.7461602,0.4000838064,0.3958503284,0.4044456124
trained,degree_depth_matched_rewired_tree,random_sparse_matched,8,20,1,1,1,5.645131658e-30,5.234653821e-30,6.072840032e-30,1,1,1
