panel,record,budget_k,context,group_size,raw_coefficient_sum,normalized_coefficient_sum,normalization,control,cued_stream,b1,b2,b3,b4,b5,b6,b7,b8,architecture,feedback_family,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress,n_pairs,mean_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds,tied_seeds,p_two_sided_wilcoxon,p_exact_two_sided_mean_signflip,p_holm_four_budgets,p_holm_four_individual_controls_at_k4,p_exact_mean_signflip_holm_four_budgets,p_exact_mean_signflip_holm_four_individual_controls_at_k4,seed,accuracy_difference_pp,comparator_families,readout,calibration_samples,cue_noise_sd,cue_delay_trials,epoch,mean_accuracy_pct,ci95_low_pct,ci95_high_pct,mean_pp,p_wilcoxon,primary_family_holm_p,analysis_status,display_row
D,condition_mean,1.0,,,,,,,,,,,,,,,,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,20.0,0.1866455078,0.1827874756,0.1907714844,19.87260017,19.57875479,20.20147739,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306527152,0.1319073472,0.3623277802,0.3614428968,0.3632016222,-1.097266085,-1.101673128,-1.092665299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,2.0,,,,,,,,,,,,,,,,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,20.0,0.2171386719,0.2089599609,0.225,4.476635517,3.981867905,5.020382456,0.02846679687,0.0208984375,0.03647460938,0.2605497783,0.2594841127,0.261648479,0.5104350182,0.5093893582,0.5115030818,-0.9041688129,-0.9393804351,-0.8678045978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,4.0,,,,,,,,,,,,,,,,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,20.0,0.7508789062,0.7402337646,0.7608398438,0.5271260723,0.5158786774,0.5399397721,0.3302734375,0.2786621094,0.3895507812,0.513405023,0.5117526376,0.5151530791,0.7165176975,0.7153384848,0.7177289577,0.8174998214,0.7940083241,0.8383367184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,8.0,,,,,,,,,,,,,,,,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,20.0,0.8100097656,0.8051025391,0.8149902344,0.4138553991,0.4071500216,0.4205461397,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,1.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.1866455078,0.1827148437,0.1907226563,19.87260017,19.58235723,20.19455524,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306428169,0.1319110322,0.3623277802,0.3614446927,0.363180812,-1.097266085,-1.101635403,-1.092769521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,2.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.4486328125,0.4288574219,0.4686523437,0.8416249512,0.8125954238,0.8717139489,0.0,0.0,0.0,0.2651939017,0.2641764421,0.2662309986,0.5149647929,0.5139844596,0.5159777259,-0.08484231529,-0.1569119101,-0.01520106749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,4.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.8010498047,0.7955322266,0.8069580078,0.4310751209,0.4252759054,0.4368151509,0.0,0.0,0.0,0.5228728922,0.5211219456,0.5245891547,0.7230943012,0.7218954126,0.7242696325,0.9759261825,0.9740182588,0.9777057459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,condition_mean,8.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.8100097656,0.8052246094,0.8149658203,0.4138553991,0.4072494535,0.4206493983,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,paired_contrast,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
D,paired_contrast,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,23.149414061,21.032653804412497,25.317382811025002,20.0,,,,,,,,,,,,,,,,,,,,,,,
D,paired_contrast,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.017089844,4.1894531255,5.935058593012499,20.0,,,,,,,,,,,,,,,,,,,,,,,
D,paired_contrast,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
