panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,task
D,seed outcome,broadcast,,,,,,,test_nmse,2026092214.0,0.0002385638934229,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092215.0,0.0001412353603498,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092216.0,0.000175326355249,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092217.0,0.000241030028594,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092218.0,0.0001275013522402,0.0,selected,
D,seed outcome,broadcast,,,,,,,test_nmse,2026092219.0,0.0001289785965124,0.0,selected,
D,mean and bootstrap interval,resistance,,9.502492791800554e-05,8.07391080167726e-05,0.00010967832938792499,20.0,,test_nmse,,,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092200.0,0.0001103647443498,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092201.0,6.789422507984792e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092202.0,4.890429614799116e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092203.0,0.0001031448433126,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092204.0,7.737996006113067e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092205.0,4.760886776482748e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092206.0,0.0001531352141388,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092207.0,9.904682424003584e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092208.0,5.430331053863407e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092209.0,8.606097608665707e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092210.0,5.376713188335472e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092211.0,0.0001350814152505,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092212.0,6.52249088801436e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092213.0,7.024046128870342e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092214.0,0.0001272861260195,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092215.0,0.0001111281763899,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092216.0,0.0001434865667225,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092217.0,0.0001417094098842,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092218.0,8.123526607288483e-05,0.0,selected,
D,seed outcome,resistance,,,,,,,test_nmse,2026092219.0,0.0001234958342481,0.0,selected,
D,mean and bootstrap interval,broadcast,,0.01050601153527379,0.0087532106990197,0.012519980061403934,20.0,,ood_3.0,,,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092200.0,0.0152486095705045,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092201.0,0.0100488159064166,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092202.0,0.0055978438760745,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092203.0,0.0061612877598202,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092204.0,0.0084317043641213,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092205.0,0.0085867303752323,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092206.0,0.0095081352081808,1.0,selected,
D,seed outcome,broadcast,,,,,,,ood_3.0,2026092207.0,0.0095333210110024,1.0,selected,
