seed,budget_k,control,accuracy_difference_pp,comparator_families
4202,4,learned_rank_k_upper_bound,13.28125,learned_rank_k_upper_bound
4202,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4203,1,learned_rank_k_upper_bound,-33.740234375,learned_rank_k_upper_bound
4203,2,learned_rank_k_upper_bound,-10.986328125,learned_rank_k_upper_bound
4203,4,learned_rank_k_upper_bound,12.3046875,learned_rank_k_upper_bound
4203,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4204,1,learned_rank_k_upper_bound,-36.962890625,learned_rank_k_upper_bound
4204,2,learned_rank_k_upper_bound,-19.091796875,learned_rank_k_upper_bound
4204,4,learned_rank_k_upper_bound,11.328125,learned_rank_k_upper_bound
4204,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4205,1,learned_rank_k_upper_bound,-33.30078125,learned_rank_k_upper_bound
4205,2,learned_rank_k_upper_bound,-11.181640625,learned_rank_k_upper_bound
4205,4,learned_rank_k_upper_bound,12.255859375,learned_rank_k_upper_bound
4205,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4206,1,learned_rank_k_upper_bound,-35.107421875,learned_rank_k_upper_bound
4206,2,learned_rank_k_upper_bound,-17.87109375,learned_rank_k_upper_bound
4206,4,learned_rank_k_upper_bound,11.279296875,learned_rank_k_upper_bound
4206,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4207,1,learned_rank_k_upper_bound,-46.2890625,learned_rank_k_upper_bound
4207,2,learned_rank_k_upper_bound,-30.517578125,learned_rank_k_upper_bound
4207,4,learned_rank_k_upper_bound,6.73828125,learned_rank_k_upper_bound
4207,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4208,1,learned_rank_k_upper_bound,-40.087890625,learned_rank_k_upper_bound
4208,2,learned_rank_k_upper_bound,-23.388671875,learned_rank_k_upper_bound
4208,4,learned_rank_k_upper_bound,7.373046875,learned_rank_k_upper_bound
4208,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4209,1,learned_rank_k_upper_bound,-32.6171875,learned_rank_k_upper_bound
4209,2,learned_rank_k_upper_bound,-9.08203125,learned_rank_k_upper_bound
4209,4,learned_rank_k_upper_bound,12.79296875,learned_rank_k_upper_bound
4209,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4210,1,learned_rank_k_upper_bound,-39.599609375,learned_rank_k_upper_bound
4210,2,learned_rank_k_upper_bound,-11.71875,learned_rank_k_upper_bound
4210,4,learned_rank_k_upper_bound,5.95703125,learned_rank_k_upper_bound
4210,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4211,1,learned_rank_k_upper_bound,-41.845703125,learned_rank_k_upper_bound
4211,2,learned_rank_k_upper_bound,-20.60546875,learned_rank_k_upper_bound
4211,4,learned_rank_k_upper_bound,7.91015625,learned_rank_k_upper_bound
4211,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4212,1,learned_rank_k_upper_bound,-36.62109375,learned_rank_k_upper_bound
4212,2,learned_rank_k_upper_bound,-8.935546875,learned_rank_k_upper_bound
4212,4,learned_rank_k_upper_bound,12.20703125,learned_rank_k_upper_bound
4212,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4213,1,learned_rank_k_upper_bound,-42.08984375,learned_rank_k_upper_bound
4213,2,learned_rank_k_upper_bound,-20.3125,learned_rank_k_upper_bound
4213,4,learned_rank_k_upper_bound,5.224609375,learned_rank_k_upper_bound
4213,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4214,1,learned_rank_k_upper_bound,-33.203125,learned_rank_k_upper_bound
4214,2,learned_rank_k_upper_bound,-17.3828125,learned_rank_k_upper_bound
4214,4,learned_rank_k_upper_bound,12.5,learned_rank_k_upper_bound
4214,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4215,1,learned_rank_k_upper_bound,-38.96484375,learned_rank_k_upper_bound
4215,2,learned_rank_k_upper_bound,-18.06640625,learned_rank_k_upper_bound
4215,4,learned_rank_k_upper_bound,11.767578125,learned_rank_k_upper_bound
4215,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4216,1,learned_rank_k_upper_bound,-35.546875,learned_rank_k_upper_bound
4216,2,learned_rank_k_upper_bound,-25.341796875,learned_rank_k_upper_bound
4216,4,learned_rank_k_upper_bound,8.10546875,learned_rank_k_upper_bound
4216,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4217,1,learned_rank_k_upper_bound,-40.13671875,learned_rank_k_upper_bound
4217,2,learned_rank_k_upper_bound,-20.947265625,learned_rank_k_upper_bound
4217,4,learned_rank_k_upper_bound,4.6875,learned_rank_k_upper_bound
4217,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4218,1,learned_rank_k_upper_bound,-28.955078125,learned_rank_k_upper_bound
4218,2,learned_rank_k_upper_bound,-5.615234375,learned_rank_k_upper_bound
4218,4,learned_rank_k_upper_bound,13.720703125,learned_rank_k_upper_bound
4218,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4219,1,learned_rank_k_upper_bound,-39.6484375,learned_rank_k_upper_bound
4219,2,learned_rank_k_upper_bound,-10.25390625,learned_rank_k_upper_bound
4219,4,learned_rank_k_upper_bound,12.158203125,learned_rank_k_upper_bound
4219,8,learned_rank_k_upper_bound,0,learned_rank_k_upper_bound
4200,1,best_matched_nonanatomical_oracle,-59.423828125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4200,2,best_matched_nonanatomical_oracle,-28.22265625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4200,4,best_matched_nonanatomical_oracle,-1.318359375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4200,8,best_matched_nonanatomical_oracle,0,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4201,1,best_matched_nonanatomical_oracle,-25.927734375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4201,2,best_matched_nonanatomical_oracle,5.615234375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4201,4,best_matched_nonanatomical_oracle,-0.537109375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4201,8,best_matched_nonanatomical_oracle,0,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4202,1,best_matched_nonanatomical_oracle,-35.83984375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4202,2,best_matched_nonanatomical_oracle,-31.640625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4202,4,best_matched_nonanatomical_oracle,3.369140625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4202,8,best_matched_nonanatomical_oracle,0,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4203,1,best_matched_nonanatomical_oracle,-56.103515625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4203,2,best_matched_nonanatomical_oracle,-10.302734375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4203,4,best_matched_nonanatomical_oracle,0.732421875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4203,8,best_matched_nonanatomical_oracle,0,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4204,1,best_matched_nonanatomical_oracle,-63.671875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4204,2,best_matched_nonanatomical_oracle,-37.6953125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4204,4,best_matched_nonanatomical_oracle,3.41796875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4204,8,best_matched_nonanatomical_oracle,0,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4205,1,best_matched_nonanatomical_oracle,-17.626953125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4205,2,best_matched_nonanatomical_oracle,-22.802734375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
4205,4,best_matched_nonanatomical_oracle,-0.146484375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k
