seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort
52,dendritic_shunting,per_soma,scalar_fallback,0.1934146833324812,0.2536176800727844,0.1361402519124308,0.2905732626853088,extension
52,dendritic_shunting,per_soma_shared,neuron_wise,0.6919901767289971,0.7487164258956909,0.6524221477352483,3.004362269731938,extension
52,dendritic_shunting,per_soma_shared,scalar_fallback,-0.0194858496692551,-0.0671327255666256,-0.0436841688251941,0.0718599785669468,extension
53,dendritic_additive,per_soma,neuron_wise,0.4429434951748031,0.5124252378940582,0.4189978150204898,1.0121546384532898,extension
53,dendritic_additive,per_soma,scalar_fallback,0.1669275923221709,0.204204311966896,0.1533066561163358,0.3158383448439191,extension
53,dendritic_additive,per_soma_shared,neuron_wise,0.6201922259957667,0.6886741876602173,0.63359593611861,1.722092983052369,extension
53,dendritic_additive,per_soma_shared,scalar_fallback,0.0860996470627081,0.1213413551449775,0.0892212860164669,0.1089353543068901,extension
53,dendritic_shunting,per_soma,neuron_wise,0.3548872369979007,0.4994692414999008,0.3297971173837731,1.6418966266755677,extension
53,dendritic_shunting,per_soma,scalar_fallback,0.168897145326394,0.2629113748669624,0.2159619381026521,0.2226156418307081,extension
53,dendritic_shunting,per_soma_shared,neuron_wise,0.7087584738332436,0.7928997039794922,0.6676764920320343,2.6966595989142474,extension
