task_id,arm,seed,rank,noise_sd,angle_pi,utility_vs_negative_loss_rho
s7204_r1_n000_a375,feedback_only,7204,1,0.0,0.375,0.9069767441860467
s7204_r1_n000_a375,joint_forward_feedback,7204,1,0.0,0.375,0.9849624060150375
s7204_r1_n750_a125,feedback_only,7204,1,0.75,0.125,-1.0
s7204_r1_n750_a125,joint_forward_feedback,7204,1,0.75,0.125,-0.9969924812030074
s7204_r1_n750_a375,feedback_only,7204,1,0.75,0.375,-1.0
s7204_r1_n750_a375,joint_forward_feedback,7204,1,0.75,0.375,-0.9969924812030074
s7204_r2_n000_a125,feedback_only,7204,2,0.0,0.125,0.9906976744186047
s7204_r2_n000_a125,joint_forward_feedback,7204,2,0.0,0.125,0.9338345864661652
s7204_r2_n000_a375,feedback_only,7204,2,0.0,0.375,0.9782945736434111
s7204_r2_n000_a375,joint_forward_feedback,7204,2,0.0,0.375,0.9609022556390976
s7204_r2_n750_a125,feedback_only,7204,2,0.75,0.125,0.49147286821705427
s7204_r2_n750_a125,joint_forward_feedback,7204,2,0.75,0.125,0.6947368421052631
s7204_r2_n750_a375,feedback_only,7204,2,0.75,0.375,0.48217054263565895
s7204_r2_n750_a375,joint_forward_feedback,7204,2,0.75,0.375,0.5669172932330826
s7204_r4_n000_a125,feedback_only,7204,4,0.0,0.125,0.9860465116279072
s7204_r4_n000_a125,joint_forward_feedback,7204,4,0.0,0.125,0.9458646616541352
s7204_r4_n000_a375,feedback_only,7204,4,0.0,0.375,0.9736434108527134
s7204_r4_n000_a375,joint_forward_feedback,7204,4,0.0,0.375,0.9488721804511278
s7204_r4_n750_a125,feedback_only,7204,4,0.75,0.125,0.9612403100775194
s7204_r4_n750_a125,joint_forward_feedback,7204,4,0.75,0.125,0.8947368421052632
s7204_r4_n750_a375,feedback_only,7204,4,0.75,0.375,0.9271317829457366
s7204_r4_n750_a375,joint_forward_feedback,7204,4,0.75,0.375,0.849624060150376
s7204_r8_n000_a125,feedback_only,7204,8,0.0,0.125,0.970542635658915
s7204_r8_n000_a125,joint_forward_feedback,7204,8,0.0,0.125,0.9548872180451128
