task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,reference_credit_effective_rank,reference_capture,transported_credit_effective_rank,predicted_penalized_loss,policy,utility_to_loss_scale,test_loss,penalized_test_loss,oracle_candidate_id,oracle_budget_k,oracle_tree_id,oracle_penalized_loss,regret,exact_candidate_match,budget_match,tree_match
s7218_r2_n750_a125,confirmatory,7218,2,0.75,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0874526297837705,0.2539657543599143,0.2761357512897763,0.2761357512897763,0.2302438544746978,7.643939094480108,0.5063796057644743,0.296458506234739,0.8241351843291105,2.0,1.0,1.999888578095566,0.6672618045614926,maximum_budget,2.753178808018834,0.2981901317644288,0.3820894790230046,balanced_contiguous_k2,2,balanced_contiguous,0.3208309113191005,0.06125856770390409,False,False,True
s7218_r2_n750_a125,confirmatory,7218,2,0.75,0.125,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4.0,0.5487418407321983,0.5,0.487418407321983,64.0,64.0,32.0,0.0815003304703992,0.2368003036968416,0.2573257363157389,0.2573257363157389,0.2142921652577244,7.114675024562921,0.4716179015734634,0.296458506234739,0.8241351843291105,2.0,0.8773235269937869,1.999888578095566,0.6436495488900517,rank_only,2.753178808018834,0.2971837086198099,0.3410830558783858,balanced_contiguous_k2,2,balanced_contiguous,0.3208309113191005,0.020252144559285257,False,False,True
s7218_r2_n750_a125,confirmatory,7218,2,0.75,0.125,joint_forward_feedback,balanced_contiguous_k1,balanced_contiguous,balanced,1.0,0.1737418407321983,0.125,0.487418407321983,64.0,64.0,8.0,0.0344340019130031,0.096740400332627,0.1091607361704735,0.1091607361704735,0.0985845220355352,3.263865441307602,0.2077452582060088,0.296458506234739,0.8241351843291105,2.0,0.4268013789697297,1.999888578095566,0.7432315672455262,sampled_random,2.753178808018834,0.579881086816953,0.5937804340755289,balanced_contiguous_k2,2,balanced_contiguous,0.3208309113191005,0.2729495227564284,False,False,True
s7218_r2_n750_a375,confirmatory,7218,2,0.75,0.375,joint_forward_feedback,comb_contiguous_k8,comb_contiguous,comb,8.0,1.1,1.0,1.0,64.0,64.0,64.0,0.1120677583608946,0.2316486005570085,0.3726469912217186,0.3726469912217186,0.3113504626471316,10.335861795929931,0.6839974538688502,0.4382087816111697,0.8362223127013758,2.0,0.9999999999999996,1.9751372621797825,0.6156797353199852,moment_selector,2.753178808018834,0.303920989368769,0.391920989368769,balanced_contiguous_k2,2,balanced_contiguous,0.3170592120660422,0.0748617773027268,False,False,False
s7218_r2_n750_a375,confirmatory,7218,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0638749144083179,0.2481501968257133,0.1960528963886753,0.1960528963886753,0.1622976638412342,5.3895781393081705,0.3583505602299096,0.2161194322858922,0.8362223127013758,2.0,0.9999999999999996,1.9905245024805327,0.7442625992469539,development_best,2.753178808018834,0.2943482044189515,0.3782475516775274,balanced_contiguous_k2,2,balanced_contiguous,0.3170592120660422,0.061188339611485176,False,False,True
s7218_r2_n750_a375,confirmatory,7218,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0638749144083179,0.2481501968257133,0.1960528963886753,0.1960528963886753,0.1622976638412342,5.3895781393081705,0.3583505602299096,0.2161194322858922,0.8362223127013758,2.0,0.9999999999999996,1.9905245024805327,0.7442625992469539,maximum_budget,2.753178808018834,0.2943482044189515,0.3782475516775274,balanced_contiguous_k2,2,balanced_contiguous,0.3170592120660422,0.061188339611485176,False,False,True
s7218_r2_n750_a375,confirmatory,7218,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4.0,0.5487418407321983,0.5,0.487418407321983,64.0,64.0,32.0,0.0271113848027963,0.1059504790353629,0.0831743604986395,0.0831743604986394,0.0678865863292808,2.2555451230356267,0.1510609468279203,0.2161194322858922,0.8362223127013758,2.0,0.284989117162395,1.9905245024805327,0.805479169864849,rank_only,2.753178808018834,0.2923284663905864,0.3362278136491622,balanced_contiguous_k2,2,balanced_contiguous,0.3170592120660422,0.019168601583120004,False,False,True
s7218_r2_n750_a375,confirmatory,7218,2,0.75,0.375,joint_forward_feedback,balanced_permutation_b_k8,balanced_permutation_b,balanced,8.0,1.06340039778946,1.0,0.6340039778945984,64.0,64.0,64.0,0.0872060477102134,0.236273829029712,0.2777241908681964,0.2777241908681964,0.2315967557914141,7.688820376193448,0.5093209466596105,0.3204721304837499,0.8362223127013758,2.0,0.9999999999999996,1.984031998925644,0.6812005020376937,sampled_random,2.753178808018834,0.2981041263280783,0.3831761581512351,balanced_contiguous_k2,2,balanced_contiguous,0.3170592120660422,0.06611694608519292,False,False,False
s7218_r4_n000_a125,confirmatory,7218,4,0.0,0.125,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4.0,0.5487418407321983,0.5,0.487418407321983,64.0,64.0,32.0,0.0418865811388607,0.1792463453690189,0.127627379974218,0.1276273799742178,0.1469484084310518,4.8299764497678765,0.2745757884052696,0.1654798669481937,0.5211592943504395,4.0,0.8979707776106939,3.996150878030738,0.4497373940771427,moment_selector,2.753178808018834,2.3426738620083493e-08,0.0438993706853144,balanced_contiguous_k4,4,balanced_contiguous,0.0438993706853144,0.0,True,True,True
s7218_r4_n000_a125,confirmatory,7218,4,0.0,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.0443364403409025,0.1896111915321817,0.1350980701368586,0.1350980701368586,0.1557452973041736,5.118947583870414,0.2908433674410323,0.1654798669481937,0.5211592943504395,4.0,1.0,3.996150878030738,0.4829924936394512,development_best,2.753178808018834,9.428221210207646e-09,0.083899356686797,balanced_contiguous_k4,4,balanced_contiguous,0.0438993706853144,0.0399999860014826,False,False,True
