JobID	JobName	Partition	Account	AllocCPUS	ElapsedRaw	TotalCPU	State	ExitCode	Start	End	NodeList
44624938_1	tree_select_step1	shared	kempner_dev	1	15	00:03.372	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_1.batch	batch		kempner_dev	1	15	00:03.372	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_1.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_2	tree_select_step1	shared	kempner_dev	1	15	00:03.379	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_2.batch	batch		kempner_dev	1	15	00:03.379	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_2.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24604
44624938_3	tree_select_step1	shared	kempner_dev	1	15	00:03.380	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_3.batch	batch		kempner_dev	1	15	00:03.380	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_3.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_4	tree_select_step1	shared	kempner_dev	1	15	00:03.377	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_4.batch	batch		kempner_dev	1	15	00:03.377	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_4.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24603
44624938_5	tree_select_step1	shared	kempner_dev	1	13	00:03.387	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24504
44624938_5.batch	batch		kempner_dev	1	13	00:03.387	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24504
44624938_5.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24504
44624938_6	tree_select_step1	shared	kempner_dev	1	13	00:03.381	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24504
44624938_6.batch	batch		kempner_dev	1	13	00:03.381	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:10	holy7c24504
44624938_6.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24504
44624938_7	tree_select_step1	shared	kempner_dev	1	15	00:03.362	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
44624938_7.batch	batch		kempner_dev	1	15	00:03.362	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
44624938_7.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
