arm,policy,seed,regret,test_loss,penalized_test_loss
feedback_only,uniform_random_expectation,7217,0.12746462685537657,0.27633860238595337,0.3193109134981945
feedback_only,uniform_random_expectation,7218,0.12987698143130566,0.2767124191665504,0.3196847302787916
feedback_only,uniform_random_expectation,7219,0.13111342734691225,0.27513731302585326,0.3181096241380944
joint_forward_feedback,development_best,7200,0.042882634077596515,0.14417436212662382,0.22807370938519966
joint_forward_feedback,development_best,7201,0.04252431367454443,0.1462564553726176,0.23015580263119345
joint_forward_feedback,development_best,7202,0.042767558881160024,0.14590426791681463,0.22980361517539047
joint_forward_feedback,development_best,7203,0.04322291517143043,0.14448332372753162,0.22838267098610746
joint_forward_feedback,development_best,7204,0.04361291441199817,0.14722914510132787,0.2311284923599037
joint_forward_feedback,development_best,7205,0.04242801578387971,0.1460041084795551,0.22990345573813092
joint_forward_feedback,development_best,7206,0.04307415531854742,0.14979571764345642,0.23369506490203223
joint_forward_feedback,development_best,7207,0.04169642021081249,0.1434846382705226,0.22738398552909841
joint_forward_feedback,development_best,7208,0.04221772888876202,0.14502257753155462,0.22892192479013046
joint_forward_feedback,development_best,7209,0.041790953368096684,0.1459046090969157,0.2298039563554915
joint_forward_feedback,development_best,7210,0.04157051956271628,0.14463817172789237,0.22853751898646818
joint_forward_feedback,development_best,7211,0.04291336323680845,0.14433787735310308,0.2282372246116789
joint_forward_feedback,development_best,7212,0.042785030497837606,0.14551081404666166,0.22941016130523748
joint_forward_feedback,development_best,7213,0.04242737429339607,0.14543689168846283,0.22933623894703867
joint_forward_feedback,development_best,7214,0.042886612893982184,0.1447475036294498,0.2286468508880256
joint_forward_feedback,development_best,7215,0.04276386201639794,0.14309803964876727,0.22699738690734308
joint_forward_feedback,development_best,7216,0.04335889971983504,0.14733550450490454,0.23123485176348035
joint_forward_feedback,development_best,7217,0.04334011278983081,0.14891031048657127,0.23280965774514714
joint_forward_feedback,development_best,7218,0.042297002145943424,0.14612850976200972,0.23002785702058554
joint_forward_feedback,development_best,7219,0.043219668669967064,0.14427309244990566,0.2281724397084815
joint_forward_feedback,maximum_budget,7200,0.042882634077596515,0.14417436212662382,0.22807370938519966
joint_forward_feedback,maximum_budget,7201,0.04252431367454443,0.1462564553726176,0.23015580263119345
joint_forward_feedback,maximum_budget,7202,0.042767558881160024,0.14590426791681463,0.22980361517539047
joint_forward_feedback,maximum_budget,7203,0.04322291517143043,0.14448332372753162,0.22838267098610746
joint_forward_feedback,maximum_budget,7204,0.04361291441199817,0.14722914510132787,0.2311284923599037
joint_forward_feedback,maximum_budget,7205,0.04242801578387971,0.1460041084795551,0.22990345573813092
joint_forward_feedback,maximum_budget,7206,0.04307415531854742,0.14979571764345642,0.23369506490203223
joint_forward_feedback,maximum_budget,7207,0.04169642021081249,0.1434846382705226,0.22738398552909841
joint_forward_feedback,maximum_budget,7208,0.04221772888876202,0.14502257753155462,0.22892192479013046
joint_forward_feedback,maximum_budget,7209,0.041790953368096684,0.1459046090969157,0.2298039563554915
joint_forward_feedback,maximum_budget,7210,0.04157051956271628,0.14463817172789237,0.22853751898646818
joint_forward_feedback,maximum_budget,7211,0.04291336323680845,0.14433787735310308,0.2282372246116789
joint_forward_feedback,maximum_budget,7212,0.042785030497837606,0.14551081404666166,0.22941016130523748
joint_forward_feedback,maximum_budget,7213,0.04242737429339607,0.14543689168846283,0.22933623894703867
joint_forward_feedback,maximum_budget,7214,0.042886612893982184,0.1447475036294498,0.2286468508880256
joint_forward_feedback,maximum_budget,7215,0.04276386201639794,0.14309803964876727,0.22699738690734308
joint_forward_feedback,maximum_budget,7216,0.04335889971983504,0.14733550450490454,0.23123485176348035
joint_forward_feedback,maximum_budget,7217,0.04334011278983081,0.14891031048657127,0.23280965774514714
joint_forward_feedback,maximum_budget,7218,0.042297002145943424,0.14612850976200972,0.23002785702058554
joint_forward_feedback,maximum_budget,7219,0.043219668669967064,0.14427309244990566,0.2281724397084815
joint_forward_feedback,moment_selector,7200,0.10222155219140017,0.21635524655108954,0.2874126274990033
joint_forward_feedback,moment_selector,7201,0.11404581677894904,0.24366299771755337,0.30167730573559803
joint_forward_feedback,moment_selector,7202,0.08375397041494859,0.20631518989453507,0.27079002670917907
joint_forward_feedback,moment_selector,7203,0.10735761008669537,0.2346585251088338,0.2925173659013724
joint_forward_feedback,moment_selector,7204,0.0934606759442271,0.21544006342487654,0.28097625389213265
joint_forward_feedback,moment_selector,7205,0.10063506696814496,0.22664654757882252,0.28811050692239615
joint_forward_feedback,moment_selector,7206,0.09400044703387408,0.21781624425253582,0.2846213566173589
joint_forward_feedback,moment_selector,7207,0.08297554812288212,0.20469915409759443,0.26866311344116806
joint_forward_feedback,moment_selector,7208,0.11185623610434144,0.24596649089748995,0.29856043200570986
joint_forward_feedback,moment_selector,7209,0.11338381265169074,0.250482455019385,0.3013968156390856
joint_forward_feedback,moment_selector,7210,0.10618967486342266,0.24455364192322118,0.29315667428717457
joint_forward_feedback,moment_selector,7211,0.10984787221802524,0.22599231319662638,0.29517173359289567
joint_forward_feedback,moment_selector,7212,0.09643863899848472,0.22696158950273504,0.2830637698058846
