variant,forward,rule,metric,bound_runs,mean,ci_low,ci_high,n
separable,shunt,resistance,test_nmse,7,9.502492791802012e-05,8.061097282939705e-05,0.00010961669789372256,20
separable,shunt,resistance,ood_1.0,7,9.634285835832727e-05,8.151687941123627e-05,0.00011135050420745066,20
separable,shunt,resistance,ood_1.5,7,0.00010309399518908102,8.706717254946008e-05,0.00011948793008793094,20
separable,shunt,resistance,ood_2.0,7,0.00010957376004088341,9.244408057601221e-05,0.00012727630051489683,20
separable,shunt,resistance,ood_2.5,7,0.00011570163199781246,9.746148008976915e-05,0.00013461169320322228,20
separable,shunt,resistance,ood_3.0,7,0.00012127898622599224,0.00010228361011344915,0.00014112340677258195,20
separable,shunt,swapped,test_nmse,1,0.000994449461443835,0.0008441528700878933,0.0011479397168867585,20
separable,shunt,swapped,ood_1.0,1,0.0009943810666843207,0.0008404854772580144,0.0011504254508919074,20
separable,shunt,swapped,ood_1.5,1,0.002183379826895145,0.0017282042377703797,0.0027096306805471566,20
separable,shunt,swapped,ood_2.0,1,0.009354902124428598,0.006432626341331989,0.012974773680753246,20
separable,shunt,swapped,ood_2.5,1,0.0284104879732757,0.018317070130885817,0.0407734808796315,20
separable,shunt,swapped,ood_3.0,1,0.060166425019065425,0.03760748437915007,0.08776960277969317,20
separable,shunt,uniform_rms,test_nmse,0,0.00015490241342771603,0.00013993151038320904,0.00017008510834097296,20
separable,shunt,uniform_rms,ood_1.0,0,0.00015365396387304647,0.00013916261381452408,0.0001689569284452513,20
separable,shunt,uniform_rms,ood_1.5,0,0.00040748759882377984,0.00036913485087354655,0.000447950727448146,20
separable,shunt,uniform_rms,ood_2.0,0,0.0018949634473313624,0.0016698351803193965,0.0021429611829651453,20
separable,shunt,uniform_rms,ood_2.5,0,0.005235468188707682,0.0045361543667531284,0.00602560708137441,20
separable,shunt,uniform_rms,ood_3.0,0,0.009716205081513479,0.00828542915076391,0.011324522174254139,20
separable,tonic,broadcast,test_nmse,5,0.00034415495608587724,0.0002675572869887876,0.00043600574372925494,20
separable,tonic,broadcast,ood_1.0,5,0.00034643133892808337,0.0002670110518738566,0.0004414570623677243,20
separable,tonic,broadcast,ood_1.5,5,0.002571453030154057,0.0021863974636524438,0.0030146463132244604,20
