variant,forward,trained_rule,delivered_rule,block,relation,seed,cosine,defined
interaction,shunt,broadcast,exact,soma,within,2026092213,1.0,4
interaction,shunt,broadcast,exact,soma,within,2026092214,1.0,4
interaction,shunt,broadcast,exact,soma,within,2026092215,0.9999999999999999,4
interaction,shunt,broadcast,exact,soma,within,2026092216,0.9999999999999999,4
interaction,shunt,broadcast,exact,soma,within,2026092217,1.0,4
interaction,shunt,broadcast,exact,soma,within,2026092218,1.0,4
interaction,shunt,broadcast,exact,soma,within,2026092219,1.0,4
interaction,shunt,broadcast,exact,terminal,cross,2026092200,0.013142405053615226,12
interaction,shunt,broadcast,exact,terminal,cross,2026092201,-0.0007422149679840377,12
interaction,shunt,broadcast,exact,terminal,cross,2026092202,-0.0008640987489287056,12
interaction,shunt,broadcast,exact,terminal,cross,2026092203,0.010494842322571652,12
interaction,shunt,broadcast,exact,terminal,cross,2026092204,-0.005950951014404612,12
interaction,shunt,broadcast,exact,terminal,cross,2026092205,-0.005519141189421164,12
interaction,shunt,broadcast,exact,terminal,cross,2026092206,0.00923401329661802,12
interaction,shunt,broadcast,exact,terminal,cross,2026092207,-0.005387932471721305,12
interaction,shunt,broadcast,exact,terminal,cross,2026092208,-0.0008448910161419896,12
interaction,shunt,broadcast,exact,terminal,cross,2026092209,0.00423548888564135,12
interaction,shunt,broadcast,exact,terminal,cross,2026092210,0.0012780269481395667,12
interaction,shunt,broadcast,exact,terminal,cross,2026092211,0.009597550051714088,12
interaction,shunt,broadcast,exact,terminal,cross,2026092212,0.017228386568425957,12
interaction,shunt,broadcast,exact,terminal,cross,2026092213,-0.005191625828897816,12
interaction,shunt,broadcast,exact,terminal,cross,2026092214,0.013103406355922392,12
interaction,shunt,broadcast,exact,terminal,cross,2026092215,-0.0007381328985553174,12
interaction,shunt,broadcast,exact,terminal,cross,2026092216,-0.0006589571908376665,12
interaction,shunt,broadcast,exact,terminal,cross,2026092217,-0.0009105808377249808,12
interaction,shunt,broadcast,exact,terminal,cross,2026092218,0.0019258489046439134,12
interaction,shunt,broadcast,exact,terminal,cross,2026092219,-0.0006416840570848617,12
interaction,shunt,broadcast,exact,terminal,within,2026092200,1.0000000000000002,4
interaction,shunt,broadcast,exact,terminal,within,2026092201,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092202,1.0000000000000002,4
interaction,shunt,broadcast,exact,terminal,within,2026092203,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092204,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092205,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092206,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092207,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092208,1.0000000000000004,4
interaction,shunt,broadcast,exact,terminal,within,2026092209,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092210,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092211,1.0000000000000002,4
interaction,shunt,broadcast,exact,terminal,within,2026092212,0.9999999999999999,4
interaction,shunt,broadcast,exact,terminal,within,2026092213,0.9999999999999999,4
interaction,shunt,broadcast,exact,terminal,within,2026092214,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092215,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092216,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092217,0.9999999999999999,4
interaction,shunt,broadcast,exact,terminal,within,2026092218,1.0,4
interaction,shunt,broadcast,exact,terminal,within,2026092219,1.0,4
interaction,shunt,broadcast,resistance,proximal,cross,2026092200,0.1267469713654425,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092201,-0.012233853215902068,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092202,-0.0846199193933959,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092203,-0.048682197910010556,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092204,-0.007815553317543225,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092205,-0.07272825503991263,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092206,0.02604554368771909,12
