panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092214.0,0.2719737724852789,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092215.0,0.2556855476840554,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092216.0,0.1700417624422863,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092217.0,0.1532089610418057,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092218.0,0.1796594903315782,,,,
I,seed outcome,exact,,,,,,tonic,ood_3.0,2026092219.0,0.3130650208608173,,,,
I,mean and bootstrap interval,broadcast,,0.4570277241965434,0.4141100453225561,0.5012801599144188,20.0,tonic,ood_3.0,,,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092200.0,0.4047867964610014,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092201.0,0.5109193765663721,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092202.0,0.3991564511960819,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092203.0,0.3889356432771146,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092204.0,0.3757261286556291,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092205.0,0.3993981548235794,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092206.0,0.641193512446348,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092207.0,0.28924792770352,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092208.0,0.4343592606706048,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092209.0,0.6113347886460977,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092210.0,0.4895435463143147,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092211.0,0.6034065197834102,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092212.0,0.4802042824861414,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092213.0,0.4286115262100832,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092214.0,0.4483294615533323,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092215.0,0.4286406886932021,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092216.0,0.2739812583575397,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092217.0,0.4815847953804434,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092218.0,0.4155448709019039,,,,
I,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092219.0,0.6356494938041483,,,,
I,mean and bootstrap interval,resistance,,0.24201986950951868,0.21217826534072007,0.2768097697201242,20.0,tonic,ood_3.0,,,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092200.0,0.1259838018034482,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092201.0,0.2341099891222102,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092202.0,0.2702074563976593,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092203.0,0.1670348683839974,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092204.0,0.1977704722885723,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092205.0,0.19586709586345,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092206.0,0.2250134787393651,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092207.0,0.1684601195382473,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092208.0,0.2095017992534305,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092209.0,0.4814179046946221,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092210.0,0.2780806043547054,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092211.0,0.2561399850330104,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092212.0,0.1590961132825352,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092213.0,0.2982125643157892,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092214.0,0.2119888028073369,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092215.0,0.2504289468299119,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092216.0,0.3202050946311756,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092217.0,0.23640159969893,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092218.0,0.25186681800475,,,,
I,seed outcome,resistance,,,,,,tonic,ood_3.0,2026092219.0,0.302609875147226,,,,
I,mean and bootstrap interval,exact,,0.30563103719328005,0.2739243877124994,0.3365133997921818,20.0,current,ood_3.0,,,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092200.0,0.2033163622950663,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092201.0,0.318874182653106,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092202.0,0.2827792665531669,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092203.0,0.2583349362812034,,,,
