model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
41,1,0.782075460593,0.2080078125,-0.955739876613,52001,16,0.5,1,learned_local_cue,0.25048828125,0.20288414362,2.22044604925e-16
42,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0.5,1,frozen_profile,0.25,0.1875,0
43,1,0.77960495775,0.20556640625,-0.963789874827,52001,16,0.5,1,mismatched_encoder,0.24169921875,0.204877737461,2.22044604925e-16
44,1,0.654312698329,0.7392578125,0.974567212811,52001,16,0.5,4,oracle_context,1,0,0
45,1,0.779817392909,0.20361328125,-0.953164107699,52001,16,0.5,4,learned_local_cue,0.255859375,0.203002239684,2.22044604925e-16
46,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,0.5,4,frozen_profile,0.25,0.1875,0
47,1,0.780387576692,0.20361328125,-0.961310824328,52001,16,0.5,4,mismatched_encoder,0.24755859375,0.203896333271,2.22044604925e-16
48,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0.5,0,oracle_context,1,0,0
49,1,0.726380212679,0.30517578125,-0.844829788661,52001,64,0.5,0,learned_local_cue,0.626953125,0.124468235406,2.22044604925e-16
50,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0.5,0,frozen_profile,0.25,0.1875,0
51,1,0.777906858946,0.2119140625,-0.955101314382,52001,64,0.5,0,mismatched_encoder,0.13037109375,0.276325441345,2.22044604925e-16
52,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0.5,1,oracle_context,1,0,0
53,1,0.767527693748,0.22021484375,-0.948794512593,52001,64,0.5,1,learned_local_cue,0.2548828125,0.239805446347,2.22044604925e-16
54,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0.5,1,frozen_profile,0.25,0.1875,0
55,1,0.767179187223,0.21630859375,-0.966325556359,52001,64,0.5,1,mismatched_encoder,0.24462890625,0.241293765906,2.22044604925e-16
56,1,0.654312698329,0.7392578125,0.974567212811,52001,64,0.5,4,oracle_context,1,0,0
57,1,0.76714240665,0.21337890625,-0.939336740075,52001,64,0.5,4,learned_local_cue,0.2470703125,0.23942796135,2.22044604925e-16
58,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,0.5,4,frozen_profile,0.25,0.1875,0
59,1,0.769205552863,0.212890625,-0.955873626443,52001,64,0.5,4,mismatched_encoder,0.24951171875,0.241732106218,2.22044604925e-16
60,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0.5,0,oracle_context,1,0,0
61,1,0.713127742067,0.36181640625,-0.643929275778,52001,256,0.5,0,learned_local_cue,0.65380859375,0.115341095528,2.22044604925e-16
62,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0.5,0,frozen_profile,0.25,0.1875,0
63,1,0.774244151395,0.2060546875,-0.943719390822,52001,256,0.5,0,mismatched_encoder,0.11669921875,0.318780301832,2.22044604925e-16
64,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0.5,1,oracle_context,1,0,0
65,1,0.760001958135,0.2255859375,-0.931291962582,52001,256,0.5,1,learned_local_cue,0.25244140625,0.267598340389,2.22044604925e-16
66,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0.5,1,frozen_profile,0.25,0.1875,0
67,1,0.760557532859,0.2216796875,-0.958103954463,52001,256,0.5,1,mismatched_encoder,0.24072265625,0.271059673468,2.22044604925e-16
68,1,0.654312698329,0.7392578125,0.974567212811,52001,256,0.5,4,oracle_context,1,0,0
69,1,0.76123069648,0.21484375,-0.93238235952,52001,256,0.5,4,learned_local_cue,0.2451171875,0.267021674295,2.22044604925e-16
70,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,0.5,4,frozen_profile,0.25,0.1875,0
71,1,0.762114518795,0.22314453125,-0.944361590706,52001,256,0.5,4,mismatched_encoder,0.25244140625,0.270051234575,2.22044604925e-16
72,1,0.654312698329,0.7392578125,0.974567212811,52001,16,1,0,oracle_context,1,0,0
73,1,0.764377312695,0.21435546875,-0.940975932205,52001,16,1,0,learned_local_cue,0.3154296875,0.215797209715,2.22044604925e-16
74,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,1,0,frozen_profile,0.25,0.1875,0
75,1,0.768865322261,0.20654296875,-0.946551890949,52001,16,1,0,mismatched_encoder,0.24365234375,0.236360736804,2.22044604925e-16
76,1,0.654312698329,0.7392578125,0.974567212811,52001,16,1,1,oracle_context,1,0,0
77,1,0.769801126104,0.2119140625,-0.958561851998,52001,16,1,1,learned_local_cue,0.2470703125,0.236609783958,2.22044604925e-16
78,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,1,1,frozen_profile,0.25,0.1875,0
79,1,0.765481341101,0.21435546875,-0.951511073613,52001,16,1,1,mismatched_encoder,0.24462890625,0.238199818795,2.22044604925e-16
80,1,0.654312698329,0.7392578125,0.974567212811,52001,16,1,4,oracle_context,1,0,0
81,1,0.769018067952,0.21484375,-0.945836400062,52001,16,1,4,learned_local_cue,0.236328125,0.237156135497,2.22044604925e-16
82,1,0.790467460524,0.19873046875,-0.964999269686,52001,16,1,4,frozen_profile,0.25,0.1875,0
83,1,0.765307034352,0.20947265625,-0.944560589932,52001,16,1,4,mismatched_encoder,0.2548828125,0.235736802628,2.22044604925e-16
84,1,0.654312698329,0.7392578125,0.974567212811,52001,64,1,0,oracle_context,1,0,0
85,1,0.753468894997,0.22705078125,-0.932145100263,52001,64,1,0,learned_local_cue,0.42138671875,0.178049719568,2.22044604925e-16
86,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,1,0,frozen_profile,0.25,0.1875,0
87,1,0.774232024032,0.21435546875,-0.953115351922,52001,64,1,0,mismatched_encoder,0.2119140625,0.241539243641,2.22044604925e-16
88,1,0.654312698329,0.7392578125,0.974567212811,52001,64,1,1,oracle_context,1,0,0
89,1,0.77092757317,0.2138671875,-0.96312127053,52001,64,1,1,learned_local_cue,0.26806640625,0.226938360607,2.22044604925e-16
