panel,task,rule,rate,step,mean,ci95_low,ci95_high,n_seeds,positive_seeds,sensitivity,model,optimizer,contrast,k
D,quartet,calibrated_broadcast,0.01,16.0,1.2197126455512861,1.0997784833634792,1.3942673734884539,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,64.0,1.0276481919478762,0.9937298654771538,1.0549838631663198,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,256.0,0.9723757694138078,0.9131423809909927,1.021960486816852,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,512.0,0.9512855003879697,0.8631471417319362,1.0260955412675659,20.0,20.0,,,,,
D,quartet,calibrated_broadcast,0.01,1024.0,0.9813028162601102,0.9322168795259821,1.0260794184400615,20.0,20.0,,,,,
E,matching,,,,-0.0088837428864269,-0.0255311103790591,-0.0001440551125132,20.0,2.0,common_rate,algebraic,adam,calibrated_broadcast minus exact,
E,matching,exact,0.003,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
E,matching,exact,0.003,1.0,1.272455993772131,1.1210057222323642,1.4548272048692952,20.0,20.0,,,,,
E,matching,exact,0.003,16.0,1.1092596186003074,1.0082314459586499,1.2195761152592453,20.0,20.0,,,,,
E,matching,exact,0.003,64.0,0.8857554924044283,0.7982464981033803,0.962392854390319,20.0,20.0,,,,,
E,matching,exact,0.003,256.0,0.2798011407984049,0.17014816866498045,0.40862111252257544,20.0,20.0,,,,,
E,matching,exact,0.003,512.0,0.08315147077659797,0.026522869142335995,0.18224361007804318,20.0,20.0,,,,,
E,matching,exact,0.003,1024.0,0.03172611530596351,0.022942212493247134,0.04827098500637029,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,1.0,1.2842913907984863,1.127834662757671,1.4749351016418943,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,16.0,1.2310533716014291,1.0880759202796242,1.4003308959624312,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,64.0,1.1229050440439354,1.006867851328803,1.2594717883110587,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,256.0,0.6541539470356719,0.5317788305293455,0.780764312429241,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,512.0,0.24128459022013882,0.1601954840199361,0.3324349701778319,20.0,20.0,,,,,
E,matching,unit_broadcast,0.003,1024.0,0.025164214041292533,0.02346403647996496,0.027113295361012847,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,1.0,1.2795837831778254,1.1243017566376416,1.4688723732521447,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,16.0,1.1622830891212836,1.036260544197915,1.3159000605635518,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,64.0,0.9323251051201036,0.8329430828802472,1.0328181915054806,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,256.0,0.3786801222735842,0.28789847558187426,0.47411871971760594,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,512.0,0.07956064712874482,0.041541989927008124,0.12574159225955875,20.0,20.0,,,,,
E,matching,calibrated_broadcast,0.003,1024.0,0.022842372419536582,0.022549974385961687,0.02316752273082714,20.0,20.0,,,,,
F,matching,exact,,1024.0,0.03172611530596351,0.022942212493247134,0.04827098500637029,20.0,20.0,,,,,
F,matching,unit_broadcast,,1024.0,0.025164214041292533,0.02346403647996496,0.027113295361012847,20.0,20.0,,,,,
F,matching,calibrated_broadcast,,1024.0,0.023576073407093327,0.02319640055633902,0.023982103926521472,20.0,20.0,,,,,
