post_soma_id,routes,method,capture,null_sd
262777,1,morphology-selected actual routes,0.34947675211672935,
262777,1,random actual routes,0.08244298795013233,0.09191231863187316
262777,1,depth-preserving ancestry shuffle,0.2966121910690006,0.016378154027801527
262777,1,depth bins,0.34947675211672935,
262777,2,dense SVD oracle,0.5675051006610166,
262777,2,morphology-selected actual routes,0.5459393486616382,
262777,2,random actual routes,0.15854698070680487,0.11246608171759756
262777,2,depth-preserving ancestry shuffle,0.3229228087121184,0.021753721937069908
262777,2,depth bins,0.36342388518768076,
262777,4,dense SVD oracle,0.7162323594897896,
262777,4,morphology-selected actual routes,0.6866404900722363,
262777,4,random actual routes,0.3002371964322633,0.13270511377244582
262777,4,depth-preserving ancestry shuffle,0.3803953785918796,0.028194941524329397
262777,4,depth bins,0.4030110117980805,
262777,8,dense SVD oracle,0.8640560825246194,
262777,8,morphology-selected actual routes,0.831665584114816,
262777,8,random actual routes,0.5130028810833173,0.12595409553058423
262777,8,depth-preserving ancestry shuffle,0.48741528633963954,0.031316588271410935
262777,8,depth bins,0.4632134046365808,
262777,16,dense SVD oracle,0.9759552495603078,
262777,16,morphology-selected actual routes,0.9651281695989944,
262777,16,random actual routes,0.8213322658796358,0.06307282396104932
262777,16,depth-preserving ancestry shuffle,0.662300561212114,0.039581845188780655
262777,16,depth bins,0.5904475068011998,
262910,1,dense SVD oracle,0.44444585201490094,
262910,1,morphology-selected actual routes,0.3893768984346092,
262910,1,random actual routes,0.08872431412236269,0.12072634630970336
262910,1,depth-preserving ancestry shuffle,0.11548042940307422,0.13880824737566397
262910,1,depth bins,0.15710118166717457,
262910,2,dense SVD oracle,0.5621052074149027,
262910,2,morphology-selected actual routes,0.5131447068789536,
262910,2,random actual routes,0.18167280982977357,0.16206567346734768
262910,2,depth-preserving ancestry shuffle,0.22990304071613263,0.13139101895787894
262910,2,depth bins,0.17012023306920832,
262910,4,dense SVD oracle,0.7060614437909869,
262910,4,morphology-selected actual routes,0.5724756935548332,
262910,4,random actual routes,0.33757178492052214,0.1835510372422852
262910,4,depth-preserving ancestry shuffle,0.43186758382740437,0.10960359149100966
262910,4,depth bins,0.24977500483869564,
262910,8,dense SVD oracle,0.8410730300530043,
262910,8,morphology-selected actual routes,0.8264992854117228,
262910,8,random actual routes,0.5595996379909873,0.16881395553775372
262910,8,depth-preserving ancestry shuffle,0.5462537109230639,0.102179662673887
262910,8,depth bins,0.38989169080274566,
262910,16,dense SVD oracle,0.9793360875532994,
262910,16,morphology-selected actual routes,0.9450330147408914,
262910,16,random actual routes,0.8525850400350657,0.07939773782424572
262910,16,depth-preserving ancestry shuffle,0.7457233933382329,0.07451300846771558
262910,16,depth bins,0.5552501763353643,
264990,1,dense SVD oracle,0.5111480276561322,
264990,1,morphology-selected actual routes,0.5062231104392652,
264990,1,random actual routes,0.0887018415366784,0.09835503810266688
264990,1,depth-preserving ancestry shuffle,0.48182052382665314,0.006075680168581617
264990,1,depth bins,0.506223110439265,
264990,2,dense SVD oracle,0.6349934580401854,
264990,2,morphology-selected actual routes,0.6097859373444086,
264990,2,random actual routes,0.17305731297524246,0.13121724359117581
264990,2,depth-preserving ancestry shuffle,0.496815712573065,0.007711470146325189
264990,2,depth bins,0.5177905340088054,
264990,4,dense SVD oracle,0.7751973349213322,
264990,4,morphology-selected actual routes,0.7499395934754411,
264990,4,random actual routes,0.3042604240386656,0.14439793518833263
264990,4,depth-preserving ancestry shuffle,0.5396335552001773,0.016195686841440713
264990,4,depth bins,0.5535733936093763,
264990,8,dense SVD oracle,0.9103292929050326,
264990,8,morphology-selected actual routes,0.8875722638568895,
264990,8,random actual routes,0.5549970804688651,0.14322626327664342
264990,8,depth-preserving ancestry shuffle,0.6138719641710552,0.020490745436683156
264990,8,depth bins,0.5882086242463065,
264990,16,dense SVD oracle,0.9848785213267053,
264990,16,morphology-selected actual routes,0.9706044174900951,
264990,16,random actual routes,0.8506844615878971,0.07331550691568559
264990,16,depth-preserving ancestry shuffle,0.7464157846193273,0.02560725988761494
264990,16,depth bins,0.6927046584695324,
267033,1,dense SVD oracle,0.4240822094753461,
267033,1,morphology-selected actual routes,0.36473223886629813,
267033,1,random actual routes,0.045376318180833264,0.09761120143623843
267033,1,depth-preserving ancestry shuffle,0.12047519433044108,0.01907479947278462
267033,1,depth bins,0.19605993143831502,
267033,2,dense SVD oracle,0.5857745758859058,
267033,2,morphology-selected actual routes,0.5260335458233651,
267033,2,random actual routes,0.08453306829675934,0.12294131041576538
267033,2,depth-preserving ancestry shuffle,0.12567146783917008,0.020000852777986085
267033,2,depth bins,0.2519259133959312,
267033,4,dense SVD oracle,0.7022726639195406,
267033,4,morphology-selected actual routes,0.6488355457696865,
267033,4,random actual routes,0.17354010001781564,0.15707991286113573
267033,4,depth-preserving ancestry shuffle,0.24721724830165037,0.024505553544955407
267033,4,depth bins,0.3316519234667217,
267033,8,dense SVD oracle,0.7809755004513803,
267033,8,morphology-selected actual routes,0.7377679904164156,
267033,8,random actual routes,0.28356723416349605,0.16813617238140238
267033,8,depth-preserving ancestry shuffle,0.27872612447058487,0.022861215514257707
267033,8,depth bins,0.44317003972159874,
267033,16,dense SVD oracle,0.8787631882741034,
267033,16,morphology-selected actual routes,0.8504118514518408,
267033,16,random actual routes,0.5213140043506701,0.13810816533535272
267033,16,depth-preserving ancestry shuffle,0.32289093888950765,0.02391134685683823
267033,16,depth bins,0.4948803410251975,
