task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_006,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7512299616392867,0.0
matching_006,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7512299616392868,0.0
matching_006,quadratic_matching,comb_p3,comb,0.75,0.7500059216360968,1.1843272161095166e-05,0.75,2.25,0.5,0.7501841488902026,0.0
matching_006,quadratic_matching,mixed_p0,mixed,0.25,0.25,0.0,0.25,1.0,0.25,0.25,0.0
matching_006,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_006,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_006,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.0,0.5,0.75,0.0
matching_007,quadratic_matching,balanced_p0,balanced,0.5,0.625,0.14433756729740643,0.5,1.75,0.5,0.5037529582089195,0.0
matching_007,quadratic_matching,balanced_p1,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_007,quadratic_matching,balanced_p2,balanced,0.5,0.625,0.14433756729740643,0.5,1.75,0.5,0.5000000007870912,0.0
matching_007,quadratic_matching,balanced_p3,balanced,0.5,0.625,0.14433756729740643,0.5,1.75,0.5,0.5000094828109953,0.0
matching_007,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7500000000008311,0.25
matching_007,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500017294407938,0.0
matching_007,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,2.5,0.5,0.7500042943655636,0.0
matching_007,quadratic_matching,comb_p3,comb,0.75,0.7500100127948603,2.002558972069579e-05,0.5,1.75,0.5,0.7500005256128379,0.25
matching_007,quadratic_matching,mixed_p0,mixed,0.5,0.5625,0.125,0.5,1.75,0.5,0.5000000000047078,0.0
matching_007,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_007,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.750000000314474,0.0
matching_007,quadratic_matching,mixed_p3,mixed,0.25,0.25,0.0,0.25,0.75,0.2499999999999999,0.2500820756629974,0.0
matching_008,quadratic_matching,balanced_p0,balanced,0.5,0.625,0.14433756729740643,0.5,1.75,0.5,0.5,0.0
matching_008,quadratic_matching,balanced_p1,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.4999999999999999,0.0
matching_008,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_008,quadratic_matching,balanced_p3,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5,0.0
matching_008,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7510047901537873,0.25
matching_008,quadratic_matching,comb_p1,comb,0.7500000022569218,0.7500472098926725,6.761100426283263e-05,0.75,2.25,0.5,0.7536953862031461,2.256921760590558e-09
matching_008,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7505063931681277,0.0
matching_008,quadratic_matching,comb_p3,comb,0.7500000022569216,0.7500472098926724,6.761100426279224e-05,0.75,2.25,0.5,0.7536953862031461,2.2569216495682554e-09
