task_id,family,policy,candidate_id,normalized_mse,regret
matching_038,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_038,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.25
matching_038,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666663
matching_039,quadratic_matching,centered_cut_bound,mixed_p1,0.25,0.0
matching_039,quadratic_matching,centered_cut_sum,mixed_p1,0.25,0.0
matching_039,quadratic_matching,full_cut_bound,mixed_p1,0.25,0.0
matching_039,quadratic_matching,two_sweep_pilot,mixed_p1,0.25,0.0
matching_039,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_039,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_039,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.35416666666666663
matching_040,quadratic_matching,centered_cut_bound,mixed_p3,0.25,0.0
matching_040,quadratic_matching,centered_cut_sum,mixed_p3,0.25,0.0
matching_040,quadratic_matching,full_cut_bound,mixed_p3,0.25,0.0
matching_040,quadratic_matching,two_sweep_pilot,mixed_p3,0.25,0.0
matching_040,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_040,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_040,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.39583333333333337
matching_041,quadratic_matching,centered_cut_bound,mixed_p2,0.25,0.0
matching_041,quadratic_matching,centered_cut_sum,mixed_p2,0.25,0.0
matching_041,quadratic_matching,full_cut_bound,mixed_p2,0.25,0.0
matching_041,quadratic_matching,two_sweep_pilot,mixed_p2,0.25,0.0
matching_041,quadratic_matching,fixed_balanced_p0,balanced_p0,0.4999999999999999,0.2499999999999999
matching_041,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_041,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_042,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_042,quadratic_matching,centered_cut_sum,mixed_p1,0.4999999999999999,0.0
matching_042,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_042,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,1.1102230246251565e-16
matching_042,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_042,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_042,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.14583333333333348
matching_043,quadratic_matching,centered_cut_bound,balanced_p3,0.25,0.0
matching_043,quadratic_matching,centered_cut_sum,balanced_p3,0.25,0.0
matching_043,quadratic_matching,full_cut_bound,balanced_p3,0.25,0.0
matching_043,quadratic_matching,two_sweep_pilot,balanced_p3,0.25,0.0
matching_043,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_043,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5
matching_043,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.39583333333333337
matching_044,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,centered_cut_sum,balanced_p0,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_044,quadratic_matching,uniform_random_expectation,average,0.625,0.1250000000000001
matching_045,quadratic_matching,centered_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,centered_cut_sum,mixed_p0,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,full_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_045,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.10416666666666674
matching_046,quadratic_matching,centered_cut_bound,balanced_p2,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,centered_cut_sum,balanced_p2,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,full_cut_bound,balanced_p2,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_046,quadratic_matching,uniform_random_expectation,average,0.5833333333333334,0.08333333333333348
matching_047,quadratic_matching,centered_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_047,quadratic_matching,centered_cut_sum,comb_p1,0.75,0.2500000000000001
matching_047,quadratic_matching,full_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_047,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_047,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_047,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
