task_id,family,shape,best_assignment_nmse,oracle_shape_tied,oracle_shape_weight,n_tied_shapes
matching_104,quadratic_matching,comb,0.75,False,0.0,1
matching_104,quadratic_matching,mixed,0.7499999999999999,False,0.0,1
quartet_000,quartic_partition,balanced,5.794651091275349e-31,True,1.0,1
quartet_000,quartic_partition,comb,0.5,False,0.0,1
quartet_000,quartic_partition,mixed,0.5,False,0.0,1
quartet_001,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_001,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_001,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_002,quartic_partition,balanced,0.4999999999999999,True,0.3333333333333333,3
quartet_002,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_002,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_003,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_003,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_003,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_004,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_004,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_004,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_005,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_005,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_005,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_006,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_006,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_006,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_007,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_007,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_007,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_008,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_008,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_008,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_009,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_009,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_009,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_010,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_010,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_010,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_011,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_011,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_011,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_012,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_012,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_012,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_013,quartic_partition,balanced,0.4999999999999999,True,0.3333333333333333,3
quartet_013,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_013,quartic_partition,mixed,0.4999999999999999,True,0.3333333333333333,3
quartet_014,quartic_partition,balanced,0.4999999999999999,True,0.3333333333333333,3
quartet_014,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_014,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_015,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_015,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_015,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_016,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_016,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_016,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_017,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_017,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_017,quartic_partition,mixed,0.4999999999999999,True,0.3333333333333333,3
quartet_018,quartic_partition,balanced,0.5,True,0.3333333333333333,3
