task_id,family,shape,min_nmse,max_nmse,mean_nmse,assignment_spread,bound_spread
quartet_008,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_008,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_009,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_009,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_009,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_010,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_010,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_010,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_011,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_011,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_011,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_012,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_012,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_012,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_013,quartic_partition,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_013,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_013,quartic_partition,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_014,quartic_partition,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_014,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_014,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_015,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_015,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_015,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_016,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_016,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_016,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_017,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_017,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_017,quartic_partition,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_018,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_018,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_018,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_019,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_019,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_019,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_020,quartic_partition,balanced,3.208372489948156e-31,0.5,0.375,0.5,0.5
quartet_020,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_020,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_021,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_021,quartic_partition,comb,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_021,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_022,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_022,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_022,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_023,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_023,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_023,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_024,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_024,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_024,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_025,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_025,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_025,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_026,quartic_partition,balanced,1.0572148177165567e-31,0.5,0.375,0.5,0.5
quartet_026,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_026,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_027,quartic_partition,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_027,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_027,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_028,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_028,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_028,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_029,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_029,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_029,quartic_partition,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_030,quartic_partition,balanced,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_030,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_030,quartic_partition,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_031,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_031,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_031,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_032,quartic_partition,balanced,5.089707332982235e-31,0.5,0.375,0.5,0.5
quartet_032,quartic_partition,comb,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_032,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
quartet_033,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_033,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_033,quartic_partition,mixed,0.4999999999999999,0.5,0.5,1.1102230246251565e-16,0.0
quartet_034,quartic_partition,balanced,0.5,0.5,0.5,0.0,0.0
quartet_034,quartic_partition,comb,0.5,0.5,0.5,0.0,0.0
quartet_034,quartic_partition,mixed,0.5,0.5,0.5,0.0,0.0
