arm,regime,task_id,split,seed,rank,noise_sd,angle_pi,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,population_loss,observed_objective,population_objective
feedback_only,fixed_cache,s6101_r8_n000_a000,development,6101,8,0.0,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,8.058191226535014e-08,7.969766713730802e-08,0.08389942784048812,0.08389942695624299
feedback_only,fixed_cache,s6101_r8_n000_a250,development,6101,8,0.0,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,1.5507690571608486e-07,1.525649556685475e-07,0.08389950233548157,0.08389949982353152
feedback_only,fixed_cache,s6101_r8_n000_a500,development,6101,8,0.0,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,7.744717536006675e-08,7.600140329138902e-08,0.08389942470575121,0.08389942325997915
feedback_only,fixed_cache,s6101_r8_n750_a000,development,6101,8,0.75,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3054604974394469,0.3061421527524185,0.38935984469802276,0.39004150001099436
feedback_only,fixed_cache,s6101_r8_n750_a250,development,6101,8,0.75,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3054703826860934,0.3061492366881975,0.38936972994466923,0.39004858394677333
feedback_only,fixed_cache,s6101_r8_n750_a500,development,6101,8,0.75,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3054582674776082,0.3061396431430701,0.389357614736184,0.3900389904016459
feedback_only,fixed_cache,s6102_r1_n000_a000,development,6102,1,0.0,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.375226452386336e-32,2.2154212891529422e-32,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6102_r1_n000_a250,development,6102,1,0.0,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,5.091765289542061e-32,1.232595164407831e-32,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6102_r1_n000_a500,development,6102,1,0.0,0.5,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.3134003977894598,0.25,0.6340039778945984,64,64,16,256,4.2841529177792704e-27,4.178521394081993e-27,0.025072031823156784,0.025072031823156784
feedback_only,fixed_cache,s6102_r1_n750_a000,development,6102,1,0.75,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2920127331652475,0.2942260708247046,0.3059120804238234,0.3081254180832805
feedback_only,fixed_cache,s6102_r1_n750_a250,development,6102,1,0.75,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2863383943989649,0.2888421885347674,0.3002377416575408,0.3027415357933433
feedback_only,fixed_cache,s6102_r1_n750_a500,development,6102,1,0.75,0.5,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.3158846978750554,0.25,0.6588469787505544,64,64,16,256,0.282078863150589,0.2842940948637401,0.3073496389805934,0.3095648706937445
feedback_only,fixed_cache,s6102_r2_n000_a000,development,6102,2,0.0,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,7.603668761130577e-32,4.3607266912680367e-32,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6102_r2_n000_a250,development,6102,2,0.0,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,1.8258835229685853e-20,1.7770742109908772e-20,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6102_r2_n000_a500,development,6102,2,0.0,0.5,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.0012205860077343,0.0011909954702452,0.04511993326631017,0.045090342728821065
