task,budget,rate,rule,n,mean,median,minimum,maximum,ci_low,ci_high,mean_fixed_endpoint,max_best_step,min_changed_parameters,inhibitory_gain0_changed,inhibitory_gain1_changed
opposed_strong,4096,0.01,calibrated_broadcast,20,0.5550772398914273,0.56095221950499,0.15714516829039282,1.0009431578839911,0.433420885912234,0.679875992671806,0.5787882606465257,4096,24,20,20
opposed_strong,4096,0.01,exact,20,7.938110108016121e-05,7.814578019024786e-05,4.176096091160467e-05,0.00013838801860489858,6.806173801478544e-05,9.129839075834885e-05,7.938110108016121e-05,4096,24,20,20
opposed_strong,4096,0.01,hard_distal_and_proximal,20,0.13352886175368145,0.10371431438416034,0.009791272435716192,0.409206347650098,0.09042283172117781,0.18134254545886122,0.5508265260588249,1024,22,0,0
opposed_strong,4096,0.01,hard_distal_unit_proximal,20,7.846897963650498e-05,7.784597229201591e-05,3.0799716821580196e-05,0.00011858064341912707,6.780458038443308e-05,8.917018240845964e-05,7.846897963650498e-05,4096,24,20,20
opposed_strong,4096,0.01,shunt_proportional_unit_proximal,20,7.831625555638211e-05,7.760524796258127e-05,3.0667661317907645e-05,0.00011856572327442438,6.766118492140467e-05,8.894043383551084e-05,7.831625555638211e-05,4096,24,20,20
opposed_strong,4096,0.01,swapped_distal_unit_proximal,20,0.9502625256920725,0.9789082567982953,0.6924079592744349,1.006585829516998,0.9087961284487523,0.9823031047171531,0.9835280975899071,4096,0,16,16
opposed_strong,4096,0.01,unit_broadcast,20,0.5550773759596666,0.5609519923585853,0.1571451256160905,1.0009432390954025,0.431987054172945,0.678478293319564,0.5787882983557318,4096,24,20,20
opposed_strong,4096,0.03,ancestry_three_oracle,20,2.2501960689496203e-05,1.9057168127641628e-05,7.262725201773562e-06,5.898330691626399e-05,1.7303291890296703e-05,2.873579039344531e-05,2.2501960689496203e-05,4096,24,20,20
opposed_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,20,2.2799115087624316e-05,1.925339458406262e-05,7.273222832693213e-06,5.981490397635874e-05,1.7447525353141043e-05,2.911843597188247e-05,2.2799115087624316e-05,4096,24,20,20
opposed_strong,4096,0.03,calibrated_broadcast,20,0.4873993133913762,0.4930547173759763,0.09364964448290272,1.000332726784307,0.3595259947452241,0.6167750246177256,0.5219126126477505,4096,24,20,20
opposed_strong,4096,0.03,exact,20,2.1789327728583418e-05,1.5611431808866082e-05,7.5409652966301e-06,5.964032989484157e-05,1.6312586424307594e-05,2.8332437394057696e-05,2.1789327728583418e-05,4096,24,20,20
opposed_strong,4096,0.03,hard_distal_and_proximal,20,0.12320418075834902,0.09020842083351874,0.007010334124398281,0.4444947246621947,0.0827359979786501,0.17165194347488943,0.5532362451549744,256,22,0,0
opposed_strong,4096,0.03,hard_distal_unit_proximal,20,2.3277881252926438e-05,2.149246290444186e-05,8.15039650082901e-06,5.473764983213735e-05,1.8824434507693807e-05,2.8283011421770922e-05,2.3277881252926438e-05,4096,24,20,20
opposed_strong,4096,0.03,shunt_proportional_unit_proximal,20,2.3219281009844032e-05,2.146300959140022e-05,8.128328586073885e-06,5.456585131846281e-05,1.8810103857548607e-05,2.829864144049637e-05,2.3219281009844032e-05,4096,24,20,20
opposed_strong,4096,0.03,swapped_distal_unit_proximal,20,0.9492566528665053,0.9791741348707703,0.6924079592744349,1.0023676972672029,0.9073341012153855,0.9808855238160828,0.984200043901333,4096,0,16,16
opposed_strong,4096,0.03,unit_broadcast,20,0.4873967422593606,0.4930314584656737,0.09364958558863765,1.000332794829969,0.35939256921849577,0.6163739804915829,0.5219101527896643,4096,24,20,20
opposed_strong,4096,0.1,ancestry_three_oracle,20,8.54767433215171e-06,4.53470805038395e-06,1.9021584091412094e-07,4.009476615363355e-05,4.545534498731569e-06,1.3415392738197316e-05,0.00015650679625850558,4096,24,20,20
opposed_strong,4096,0.1,ancestry_two_leaf_oracle_unit_proximal,20,9.492033659390913e-06,4.878178438423333e-06,2.131953589783717e-07,4.229866332949924e-05,4.518379708216361e-06,1.5320343737800307e-05,7.962654273466888e-05,4096,24,20,20
opposed_strong,4096,0.1,calibrated_broadcast,20,0.4973771948659499,0.5681965998786876,0.001013876170327864,0.9775323423711438,0.36534110648668094,0.6243304426998985,0.636211530640222,4096,24,20,20
opposed_strong,4096,0.1,exact,20,7.027732818055902e-06,2.686547169505887e-06,7.524323010883114e-08,2.852251123955111e-05,3.4987453037495905e-06,1.1039106390150132e-05,6.68810873033746e-05,4096,24,20,20
opposed_strong,4096,0.1,hard_distal_and_proximal,20,0.1275353576825913,0.11256218370751611,0.0027915403041734376,0.3449462236153157,0.08732372287054119,0.17103818170629886,0.741905323326894,256,22,0,0
opposed_strong,4096,0.1,hard_distal_unit_proximal,20,9.067936575704701e-06,5.185703061600097e-06,1.0103530851245259e-07,3.792550746747703e-05,5.041373742502018e-06,1.3817663650396336e-05,5.888932001518958e-05,4096,24,20,20
opposed_strong,4096,0.1,shunt_proportional_unit_proximal,20,4.817728558829415e-06,2.328427255229981e-06,2.8331722983964945e-08,2.5300160340913955e-05,2.4819132637777256e-06,7.711431280004312e-06,5.4984594254053234e-05,4096,24,20,20
opposed_strong,4096,0.1,swapped_distal_unit_proximal,20,0.9493398852463452,0.9779885503545092,0.6924079592744349,1.000822893396635,0.9074995120548526,0.9810923567299858,0.9867177021815863,4096,0,16,16
opposed_strong,4096,0.1,unit_broadcast,20,0.49738190205724797,0.5681968720820489,0.0010095541379449076,0.9775364739773038,0.366258858518829,0.6255355213608925,0.636214264942177,4096,24,20,20
opposed_strong,16384,0.01,ancestry_three_oracle,20,9.040682252111289e-08,7.774178118474073e-08,3.0887582339166694e-09,2.482084836190945e-07,6.210126904346737e-08,1.207324701347518e-07,7.403979765497534e-07,16384,24,20,20
opposed_strong,16384,0.01,ancestry_two_leaf_oracle_unit_proximal,20,7.484289446514576e-08,4.693327676798227e-08,2.9811824488136e-09,3.1040905186476085e-07,4.367427542948667e-08,1.1162716609984679e-07,2.1715206784853012e-07,16384,24,20,20
opposed_strong,16384,0.01,calibrated_broadcast,20,0.48481428252246445,0.44345816476258043,0.0878966937983345,0.9815303401567171,0.35474724021635373,0.6175013104687506,0.5160101198144016,16384,24,20,20
opposed_strong,16384,0.01,exact,20,1.4717202286346352e-07,8.799837352667705e-08,3.116699752380248e-08,4.185324359168539e-07,1.0270733064530259e-07,1.9660405977629747e-07,4.1376445287756957e-07,16384,24,20,20
opposed_strong,16384,0.01,hard_distal_and_proximal,20,0.13352886175368145,0.10371431438416034,0.009791272435716192,0.409206347650098,0.09000812532681227,0.18198027493163405,0.5664517070548076,1024,22,0,0
opposed_strong,16384,0.01,hard_distal_unit_proximal,20,2.3224658888779772e-07,5.884705038675553e-08,1.94791411003809e-09,1.4584315878171371e-06,7.391286029736132e-08,4.288966746393182e-07,1.9451909786281847e-06,16384,24,20,20
opposed_strong,16384,0.01,shunt_proportional_unit_proximal,20,2.233620966393502e-07,1.0190008127853517e-07,2.7598730597490217e-09,1.5947616034676595e-06,8.562587680189147e-08,4.125415807076566e-07,2.4919901205738807e-06,16384,24,20,20
opposed_strong,16384,0.01,swapped_distal_unit_proximal,20,0.9487702325661302,0.978901593841645,0.6924079592744349,1.0010181305871795,0.9071887444644527,0.9804554918030469,0.982496606005201,16384,0,16,16
opposed_strong,16384,0.01,unit_broadcast,20,0.48481255902119924,0.4434571079446197,0.08789663733463211,0.9815305086420404,0.3558316581966796,0.6151542751113416,0.5160100105132146,16384,24,20,20
opposed_strong,16384,0.03,ancestry_three_oracle,20,7.024791616533249e-08,3.0669534155813126e-08,3.197899324826278e-09,2.739541122390008e-07,3.8093945810159925e-08,1.0639728039730253e-07,4.828449472716276e-06,16384,24,20,20
opposed_strong,16384,0.03,ancestry_two_leaf_oracle_unit_proximal,20,2.388481523878611e-07,2.2081338035810243e-08,1.5610825704566358e-09,1.3926841274858455e-06,9.463377528563782e-08,4.142492759198941e-07,2.361997653146956e-06,16384,24,20,20
opposed_strong,16384,0.03,calibrated_broadcast,20,0.4683851144819527,0.4845889910503868,0.014597188820589675,0.979757181314908,0.33195216132265687,0.6034428985856164,0.604772091621754,16384,24,20,20
opposed_strong,16384,0.03,exact,20,8.450592716492678e-07,1.5262233090361322e-07,2.3672767668480683e-08,1.0595949817810504e-05,1.7370953609132974e-07,1.9857834996333033e-06,1.6887603859596115e-05,16384,24,20,20
opposed_strong,16384,0.03,hard_distal_and_proximal,20,0.12320418075834902,0.09020842083351874,0.007010334124398281,0.4444947246621947,0.08198335492697956,0.17167535112178373,0.6637723676876376,256,22,0,0
opposed_strong,16384,0.03,hard_distal_unit_proximal,20,2.85800813743663e-07,6.275379558581032e-08,4.774302883715328e-09,4.076226876643812e-06,5.933352914853131e-08,7.012772408173869e-07,1.3013239229449881e-05,16384,24,20,20
opposed_strong,16384,0.03,shunt_proportional_unit_proximal,20,1.0621126070661836e-07,5.8150822272539057e-08,2.3636177290259474e-09,5.989519493413781e-07,5.5836796200477896e-08,1.7461262664302567e-07,1.0898113237253795e-05,16384,24,20,20
opposed_strong,16384,0.03,swapped_distal_unit_proximal,20,0.9483697961334705,0.9791741348707703,0.6924079592744349,1.000595262685334,0.9068361090965766,0.9799292722111652,0.982867596411548,16384,0,16,16
opposed_strong,16384,0.03,unit_broadcast,20,0.46838465915271843,0.4845679515835064,0.014597087304256892,0.9797570836105116,0.33341230441418357,0.6038310928727654,0.6047737084736959,16384,24,20,20
opposed_strong,16384,0.1,ancestry_three_oracle,20,1.1923926001854528e-06,4.776226976383603e-07,1.0915730861567839e-08,7.063761307677223e-06,4.6325699539885467e-07,2.1061136944542747e-06,9.509421867217097e-05,16384,24,20,20
opposed_strong,16384,0.1,ancestry_two_leaf_oracle_unit_proximal,20,8.668654476779487e-07,2.4891524740390697e-07,1.309192127601621e-08,7.159532121863042e-06,2.694949316357425e-07,1.705223737681076e-06,9.072982881684028e-05,16384,24,20,20
opposed_strong,16384,0.1,calibrated_broadcast,20,0.49317439348418884,0.5681965998786876,0.0010254518381803798,0.9589394760331142,0.3611460444526908,0.6221953939821175,0.6583197150583768,16384,24,20,20
opposed_strong,16384,0.1,exact,20,4.2346924946626453e-07,8.65267876855434e-08,1.9255072134078366e-09,4.379517739222017e-06,1.0131671946846913e-07,9.25566901575753e-07,2.906987609874311e-05,16384,24,20,20
opposed_strong,16384,0.1,hard_distal_and_proximal,20,0.1275353576825913,0.11256218370751611,0.0027915403041734376,0.3449462236153157,0.08697520487954137,0.17171082062894982,0.8055870988694285,256,22,0,0
opposed_strong,16384,0.1,hard_distal_unit_proximal,20,3.9049319661654914e-07,1.7735818975692224e-07,2.7023947637076707e-08,1.8275407589200522e-06,2.09274237740743e-07,6.089020019405672e-07,0.00016599515061534864,16384,24,20,20
opposed_strong,16384,0.1,shunt_proportional_unit_proximal,20,1.624934613913271e-06,1.6125184518735327e-07,6.643307100248593e-09,1.1853899891168176e-05,4.428524000827527e-07,3.159187737074143e-06,2.9774970798827818e-05,16384,24,20,20
opposed_strong,16384,0.1,swapped_distal_unit_proximal,20,0.9494478804654536,0.9779885503545092,0.6924079592744349,1.00405495344332,0.9078054777915993,0.9806856801192747,0.9878618991320156,16384,0,16,16
opposed_strong,16384,0.1,unit_broadcast,20,0.493177916474777,0.5681968720820489,0.0010330844144617953,0.9589406415522418,0.3626409150005895,0.619679907467333,0.6577991597387205,16384,24,20,20
