task,budget,rate,left,right,seed,difference
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090816,3.135186680050788e-08
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090817,1.42862020569034e-07
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090818,2.2628818532801232e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090819,-5.988426651451105e-09
aligned_strong,4096,0.01,calibrated_broadcast,unit_broadcast,2026090820,2.1532858614226047e-08
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090801,0.0008617607168768598
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090802,0.0009000201967226321
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090803,0.0001572045437245688
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090804,0.0022034655056947508
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090805,2.2346498411333448e-05
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090806,0.0011664027593617818
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090807,0.0005411907197727527
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090808,0.0007341269078243692
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090809,0.0001279749455852529
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090810,0.00015574678007886664
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090811,1.4049129820284789e-05
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090812,9.460128724089392e-05
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090813,0.0015430938616247353
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090814,0.0005578523490599032
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090815,8.789306537161781e-05
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090816,0.0005448901465857647
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090817,0.0005748615215469809
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090818,1.6671017609458925e-05
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090819,0.00017237253200648429
aligned_strong,4096,0.03,unit_broadcast,hard_distal_unit_proximal,2026090820,0.00037979747600667605
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090801,4.54973069685199e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090802,6.143196666458887e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090803,3.874870715879496e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090804,-4.922605460619911e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090805,5.549351911860496e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090806,-2.2591711321691705e-07
