task,budget,rate,left,right,n,mean,ci_low,ci_high,positive,negative
opposed_strong,16384,0.1,unit_broadcast,hard_distal_unit_proximal,20,0.49317752598158027,0.364819239541077,0.6201878133872922,20,0
opposed_strong,16384,0.1,hard_distal_unit_proximal,exact,20,-3.2976052849715455e-08,-5.147137267380635e-07,3.5130103012504044e-07,13,7
opposed_strong,16384,0.1,swapped_distal_unit_proximal,hard_distal_unit_proximal,20,0.949447489972257,0.9074761175373057,0.9810583349716773,20,0
opposed_strong,16384,0.1,hard_distal_and_proximal,hard_distal_unit_proximal,20,0.1275349671893947,0.08725605021994702,0.17139971107177945,20,0
opposed_strong,16384,0.1,ancestry_two_leaf_oracle_unit_proximal,exact,20,4.433961982116841e-07,-3.211754254606286e-07,1.368219912397216e-06,14,6
opposed_strong,16384,0.1,shunt_proportional_unit_proximal,exact,20,1.2014653644470064e-06,-8.63945374764818e-08,2.8193591193184942e-06,13,7
opposed_strong,16384,0.1,ancestry_three_oracle,exact,20,7.689233507191881e-07,-1.4372236772116152e-07,1.805840201807512e-06,14,6
opposed_strong,16384,0.1,calibrated_broadcast,unit_broadcast,20,-3.522990588103632e-06,-1.250142508250585e-05,2.3238983039809397e-06,10,10
opposed_minus_aligned,4096,0.01,unit_broadcast,hard_distal_unit_proximal,20,0.554246391970924,0.4302690097872951,0.6783511188930105,20,0
opposed_minus_aligned,4096,0.01,calibrated_broadcast,exact,20,0.554249389691858,0.43034505684756846,0.6773805049466802,20,0
opposed_minus_aligned,4096,0.03,unit_broadcast,hard_distal_unit_proximal,20,0.4868306482800614,0.3602674981433242,0.6147537960280535,20,0
opposed_minus_aligned,4096,0.03,calibrated_broadcast,exact,20,0.4868316782453482,0.3588649844867459,0.6168843899559558,20,0
opposed_minus_aligned,4096,0.1,unit_broadcast,hard_distal_unit_proximal,20,0.4970699632632195,0.36738961775443346,0.627174230349155,20,0
opposed_minus_aligned,4096,0.1,calibrated_broadcast,exact,20,0.497070576543362,0.3695626770687843,0.6264172948313005,20,0
opposed_minus_aligned,16384,0.01,unit_broadcast,hard_distal_unit_proximal,20,0.4845458658087033,0.35530468717218466,0.6148053162845837,20,0
opposed_minus_aligned,16384,0.01,calibrated_broadcast,exact,20,0.4845477981419732,0.35624880866780273,0.6153260597069513,20,0
opposed_minus_aligned,16384,0.03,unit_broadcast,hard_distal_unit_proximal,20,0.468146457837583,0.3320658584541424,0.6039171463216332,20,0
opposed_minus_aligned,16384,0.03,calibrated_broadcast,exact,20,0.46814682372176175,0.3299049350164513,0.6012046608370696,20,0
opposed_minus_aligned,16384,0.1,unit_broadcast,hard_distal_unit_proximal,20,0.4929193992309015,0.36509100167162434,0.6211583562850455,20,0
opposed_minus_aligned,16384,0.1,calibrated_broadcast,exact,20,0.49291756952517646,0.3640200477296435,0.6211508663985811,20,0
