architecture,feedback_family,budget_k,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress
dendritic_tree,correct_ancestry_subtrees,1,20,0.1866455078,0.1827148437,0.1907226563,19.87260017,19.58235723,20.19455524,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306428169,0.1319110322,0.3623277802,0.3614446927,0.363180812,-1.097266085,-1.101635403,-1.092769521
dendritic_tree,correct_ancestry_subtrees,2,20,0.4486328125,0.4288574219,0.4686523437,0.8416249512,0.8125954238,0.8717139489,0,0,0,0.2651939017,0.2641764421,0.2662309986,0.5149647929,0.5139844596,0.5159777259,-0.08484231529,-0.1569119101,-0.01520106749
dendritic_tree,correct_ancestry_subtrees,4,20,0.8010498047,0.7955322266,0.8069580078,0.4310751209,0.4252759054,0.4368151509,0,0,0,0.5228728922,0.5211219456,0.5245891547,0.7230943012,0.7218954126,0.7242696325,0.9759261825,0.9740182588,0.9777057459
dendritic_tree,correct_ancestry_subtrees,8,20,0.8100097656,0.8052246094,0.8149658203,0.4138553991,0.4072494535,0.4206493983,0,0,0,1,1,1,1,1,1,1,1,1
dendritic_tree,depth_interleaved_bins,1,20,0.1866455078,0.1827636719,0.1907720947,19.87260017,19.57922523,20.20196751,0.0015625,-0.000439453125,0.003369140625,0.1312853816,0.1306532393,0.131917693,0.3623277802,0.3614629302,0.3632071345,-1.097266085,-1.101637057,-1.092714138
dendritic_tree,depth_interleaved_bins,2,20,0.2017822266,0.1968994141,0.2065435791,6.038518305,5.830904598,6.256467285,0.0146484375,0.01108398437,0.01831054688,0.2598412968,0.2585932436,0.2610916021,0.5097385233,0.508486488,0.5109474443,-1.005592003,-1.013411252,-0.9974640832
dendritic_tree,depth_interleaved_bins,4,20,0.7299316406,0.7186523437,0.7412841797,0.5669703328,0.557792809,0.5759123117,0.5301757812,0.5135253906,0.548046875,0.5109406136,0.5090019533,0.5128337116,0.7147944327,0.7134127639,0.7161241586,0.763779601,0.7374653865,0.7884446053
dendritic_tree,depth_interleaved_bins,8,20,0.8100097656,0.8051513672,0.8148925781,0.4138553991,0.4072343483,0.4205149558,0,0,0,1,1,1,1,1,1,1,1,1
dendritic_tree,exact_compartment_transport,8,20,0.8100097656,0.8051507568,0.8148681641,0.4138553991,0.4072029246,0.42050127,0,0,0,1,1,1,1,1,1,1,1,1
dendritic_tree,learned_rank_k_upper_bound,1,20,0.5629882812,0.5457275391,0.58046875,0.6547088865,0.6519292973,0.6573694042,0,0,0,0.1329633476,0.1307453135,0.1351431251,0.364576888,0.3615894991,0.3675154061,0.3279823046,0.3215182238,0.3343727093
dendritic_tree,learned_rank_k_upper_bound,2,20,0.6167236328,0.6006591797,0.6332763672,0.6188148542,0.6151003072,0.6223095083,0,0,0,0.2612405622,0.2584862254,0.2643119269,0.5110759061,0.5084090732,0.5141731092,0.4864395346,0.47955181,0.4940413691
dendritic_tree,learned_rank_k_upper_bound,4,20,0.7030517578,0.68918396,0.7168457031,0.5490466551,0.5435570324,0.5543054941,0,0,0,0.5120672,0.5097480766,0.5146836297,0.7155776071,0.7139355944,0.7174210245,0.7013929122,0.6934154256,0.7101797954
dendritic_tree,learned_rank_k_upper_bound,8,20,0.8100097656,0.805078125,0.8149169922,0.4138553991,0.4071695816,0.4206329455,0,0,0,1,1,1,1,1,1,1,1,1
dendritic_tree,neuron_indexed_shared,1,20,0.1866455078,0.1827636719,0.1907958984,19.87260017,19.57966337,20.19784176,0.0015625,-0.000439453125,0.003369140625,0.1312853816,0.130643106,0.1319028695,0.3623277802,0.3614359677,0.3631928672,-1.097266085,-1.101620737,-1.092732854
dendritic_tree,random_rank_k,1,20,0.5449707031,0.4627435303,0.6281744385,2.479407811,1.390124645,3.752822881,0.05234375,0.030078125,0.07612304688,0.08716051588,0.08145233162,0.09276648923,0.2944112112,0.2848009058,0.3040529198,0.4026899947,0.1875664706,0.58072253
dendritic_tree,random_rank_k,2,20,0.6026367188,0.5330078125,0.6702661133,1.253939264,0.8461846362,1.749100868,0.09765625,0.05986328125,0.1368164062,0.2126831604,0.2058849378,0.2191095162,0.4608705917,0.4533691172,0.4680684093,0.5671772981,0.4190190723,0.6948531035
dendritic_tree,random_rank_k,4,20,0.7779052734,0.7592529297,0.793994751,0.5109353542,0.4911245183,0.5328076994,0.1343261719,0.08466674805,0.1897473145,0.4863481712,0.4788260589,0.4928098372,0.6972893951,0.6917338832,0.7019255235,0.8441996579,0.8109982428,0.8775272655
dendritic_tree,random_rank_k,8,20,0.8100097656,0.805078125,0.8149169922,0.4138553991,0.4070880707,0.4204814361,0,0,0,1,1,1,1,1,1,1,1,1
dendritic_tree,random_sparse_matched,1,20,0.1866455078,0.1828125,0.1907958984,19.87260017,19.57876912,20.1977537,0.0015625,-0.000439453125,0.00341796875,0.1312853816,0.1306535948,0.1319200335,0.3623277802,0.3614433929,0.3631853905,-1.097266085,-1.101665224,-1.092740521
dendritic_tree,random_sparse_matched,2,20,0.2166748047,0.2092529297,0.2245605469,4.569508823,4.112993549,5.073029773,0.0220703125,0.01708984375,0.02734375,0.260357731,0.2594027117,0.2612896798,0.5102481933,0.5092914015,0.5111649654,-0.9186494262,-0.9523953856,-0.8818638111
dendritic_tree,random_sparse_matched,4,20,0.7633789063,0.7525878906,0.7735107422,0.5094402496,0.495527284,0.5240122772,0.25390625,0.1852539062,0.3237805176,0.5145068271,0.5123430388,0.5165660609,0.7172834062,0.7157705071,0.7187142528,0.8365714408,0.8088493181,0.8636640769
dendritic_tree,random_sparse_matched,8,20,0.8100097656,0.8051513672,0.8149414062,0.4138553991,0.4070907082,0.4205924916,0,0,0,1,1,1,1,1,1,1,1,1
