seed,condition_id,architecture,feedback_family,budget_k,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress
4210,point_neuron_explicit_gating__exact_compartment_transport__k8,point_neuron_explicit_gating,exact_compartment_transport,8,0.3744292019,0.8256835938,0.3992587753,0.8149414062,0.3842125432,0.822265625,0.822265625,0,1,1,1
4210,point_neuron_explicit_gating__backpropagation__k8,point_neuron_explicit_gating,backpropagation,8,0.3744292019,0.8256835938,0.3992587753,0.8149414062,0.3842125432,0.822265625,0.822265625,0,1,1,1
4210,flat_compartment__correct_ancestry_subtrees__k1,flat_compartment,correct_ancestry_subtrees,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,flat_compartment__within_neuron_route_derangement__k1,flat_compartment,within_neuron_route_derangement,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,flat_compartment__depth_interleaved_bins__k1,flat_compartment,depth_interleaved_bins,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,flat_compartment__random_sparse_matched__k1,flat_compartment,random_sparse_matched,1,19.7136223,0.1840820312,19.52963221,0.1796875,19.13841654,0.1748046875,0.1796875,-0.0048828125,0.364191292,0.1326352972,-1.097759503
4210,flat_compartment__random_rank_k__k1,flat_compartment,random_rank_k,1,1.452959718,0.4375,1.457236467,0.4438476562,1.493555735,0.3662109375,0.3388671875,0.02734375,0.2746545557,0.07543512494,0.4757586752
4210,flat_compartment__learned_rank_k_upper_bound__k1,flat_compartment,learned_rank_k_upper_bound,1,0.6455702236,0.5805664062,0.6472119545,0.5756835938,0.6908235785,0.5107421875,0.5107421875,0,0.3783119136,0.143119904,0.35442028
4210,flat_compartment__correct_ancestry_subtrees__k2,flat_compartment,correct_ancestry_subtrees,2,0.7195713901,0.5400390625,0.7473725462,0.5185546875,0.7358777146,0.505859375,0.505859375,0,0.5162463138,0.2665102565,-0.04012561543
4210,flat_compartment__within_neuron_route_derangement__k2,flat_compartment,within_neuron_route_derangement,2,32.32150677,0.18359375,31.80641997,0.1831054688,30.9102534,0.17578125,0.1767578125,-0.0009765625,0,0,-1.123480197
