seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9101,4,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,20,0.1481142141,0.2962284281,0.4658240701,388.5198166,807.7404929
9101,4,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,80,0.5984606863,1.196921373,0.7129205298,388.5198166,807.7404929
9101,16,tree_haar,vanilla_local,8,1.59190147e-31,1,0.3332235758,0.6664471516,0.3197555346,1,1
9101,16,tree_haar,vanilla_local,8,1.59190147e-31,5,0.2258801746,0.4517603491,0.4818528322,1,1
9101,16,tree_haar,vanilla_local,8,1.59190147e-31,20,0.2569179333,0.5138358665,1.17706937,1,1
9101,16,tree_haar,vanilla_local,8,1.59190147e-31,80,0.1229930707,0.2459861414,1.011354474,1,1
9101,16,tree_haar,gram_preconditioned_control,8,1.59190147e-31,1,0.3332235758,0.6664471516,0.3197555346,1,1
9101,16,tree_haar,gram_preconditioned_control,8,1.59190147e-31,5,0.2258801746,0.4517603491,0.4818528322,1,1
9101,16,tree_haar,gram_preconditioned_control,8,1.59190147e-31,20,0.2569179333,0.5138358665,1.17706937,1,1
9101,16,tree_haar,gram_preconditioned_control,8,1.59190147e-31,80,0.1229930707,0.2459861414,1.011354474,1,1
9101,16,raw_nested_indicators,vanilla_local,8,2.883117127e-31,1,0.4666678587,0.9333357174,0.02232295455,15,30
9101,16,raw_nested_indicators,vanilla_local,8,2.883117127e-31,5,0.4035932791,0.8071865582,0.05223560768,15,30
9101,16,raw_nested_indicators,vanilla_local,8,2.883117127e-31,20,0.179423137,0.358846274,0.1953114707,15,30
9101,16,raw_nested_indicators,vanilla_local,8,2.883117127e-31,80,0.02291438344,0.04582876688,0.4257390117,15,30
9101,16,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,1,0.3332235758,0.6664471516,0.1960211681,15,30
9101,16,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,5,0.2258801746,0.4517603491,0.2290261275,15,30
9101,16,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,20,0.2569179333,0.5138358665,0.7546541055,15,30
9101,16,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,80,0.1229930707,0.2459861414,0.5783451232,15,30
9101,16,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,1,0.5111927659,1.022385532,0.002689413097,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,5,0.4373710986,0.8747421972,0.008109901922,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,20,0.3175498875,0.635099775,0.02861963437,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,80,0.2518907683,0.5037815367,0.05385269649,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,1,0.3332235758,0.6664471516,0.1248438563,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,5,0.2258801746,0.4517603491,0.1373410824,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,20,0.2569179333,0.5138358665,0.5486080096,388.5198166,807.7404929
9101,16,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,80,0.1229930707,0.2459861414,0.3914776854,388.5198166,807.7404929
9101,64,tree_haar,vanilla_local,8,1.59190147e-31,1,0.2652056365,0.5304112729,0.2879519994,1,1
9101,64,tree_haar,vanilla_local,8,1.59190147e-31,5,0.0777401626,0.1554803252,0.7082831937,1,1
9101,64,tree_haar,vanilla_local,8,1.59190147e-31,20,0.01330594021,0.02661188043,0.9882496383,1,1
9101,64,tree_haar,vanilla_local,8,1.59190147e-31,80,0.02408030667,0.04816061334,1.071910657,1,1
9101,64,tree_haar,gram_preconditioned_control,8,1.59190147e-31,1,0.2652056365,0.5304112729,0.2879519994,1,1
9101,64,tree_haar,gram_preconditioned_control,8,1.59190147e-31,5,0.0777401626,0.1554803252,0.7082831937,1,1
9101,64,tree_haar,gram_preconditioned_control,8,1.59190147e-31,20,0.01330594021,0.02661188043,0.9882496383,1,1
9101,64,tree_haar,gram_preconditioned_control,8,1.59190147e-31,80,0.02408030667,0.04816061334,1.071910657,1,1
9101,64,raw_nested_indicators,vanilla_local,8,2.883117127e-31,1,0.4546500747,0.9093001494,0.0210601423,15,30
9101,64,raw_nested_indicators,vanilla_local,8,2.883117127e-31,5,0.3622316426,0.7244632851,0.07545815434,15,30
9101,64,raw_nested_indicators,vanilla_local,8,2.883117127e-31,20,0.1509041451,0.3018082902,0.2145069693,15,30
9101,64,raw_nested_indicators,vanilla_local,8,2.883117127e-31,80,0.01763851797,0.03527703595,0.4284032131,15,30
9101,64,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,1,0.2652056365,0.5304112729,0.1578645407,15,30
9101,64,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,5,0.0777401626,0.1554803252,0.3377297387,15,30
9101,64,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,20,0.01330594021,0.02661188043,0.5362991996,15,30
