run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,14,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,46,occupancy_quantile,273.0,0.9631999731063844,0.9610833525657654,60,0.1284124755859375,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,15,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,47,occupancy_quantile,262.0,0.9639999866485596,0.965749979019165,41,0.1143524549007415,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,16,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,48,occupancy_quantile,273.0,0.9632999897003174,0.962499976158142,55,0.1208356518348058,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,17,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,49,occupancy_quantile,271.0,0.9649999737739564,0.965749979019165,48,0.1159212321440378,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,18,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,50,occupancy_quantile,272.0,0.9627999663352966,0.9605833292007446,55,0.1313784043788909,180,403722,15360,436284416.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,19,mnist,dendritic_additive,local_ca,per_soma_shared,1,2,2,20,standard,correct,51,occupancy_quantile,272.0,0.962399959564209,0.962000012397766,48,0.1238158258199691,180,403722,15360,436284416.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,20,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,42,occupancy_quantile,276.0,0.9652999639511108,0.9614166617393494,55,0.1320686335762342,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,21,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,43,occupancy_quantile,276.0,0.9620999693870544,0.9613333344459534,50,0.1299717064301173,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,22,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,44,occupancy_quantile,262.0,0.965499997138977,0.9628333449363708,39,0.1204441973865032,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,23,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,45,occupancy_quantile,270.0,0.9657999873161316,0.9649999737739564,35,0.1224115587870279,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,24,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,46,occupancy_quantile,276.0,0.9634999632835388,0.96016663312912,45,0.1272984107732772,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,25,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,47,occupancy_quantile,278.0,0.9662999510765076,0.9627500176429749,38,0.122645477493604,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,26,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,48,occupancy_quantile,278.0,0.9649999737739564,0.9639166593551636,44,0.118176995396614,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,27,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,49,occupancy_quantile,277.0,0.962399959564209,0.962166666984558,48,0.1269458262125651,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,28,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,50,occupancy_quantile,263.0,0.9632999897003174,0.962416648864746,44,0.1313018068174521,180,403722,15360,436287488.0,497025024.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,29,mnist,dendritic_additive,local_ca,path_transport,1,2,2,20,standard,not_applicable,51,occupancy_quantile,264.0,0.9632999897003174,0.9629999995231628,56,0.126368691265583,180,403722,15360,436287488.0,499122176.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,30,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,42,occupancy_quantile,339.0,0.9214999675750732,0.9176666736602784,49,0.2728816574414571,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,31,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,43,occupancy_quantile,332.0,0.9124999642372132,0.9109166860580444,54,0.313625994682312,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,32,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,44,occupancy_quantile,340.0,0.9248999953269958,0.9207499623298644,73,0.268084423383077,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,33,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,45,occupancy_quantile,341.0,0.9174000024795532,0.9139166474342346,74,0.2964658666451772,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,34,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,46,occupancy_quantile,331.0,0.9249999523162842,0.918666660785675,70,0.2771601179043452,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,35,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,47,occupancy_quantile,353.0,0.9239999651908876,0.9203333258628844,98,0.2722618663311004,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,36,mnist,dendritic_additive,local_ca,per_soma,2,2x2,6,20,standard,not_applicable,48,occupancy_quantile,346.0,0.9084999561309814,0.9107499718666076,95,0.3071539119084676,180,1208074,46080,724458496.0,838860800.0,4842834,23,pass,
