task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r2_n000_a500,joint_forward_feedback,empirical_split_fullbatch,0.010816144989803433,,,,
s6100_r2_n000_a500,joint_forward_feedback,original_scalar,0.03140635893214494,,,,
s6100_r2_n750_a000,feedback_only,gaussian_plugin_fullbatch,0.0005781529471278191,0.0033757899655029178,,,
s6100_r2_n750_a000,feedback_only,gaussian_plugin_sgd,0.03612683806568384,0.0033757899655029178,,,
s6100_r2_n750_a000,feedback_only,gaussian_oracle_fullbatch,0.0005897060036659241,0.0,,,
s6100_r2_n750_a000,feedback_only,gaussian_oracle_sgd,0.036617647972889245,0.0,,,
s6100_r2_n750_a000,feedback_only,empirical_split_fullbatch,0.01070419093593955,,,,
s6100_r2_n750_a000,feedback_only,original_scalar,0.03150404104962945,,,,
s6100_r2_n750_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005995770916342735,0.0041183289140462875,,,
s6100_r2_n750_a000,joint_forward_feedback,gaussian_plugin_sgd,0.0367996150162071,0.0041183289140462875,,,
s6100_r2_n750_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006024900358170271,0.0,,,
s6100_r2_n750_a000,joint_forward_feedback,gaussian_oracle_sgd,0.03648090094793588,0.0,,,
s6100_r2_n750_a000,joint_forward_feedback,empirical_split_fullbatch,0.010733044007793069,,,,
s6100_r2_n750_a000,joint_forward_feedback,original_scalar,0.031149248010478914,,,,
s6100_r2_n750_a250,feedback_only,gaussian_plugin_fullbatch,0.0005619470030069351,0.003008411033079028,,,
s6100_r2_n750_a250,feedback_only,gaussian_plugin_sgd,0.036655176896601915,0.003008411033079028,,,
s6100_r2_n750_a250,feedback_only,gaussian_oracle_fullbatch,0.0006371489726006985,0.0,,,
s6100_r2_n750_a250,feedback_only,gaussian_oracle_sgd,0.036696594092063606,0.0,,,
s6100_r2_n750_a250,feedback_only,empirical_split_fullbatch,0.010687871952541173,,,,
s6100_r2_n750_a250,feedback_only,original_scalar,0.031740302103571594,,,,
s6100_r2_n750_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005745559465140104,0.0029852420557290316,,,
s6100_r2_n750_a250,joint_forward_feedback,gaussian_plugin_sgd,0.03693770198151469,0.0029852420557290316,,,
s6100_r2_n750_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006300839595496655,0.0,,,
s6100_r2_n750_a250,joint_forward_feedback,gaussian_oracle_sgd,0.03676057199481875,0.0,,,
s6100_r2_n750_a250,joint_forward_feedback,empirical_split_fullbatch,0.010818694019690156,,,,
s6100_r2_n750_a250,joint_forward_feedback,original_scalar,0.03157720097806305,,,,
s6100_r2_n750_a500,feedback_only,gaussian_plugin_fullbatch,0.0005690950201824307,0.0030437998939305544,,,
s6100_r2_n750_a500,feedback_only,gaussian_plugin_sgd,0.03653824306093156,0.0030437998939305544,,,
s6100_r2_n750_a500,feedback_only,gaussian_oracle_fullbatch,0.0006118030287325382,0.0,,,
s6100_r2_n750_a500,feedback_only,gaussian_oracle_sgd,0.03651297406759113,0.0,,,
s6100_r2_n750_a500,feedback_only,empirical_split_fullbatch,0.010605067014694214,,,,
s6100_r2_n750_a500,feedback_only,original_scalar,0.031350528937764466,,,,
s6100_r2_n750_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005780449137091637,0.0029933780897408724,,,
s6100_r2_n750_a500,joint_forward_feedback,gaussian_plugin_sgd,0.03647720697335899,0.0029933780897408724,,,
s6100_r2_n750_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006376099772751331,0.0,,,
s6100_r2_n750_a500,joint_forward_feedback,gaussian_oracle_sgd,0.036926856031641364,0.0,,,
