task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,regime,checkpoint,test_loss,population_loss
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,fresh_iid,16,1.8451961888525826e-06,1.8217622681260368e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,fresh_iid,16,1.8451961888525805e-06,1.8217622681260338e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,fresh_iid,16,1.8451961888525826e-06,1.8217622681260368e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,fresh_iid,16,1.8451961888525805e-06,1.8217622681260338e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,fresh_iid,16,1.8451961888525826e-06,1.8217622681260368e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,fresh_iid,16,1.8451961888525805e-06,1.8217622681260338e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,fresh_iid,16,1.8451961888525826e-06,1.8217622681260368e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,fresh_iid,16,1.8451961888525805e-06,1.8217622681260338e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,fresh_iid,16,1.8451961888524987e-06,1.8217622681259618e-06
s6102_r1_n000_a000,development,6102,1,0.0,0.0,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,fresh_iid,16,1.8451961888525019e-06,1.8217622681259549e-06
