cohort,run_dir,config_index,seed,regime,mechanism,method,transport,depth,branch_factors,signal_delta,train_gain_sigma,test_gain_sigma,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,source,architecture,credit,reference_depth
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,0,10200,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,2bba0bb786b74d0ae7b9b731816e7a058f753173ad1a5436000594c1251e85d2,ecc849c795ec5506459ac4aa27aae71ecc4ffabdcc5a55e73615db140aa64650,0,False,0.6085000038,0.6082999706,0.603399992,0.6564772129,0.6567498446,0.6490445733,-0.6537899375,-0.6536283493,-0.6576789618,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,1,10201,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,2684a5216f6d72860f81129909abd166ffd328956af568ccc2a0ef2c0585609f,c379de7f82c9ad8049d4c18e91027802999c0c6d78881387eecc8d476f1d7b30,0,False,0.6201999784,0.6100999713,0.6104999781,0.6689053774,0.6528094411,0.6539222002,-0.6475607753,-0.6563253999,-0.6558644772,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,2,10202,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,f999075e8af2df92bbe30fabdab91b6f60d4aeda2ce373e044ba9410ae2829c9,8537cefab58a0635475814e163435763b54f96359612b838cbd5d565002e6cca,0,False,0.6100000143,0.6122999787,0.6183999777,0.6593214273,0.6540450454,0.655923903,-0.6524353027,-0.6556370258,-0.6553088427,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,3,10203,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,b0e441c3d3ca81cc83ebd03d23e69dc63c868e26f0790556de60ea743e490b8c,77bb82a58115e7478f30ba0b66c983a1cf6db99e765a6693744c1344522daf96,0,False,0.6200999618,0.6140999794,0.6079999804,0.6624417305,0.6584675908,0.6492946148,-0.6514068246,-0.6540203691,-0.6578005552,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,4,10204,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,8d03de1d1a1aebb0c81b798256dfcd1e78c341fb2ee8821f5b12c044e5d6a1a9,633751cde25ec40eb2900524653aa136044cfd7e7f74698faa2fbc4c060c95c4,0,False,0.6245999932,0.6103000045,0.5976999998,0.6670248508,0.6511965394,0.6419187784,-0.6497881413,-0.6570487022,-0.6611279845,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,5,10205,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,518cc7a08975744f0a2125064645fee0b662dfa7cc077a4be62927ab80bd8c7e,ee58092ebc522e9422ca1da7310f24ea3a2f7fa56596d931c1b5f780d9f85355,0,False,0.6140999794,0.601000011,0.6082000136,0.6591032743,0.6433923841,0.6543434262,-0.6528514624,-0.6603743434,-0.6555451751,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,6,10206,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,9df4ff63445d47760efe75502d4b60892104b50ae975b7cb3e9dae7efc60b50f,b9027ffecf9a63ab92e5ec254bfed13f7d383a941bd3c9fb8998f5279ab06455,0,False,0.6076999903,0.6094999909,0.6078999639,0.654073,0.6507237554,0.6531391144,-0.654956162,-0.6570799351,-0.6557809114,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,7,10207,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,da6ad7a69ba82b81e6b8db6eb67a6aa05d6efbd5a1944d7fa583f0720d5224ff,a09f21475dd456e253ec31c057b2d1ec67a272e1767dca45633014cf3e64428f,0,False,0.6144999862,0.6090999842,0.6110000014,0.6584646106,0.6574754119,0.6472170949,-0.6531612873,-0.6532524824,-0.6592227221,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,8,10208,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,cfd013c1d9efd196e6a7fa7ba94f39153df46f4de54b99fa2b843b56438bcc66,4ad2bb5d0d17aeb66a40bedebd43a37e2134d01095c87c7a8d5bc2a0970ff1d0,0,False,0.613499999,0.6110000014,0.6119999886,0.6632356048,0.6479079723,0.6522943974,-0.6504608989,-0.6591593027,-0.656413734,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,9,10209,aligned,shunting,local3f,per_soma_shared,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,91fea1ef6bead9aaa8ec6a4c95166761b24634f037b5a508285e8f57ad71dd05,4f258a295c3a6a6b349275cb2c97634c1d3d0dc6510c5868a3d3d7157eca5fec,0,False,0.6164999604,0.6082999706,0.605799973,0.6535865068,0.6488784552,0.6496187449,-0.6560413837,-0.65776366,-0.6572674513,frozen_reference,serial_tree,local_shared,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,10,10200,aligned,shunting,local3f,path_transport,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,253481de8fa73a7b64e60a6c693983c3b8a365be8ad02491ed14194c83871496,cc291acdd869291101ebaf27f7453f1b96ab2b167e76a47ae9356d373c9081d3,0,False,0.6092999578,0.6085999608,0.6035000086,0.6564962864,0.656678617,0.6490066648,-0.6537944078,-0.6536260247,-0.6576930285,frozen_reference,serial_tree,local_path,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,11,10201,aligned,shunting,local3f,path_transport,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,f139442e48b5a69578294be5507b29fd263606bce96a9d0ce762c469a0b43708,ae895f09d5929612dda7c0d0de57bed238951c9074d80821224e441d7635af01,0,False,0.6216999888,0.6110000014,0.6110999584,0.6689238548,0.6527616382,0.6540158391,-0.6475311518,-0.6563534737,-0.655762732,frozen_reference,serial_tree,local_path,1
aligned_shunting_local3f,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_local3f_20260812005129,12,10202,aligned,shunting,local3f,path_transport,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,2ccca3478d671e89a73ec820f7a92d08ac52ccfe757ade34f535c488d9569b59,8d5d1eab306c49e418ccd53b0aa470587010efbf3f1584a2815c731262bea199,0,False,0.6121000051,0.6110999584,0.6179000139,0.6609341502,0.6539357305,0.6553010345,-0.6513602138,-0.6556388736,-0.6556473374,frozen_reference,serial_tree,local_path,1
