source,cohort,run_dir,config_index,seed,regime,architecture,credit,depth,reference_depth,branch_factors,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,27,10207,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,009aa27ee4492e13ced29c174ea749538f7cf176ef0980e766c7b999a69a3abb,780e2b0f1b7c2fbbc23d4f1ec00a3224856cc0be401b012275057bbe59669b63,0,False,0.6193999648,0.6161999702,0.6083999872,0.6615169048,0.6595900655,0.6488723159,-0.6515122056,-0.6520096064,-0.658757627
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,28,10208,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,04e795cb1ef902282fecff0b642e8c05c59ae4e403533ba7e8c27b30fc66b573,47420d0fdd31e182e5240cea92835d728177a9a6b438a38052dba95a65c1064f,0,False,0.6173999906,0.6117999554,0.6169999838,0.6662592888,0.6500184536,0.6568327546,-0.6488406658,-0.6587479115,-0.6546092629
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,29,10209,aligned,all_active_star,full_bp,3,3,2x1x2,66178,66178,14336,21760,2944,449f0fb2db935c425ec7f3e53e06c27e5bdbfbc7915e24e30a6a55f8e1c1c21b,10fa25484830472de2668b6cced62e89afe0186cf29b093152b8f561e2f3b929,0,False,0.6171000004,0.6117999554,0.6072999835,0.6566637754,0.6522009373,0.6511157751,-0.6547272205,-0.6563764215,-0.6564833522
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,0,10200,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,3b994e963f73b1c96f3710e3341765aef017a822edb59161efc91f15c2bff0de,ec1d2ed3a0567dbc31bf1c63cc953550a34b97283e4c6a6f100abdab0ec2ca84,0,False,0.6107999682,0.6093999743,0.6065999866,0.6601730585,0.6586433053,0.650313139,-0.6521525383,-0.6526067257,-0.6570191979
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,1,10201,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,8422232ada90279761930c590abdd4219e0f1ab99380b2a7a57d28c50e9b8848,170fed31373410cde9ff664415b94293dd56d3d068c245ea556eb3aed683b502,0,False,0.6220999956,0.6103999615,0.6130999923,0.67198807,0.6545664072,0.6548469067,-0.6457543969,-0.655559659,-0.6555856466
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,2,10202,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,5d34653ecaf7279557c2ef41405ae7624971e470faab11b84e808040ccec5f2b,b55668ce14dde7f2a2833451524c88f3eb97bf0de2e2170e8ecb3e888eb2ca38,0,False,0.6143999696,0.6117999554,0.6161999702,0.6639114022,0.6549850106,0.656226933,-0.6496126056,-0.6551901102,-0.6553223729
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,3,10203,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,0c060a0c2568f91133f67f3a81b1ed9033063b910a8e848ff58ed280f82d9dd0,262bbe94463d6a6b5e8e8ce30023407fdef45649af53359df7a6f1fbb8626e1e,0,False,0.621999979,0.6137999892,0.6110999584,0.6651323438,0.6597002149,0.6515281796,-0.6499889493,-0.6535267234,-0.6569716334
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,4,10204,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,584da76606ef49d542d6973f6966e64924f8b2ae9c6a4afa055b8478001676a4,b526bb40cbc6215c768474ab58fb69c752680ccfafdafdda4bc5d5c731e66add,0,False,0.6255999804,0.6119999886,0.6007999778,0.6695988774,0.6537039876,0.6442609429,-0.6484431624,-0.6558999419,-0.6603421569
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,5,10205,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,188c7fbcfc1512f93352468c8ff5b9b08f2f21bae62d5a561429c1d60966fbec,e0ccdf4078fd9f2e9154de51dd1efc2ab6af1c52c3a8b4d88e84ad563d618431,0,False,0.611199975,0.6006000042,0.6085999608,0.6593438983,0.6433423758,0.654440403,-0.6528839469,-0.6603383422,-0.6554926038
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,6,10206,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,c9427d312262a52ca658698d7aab9d66b81ec2dab32ecb6b87624c556424ba72,dd63faa8092a8c56025a8258a7c2d801d2c3ada5e282018b7dc8d084f870b0b8,0,False,0.6096000075,0.6100000143,0.6096000075,0.6567751169,0.6517148614,0.6537941694,-0.6534636617,-0.65651685,-0.6552648544
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,7,10207,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,9a1603893d4a6be6811c26993953244713754eb92d2eeb765dbf9790866e40bb,652d5c3945a6762d892e7f5c7797694421519f9cd6908963b1b86473b3da9c5d,0,False,0.6204999685,0.6161999702,0.6092000008,0.6615561247,0.6595342159,0.6488029361,-0.651491642,-0.6520333886,-0.6587904692
new_control,aligned_soma_broadcast_bp,point_dendrite_credit_runs/journal_point_credit_aligned_soma_broadcast_bp_20260813003556,8,10208,aligned,serial_tree,soma_broadcast_bp,1,1,8,66178,66178,14336,21760,2944,be96ae689942428a634e1635ddc167ef3067ad0573ca10bf7d59ea58a48deaa6,57b172f4bea6c3c3b59eb9d646ca98e835e9e1cd120f91ce1ee7ac0a3cc89d45,0,False,0.6166999936,0.6117999554,0.6168999672,0.6662791967,0.6501182318,0.6567456126,-0.6488423944,-0.6586652398,-0.6546445489
