seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10207,1,7,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,61.94007837,45.12323842,6.101138592,8.919522285,57.02331543,150.0371361,366.8555908,65536
10207,1,7,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.03642341302,0.03756433831,0.002725868253,0.006665016408,0.01753668673,0.1121136285,0.1639038324,65536
10207,1,7,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10207,1,7,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240321043,0.004893146753,0.1155381426,0.1180889308,0.1240221262,0.1347952783,0.1383400559,65536
10207,1,7,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3630239677,0.08834061942,0.1962202638,0.2377492242,0.339473933,0.4666521609,0.4829772115,8192
10207,1,7,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.1462774,0.1376004927,129.004776,129.0052032,129.2219772,129.3242798,129.3722382,8192
10207,1,7,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007743166585,8.249521388e-06,0.007729633711,0.007732499857,0.007738621905,0.007751625497,0.007751651108,8192
10207,1,7,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10207,1,7,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10208,1,8,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3839648846,0.359969317,0.0002391232265,0.003728969255,0.3074722737,0.9485640079,0.974193275,65536
10208,1,8,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,64.07525654,55.46522063,4.718774796,7.825496316,52.24226761,177.4653091,396.8206482,65536
10208,1,8,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.04061443629,0.04246679962,0.002520030132,0.005634904024,0.01914158836,0.1277874224,0.211919412,65536
10208,1,8,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10208,1,8,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240314496,0.002182168949,0.1194956303,0.1216571704,0.1233576238,0.1286306381,0.1316735446,65536
10208,1,8,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3814592409,0.08871053293,0.2143055499,0.2552314386,0.3589178622,0.4800852492,0.4876612127,8192
10208,1,8,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.0588799,0.05881317993,128.9974365,128.9987946,129.0775986,129.1439819,129.1544952,8192
10208,1,8,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007748402975,3.530748955e-06,0.007742665242,0.007743295282,0.007747277617,0.007752010599,0.00775209209,8192
10208,1,8,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10208,1,8,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10209,1,9,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3857326022,0.3489371223,0.0001038732808,0.001186969021,0.300876677,0.9389279187,0.9705374241,65536
10209,1,9,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,62.06075965,48.76236919,5.686070442,8.625073195,57.91446686,160.8265686,286.1508179,65536
10209,1,9,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.03893675101,0.03934432853,0.003494660603,0.006217878079,0.01726684254,0.1159410439,0.1758683771,65536
10209,1,9,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10209,1,9,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240321696,0.00539027918,0.1153465882,0.1172471717,0.1240354255,0.1356561929,0.1390591413,65536
10209,1,9,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3790073447,0.0786271523,0.2164289802,0.2672075555,0.3561962843,0.4738260806,0.4858186245,8192
10209,1,9,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.154911,0.1383458528,129.0046234,129.006897,129.2134018,129.3566589,129.3713226,8192
10209,1,9,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007742649024,8.293415952e-06,0.007729688194,0.007730564568,0.007739135297,0.007751523517,0.007751659956,8192
10209,1,9,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
