cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
pinky,648518346349531254,8,common + ancestry,0.9457859287217064,0.9158570369704064,8.0,21.0,0.21875,1.0,0.5900949633254216
pinky,648518346349531254,8,common + depth bins,0.7893594727255873,0.6730753164062517,8.0,22.0,0.2291666666666666,1.0,0.4336685073293024
pinky,648518346349531254,8,common + random routes,0.8525996729723028,0.7712272851825577,6.84,20.295,0.21140624999999996,1.0,0.496908707576018
pinky,648518346349531254,8,common + shuffled routes,0.7392703748695036,0.5953345194191493,7.05,21.0,0.21875,1.0,0.38357940947321884
pinky,648518346349531254,8,common + surrogate ancestry,0.8886180770905056,0.8271296583975412,7.34,24.385,0.2540104166666666,1.0,0.5329271116942206
pinky,648518346349531254,8,common-constrained SVD,0.9933568467116686,0.989689492259848,8.0,96.0,1.0,1.0,0.6376658813153837
pinky,648518346349538278,1,common + ancestry,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,1,common + depth bins,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,1,common + random routes,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,1,common + shuffled routes,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,1,common + surrogate ancestry,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,1,common-constrained SVD,0.2619226857025734,6.0726740540406746e-33,1.0,11.0,1.0,1.0,0.0
pinky,648518346349538278,2,common + ancestry,0.4185828130472007,0.2122543591435967,2.0,12.0,0.5454545454545454,1.0,0.1566601273446273
pinky,648518346349538278,2,common + depth bins,0.3562454012996278,0.1277951696521655,2.0,16.0,0.7272727272727273,1.0,0.0943227155970543
pinky,648518346349538278,2,common + random routes,0.3209096485768981,0.07991976142834596,1.385,11.415,0.5188636363636363,1.0,0.05898696287432463
pinky,648518346349538278,2,common + shuffled routes,0.34238891988301157,0.10902141634990326,2.0,12.0,0.5454545454545454,1.0,0.08046623418043813
pinky,648518346349538278,2,common + surrogate ancestry,0.4169655221130883,0.21006313756994366,2.0,12.08,0.5490909090909091,1.0,0.1550428364105149
pinky,648518346349538278,2,common-constrained SVD,0.5219953545042646,0.352365075804089,2.0,22.0,1.0,1.0,0.2600726688016911
pinky,648518346349538278,4,common + ancestry,0.7372002980459166,0.643940144394979,4.0,14.0,0.3181818181818182,1.0,0.4752776123433431
pinky,648518346349538278,4,common + depth bins,0.4591774950138849,0.2672549413052719,4.0,19.0,0.4318181818181818,1.0,0.1972548093113115
pinky,648518346349538278,4,common + random routes,0.45434306250471934,0.26070490594242185,2.24,12.455,0.2830681818181818,1.0,0.1924203768021459
pinky,648518346349538278,4,common + shuffled routes,0.46701293736299315,0.27787095970514203,3.705,14.0,0.3181818181818182,1.0,0.2050902516604197
pinky,648518346349538278,4,common + surrogate ancestry,0.5848340829699706,0.4375034850851302,3.7,15.65,0.35568181818181815,1.0,0.32291139726739715
pinky,648518346349538278,4,common-constrained SVD,0.884943090023981,0.8441126590030187,4.0,44.0,1.0,1.0,0.6230204043214076
pinky,648518346349538278,8,common + ancestry,0.980421293071006,0.9734733657982282,6.0,19.0,0.2159090909090909,1.0,0.7184986073684325
pinky,648518346349538278,8,common + depth bins,0.7293392855151405,0.6332894816818742,8.0,20.0,0.2272727272727272,1.0,0.467416599812567
pinky,648518346349538278,8,common + random routes,0.6461394210800648,0.5205643473044907,3.575,14.115,0.16039772727272722,1.0,0.38421673537749135
pinky,648518346349538278,8,common + shuffled routes,0.6892009272924604,0.5789071596064589,6.52,19.0,0.2159090909090909,1.0,0.42727824158988686
pinky,648518346349538278,8,common + surrogate ancestry,0.8159838062167983,0.7506816830451345,6.325,19.98,0.2270454545454545,1.0,0.554061120514225
