cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135277186789,1507,1.0,matched additive,descendant,22,0.0023228958873122815,0.0038732809017046816,0.0029460189429945556,0.0023228958873122815,0.0
original_eight,Ra150_Rm300,864691135277186789,1507,1.0,matched additive,depth-matched unrelated,22,0.00018802737565725404,0.0001520489024940492,0.00018802737565725404,0.00018802737565725404,0.0
original_eight,Ra150_Rm300,864691135277186789,1507,1.0,focal shunt,descendant,22,0.03731880172296491,0.03582560632226028,0.03671881410265593,-0.03731880172296491,0.0
original_eight,Ra150_Rm300,864691135277186789,1507,1.0,focal shunt,depth-matched unrelated,22,0.002792219253083439,0.0025729219783712943,0.002792219253083439,-0.002792219253083439,0.0
original_eight,Ra150_Rm300,864691135277186789,1558,1.0,matched additive,descendant,11,0.041268204459634916,0.050232429790426456,0.02500314782558413,0.041268204459634916,0.0
original_eight,Ra150_Rm300,864691135277186789,1558,1.0,matched additive,depth-matched unrelated,11,0.0018623242767026205,0.0019038253990440396,0.0018623242767026205,0.0018623242767026205,0.0
original_eight,Ra150_Rm300,864691135277186789,1558,1.0,focal shunt,descendant,11,0.17655797686429517,0.16916882301957223,0.1898240544261589,-0.17655797686429517,0.0
original_eight,Ra150_Rm300,864691135277186789,1558,1.0,focal shunt,depth-matched unrelated,11,0.0018045669945290482,0.001770913534678637,0.0018045669945290482,-0.0018045669945290482,0.0
original_eight,Ra150_Rm300,864691135277186789,1573,1.0,matched additive,descendant,5,0.042739353796481014,0.04007242084267441,0.042739353796481014,0.042739353796481014,0.0
original_eight,Ra150_Rm300,864691135277186789,1573,1.0,matched additive,depth-matched unrelated,5,0.0010798831600428943,0.0008911937477202468,0.0007392562290932573,0.0010798831600428943,0.0
original_eight,Ra150_Rm300,864691135277186789,1573,1.0,focal shunt,descendant,5,0.09843698993279582,0.10076085619050576,0.09843698993279582,-0.09843698993279582,0.0
original_eight,Ra150_Rm300,864691135277186789,1573,1.0,focal shunt,depth-matched unrelated,5,0.003171073190095744,0.002622682782439251,0.003171073190095744,-0.003171073190095744,0.0
original_eight,Ra150_Rm300,864691135277186789,1584,1.0,matched additive,descendant,3,0.07824158908427742,0.07118287060120511,0.02982210320389192,0.07824158908427742,0.0
original_eight,Ra150_Rm300,864691135277186789,1584,1.0,matched additive,depth-matched unrelated,3,0.0009160236374360239,0.0033409740855530994,0.0006270666175137929,0.0009160236374360239,0.0
original_eight,Ra150_Rm300,864691135277186789,1584,1.0,focal shunt,descendant,3,0.14664251653380328,0.15236852718790303,0.1862667375278414,-0.14664251653380328,0.0
original_eight,Ra150_Rm300,864691135277186789,1584,1.0,focal shunt,depth-matched unrelated,3,0.0016661288965582818,0.00432283247263436,0.0016661288965582818,-0.0016661288965582818,0.0
original_eight,Ra150_Rm300,864691135277186789,1647,1.0,matched additive,descendant,3,0.050016457052445146,0.09114762332052351,0.050016457052445146,0.050016457052445146,0.0
