panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,exact path,training updates,,test NMSE,0.023061664016729867,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15104.0,0.022728871794287005,0.023421006644461183,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.0231565802456633,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15360.0,0.02288128000709354,0.023451205313660774,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023286913264955623,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15616.0,0.022962124975100796,0.023639430099660946,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023223754872571143,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,15872.0,0.022879438337029476,0.023610880202269192,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023157322992968785,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,16128.0,0.022852091744715017,0.02348658900461533,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023209755136366896,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,16384.0,0.022879088826144398,0.023574043168487088,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,1.1229050440439354,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,64.0,1.006867851328803,1.2594717883110582,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.6541539470356719,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,256.0,0.5317788305293455,0.7807643124292409,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.2412845902201389,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,512.0,0.16019548401993614,0.3324349701778319,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02516421404129258,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1024.0,0.023464036479965023,0.027113295361012885,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02303814366260903,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1280.0,0.022761878237638443,0.0233269431847312,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022821353639837488,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1536.0,0.02255680660131656,0.023111742324039383,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02283049132510835,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,1792.0,0.022579864119031238,0.023107119748405937,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022866259766001883,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,2048.0,0.02260961657782069,0.02314836434403028,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02282650485741676,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,2304.0,0.02254430541540046,0.023132206156374242,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022838212359829545,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,2560.0,0.022551569365746985,0.02315501017189246,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022855757697804444,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,2816.0,0.022558153297144543,0.023184224677356185,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023023959749523,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,3072.0,0.022766461636731634,0.023302138537397547,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023033287440466337,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,3328.0,0.022746643647775105,0.023333695605934096,,,,,,,
