panel,noise_variance,rank,captured_energy,twice_L_times_bound,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,record_type,checkpoint,coordinate,basis,cohort,seed,checkpoint_sha256,forward_max_difference,n_fields,mean_capture,ensemble_energy_capture,task,source,label,mean_pp,low_pp,high_pp,n_seeds,source_table,source_contrast
C,1.81,1.0,0.8,0.24521072796934867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.82,1.0,0.8,0.2442748091603054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.83,1.0,0.8,0.2433460076045628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.84,1.0,0.8,0.24242424242424246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.85,1.0,0.8,0.24150943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.86,1.0,0.8,0.24060150375939854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.87,1.0,0.8,0.23970037453183526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.8800000000000001,1.0,0.8,0.23880597014925375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.8900000000000001,1.0,0.8,0.23791821561338292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.9000000000000001,1.0,0.8,0.23703703703703707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.9100000000000001,1.0,0.8,0.23616236162361628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.92,1.0,0.8,0.2352941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.93,1.0,0.8,0.2344322344322345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.94,1.0,0.8,0.23357664233576644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.95,1.0,0.8,0.23272727272727278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.96,1.0,0.8,0.23188405797101455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.97,1.0,0.8,0.23104693140794227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.98,1.0,0.8,0.2302158273381295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.99,1.0,0.8,0.22939068100358428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,2.0,1.0,0.8,0.22857142857142862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.01,2.0,1.0,0.9803921568627451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.02,2.0,1.0,0.9615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.03,2.0,1.0,0.9433962264150942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.04,2.0,1.0,0.9259259259259258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.05,2.0,1.0,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.06,2.0,1.0,0.8928571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.07,2.0,1.0,0.8771929824561403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.08,2.0,1.0,0.8620689655172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.09,2.0,1.0,0.8474576271186441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.1,2.0,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.11,2.0,1.0,0.819672131147541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.12,2.0,1.0,0.8064516129032259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.13,2.0,1.0,0.7936507936507936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.14,2.0,1.0,0.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.15,2.0,1.0,0.7692307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.16,2.0,1.0,0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.17,2.0,1.0,0.7462686567164178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.18,2.0,1.0,0.7352941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.19,2.0,1.0,0.7246376811594204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.2,2.0,1.0,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.21,2.0,1.0,0.7042253521126761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.22,2.0,1.0,0.6944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.23,2.0,1.0,0.684931506849315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.24,2.0,1.0,0.6756756756756757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.25,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.26,2.0,1.0,0.6578947368421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.27,2.0,1.0,0.6493506493506493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
