hierarchy,regime,architecture,mechanism,credit,depth,seed,train_accuracy_clean,valid_accuracy_clean,test_accuracy_clean,train_accuracy_historical,valid_accuracy_historical,test_accuracy_historical,_merge,train_accuracy_difference,train_accuracy_absolute_difference,valid_accuracy_difference,valid_accuracy_absolute_difference,test_accuracy_difference,test_accuracy_absolute_difference
3,rewired_tree,grouped_point,shunting,full_bp,2,10200,0.6139000058174133,0.611299991607666,0.6085999608039856,0.6132000088691711,0.6114999651908875,0.6085000038146973,both,0.0006999969482421875,0.0006999969482421875,-0.00019997358322143555,0.00019997358322143555,9.995698928833008e-05,9.995698928833008e-05
3,rewired_tree,grouped_point,shunting,full_bp,2,10201,0.6234999895095825,0.6118999719619751,0.6155999898910522,0.6234999895095825,0.6118999719619751,0.6155999898910522,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,2,10202,0.6166999936103821,0.6126999855041504,0.6168000102043152,0.6166999936103821,0.6126999855041504,0.6168000102043152,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,2,10203,0.6247000098228455,0.6202999949455261,0.613599956035614,0.6245999932289124,0.6159999966621399,0.6121999621391296,both,0.00010001659393310547,0.00010001659393310547,0.0042999982833862305,0.0042999982833862305,0.001399993896484375,0.001399993896484375
3,rewired_tree,grouped_point,shunting,full_bp,2,10204,0.6265999674797058,0.6126999855041504,0.6010000109672546,0.6269999742507935,0.612500011920929,0.6011999845504761,both,-0.0004000067710876465,0.0004000067710876465,0.00019997358322143555,0.00019997358322143555,-0.00019997358322143555,0.00019997358322143555
3,rewired_tree,grouped_point,shunting,full_bp,2,10205,0.6152999997138977,0.6050999760627747,0.6126999855041504,0.6157000064849854,0.6046000123023987,0.6122999787330627,both,-0.0004000067710876465,0.0004000067710876465,0.0004999637603759766,0.0004999637603759766,0.0004000067710876465,0.0004000067710876465
3,rewired_tree,grouped_point,shunting,full_bp,2,10206,0.6123999953269958,0.6115999817848206,0.6116999983787537,0.6132000088691711,0.6118999719619751,0.611299991607666,both,-0.000800013542175293,0.000800013542175293,-0.000299990177154541,0.000299990177154541,0.0004000067710876465,0.0004000067710876465
3,rewired_tree,grouped_point,shunting,full_bp,2,10207,0.6240999698638916,0.617900013923645,0.6101999878883362,0.6238999962806702,0.6186999678611755,0.6098999977111816,both,0.00019997358322143555,0.00019997358322143555,-0.0007999539375305176,0.0007999539375305176,0.000299990177154541,0.000299990177154541
3,rewired_tree,grouped_point,shunting,full_bp,2,10208,0.6176999807357788,0.6110999584197998,0.6146999597549438,0.6180999875068665,0.6110999584197998,0.6150000095367432,both,-0.0004000067710876465,0.0004000067710876465,0.0,0.0,-0.0003000497817993164,0.0003000497817993164
3,rewired_tree,grouped_point,shunting,full_bp,2,10209,0.6195999979972839,0.614799976348877,0.6061999797821045,0.6200000047683716,0.6155999898910522,0.6062999963760376,both,-0.0004000067710876465,0.0004000067710876465,-0.000800013542175293,0.000800013542175293,-0.00010001659393310547,0.00010001659393310547
3,rewired_tree,grouped_point,shunting,full_bp,3,10200,0.613599956035614,0.6114000082015991,0.6087999939918518,0.614300012588501,0.6115999817848206,0.6089000105857849,both,-0.0007000565528869629,0.0007000565528869629,-0.00019997358322143555,0.00019997358322143555,-0.00010001659393310547,0.00010001659393310547
3,rewired_tree,grouped_point,shunting,full_bp,3,10201,0.6233999729156494,0.6121000051498413,0.6148999929428101,0.6234999895095825,0.612500011920929,0.6152999997138977,both,-0.00010001659393310547,0.00010001659393310547,-0.0004000067710876465,0.0004000067710876465,-0.0004000067710876465,0.0004000067710876465
