cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,path_q,6,0.3371797647192852,1.6797223608529128,3,4,0.7550927166290868
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,loss_credit,6,0.2161106067251868,1.7328754295159376,3,4,0.7403904069259134
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_jacobian_nonroot,24,1.5583904357783482,8.28620885271823,11,13,0.22319392733652227
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_gradient_nonroot,24,0.9389271583983082,6.741569066975889,11,13,0.2926418938659137
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,sign_broadcast,False,path_q,6,0.3495377162190831,1.677248513137978,3,4,0.755768235979201
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,sign_broadcast,False,loss_credit,6,0.2221759187034861,1.7188863986994196,3,4,0.7442320506243321
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_jacobian_nonroot,24,1.6146338871628125,8.218279926689112,11,13,0.22179662416908735
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_gradient_nonroot,24,0.9609439385123798,6.762031136409059,11,13,0.29111301316672733
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,sign_broadcast,True,path_q,6,0.337179756721291,1.6797223629196427,3,4,0.7550927160035771
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,sign_broadcast,True,loss_credit,6,0.2161106055556554,1.7328754163619224,3,4,0.7403904103480982
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,sign_broadcast,True,parameter_jacobian_nonroot,24,1.5583903817702107,8.286208881670204,11,13,0.22319392785558978
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,sign_broadcast,True,parameter_gradient_nonroot,24,0.9389271370322643,6.741568931183438,11,13,0.2926419008037586
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,exact,True,path_q,6,0.5798209691744651,1.5711717283633242,3,4,0.7825480486252955
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,exact,True,loss_credit,6,0.26514369613378164,1.90036417675473,3,4,0.6899544086419365
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,exact,True,parameter_jacobian_nonroot,24,2.6608564129587595,8.52977768041656,12,13,0.23036209461817964
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,exact,True,parameter_gradient_nonroot,24,1.1642107120629672,7.819202250311624,11,13,0.21840012382340435
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,path_q,6,0.4290311313689222,1.759760331872828,3,4,0.7308797556265338
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,loss_credit,6,0.2643180334743105,1.9601735710609651,3,4,0.6783411057342212
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,parameter_jacobian_nonroot,24,1.9830839526181174,8.474029631592307,11,13,0.22106030130465096
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,parameter_gradient_nonroot,24,1.1638986913764902,7.304324092500225,11,13,0.24358036173041395
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,path_q,6,0.5638217458523711,1.9247630290276145,3,4,0.6732684435452796
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,loss_credit,6,0.3963632635759178,2.1870786270030176,3,4,0.5946258161441519
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,parameter_jacobian_nonroot,24,2.6174895186719422,8.40675979728994,11,14,0.21237755589705534
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,parameter_gradient_nonroot,24,1.814450836410793,7.115084593962106,11,14,0.253837473074223
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,path_q,6,0.5612651589157666,1.62013971962894,3,4,0.7682213403798596
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,loss_credit,6,0.2713438169947545,1.9782118247438496,3,4,0.6707127453146472
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,parameter_jacobian_nonroot,24,2.596551743122621,8.64255273131825,12,13,0.2242324785587824
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,parameter_gradient_nonroot,24,1.2125904558637135,7.636425017633271,11,13,0.22850864083361544
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,path_q,6,0.4702512652900947,1.641671250672227,3,4,0.7655058243805412
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,loss_credit,6,0.22882602621084047,1.951421439515766,3,4,0.6841319617942294
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,parameter_jacobian_nonroot,24,2.2441972166001634,8.487352968467876,11,13,0.22369670941120356
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,parameter_gradient_nonroot,24,1.0093649346134295,7.4025305459135335,11,13,0.23805997322333797
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,path_q,6,0.5896736494722622,1.4584660249834391,3,4,0.8181978782468274
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,loss_credit,6,0.19621917925925195,1.8334539879045437,3,4,0.7066190991327188
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,parameter_jacobian_nonroot,24,2.9883702869948037,8.899477190383614,12,14,0.2132118050524169
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,parameter_gradient_nonroot,24,0.9511050638490828,7.538214559316829,11,14,0.22563629559071854
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,exact,True,path_q,6,0.47082138645357385,1.5340915500007202,3,4,0.7956803714958758
