optimizer,rule,step,dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds,status
adam,broadcast,0,uniform_projection,eligibility_weighted_update_fidelity,quartet_minus_matching,-0.022310050575831783,-0.07766361074299631,0.03072064453744627,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,population_gradient_cosine_nonroot,quartet_minus_matching,0.21087695826389824,0.0777290865086301,0.3343948756120002,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,population_gradient_cosine_full,quartet_minus_matching,-0.04285965607087915,-0.13912599917799046,0.056323278114252785,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,uniform_projection,population_nmse,quartet_minus_matching,0.30945669375190377,-0.16178274055510275,0.8792716223165881,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,field_energy_fidelity,quartet_minus_matching,2.9266821335865765,-2.6637934339038987,8.793333991137445,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,mean_per_example_fidelity,quartet_minus_matching,27.949022661707847,-23.90100036071732,90.63618035894592,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,error_weighted_energy_fidelity,quartet_minus_matching,2.7702468585874596,-2.819187183298649,8.823855437860974,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,eligibility_weighted_update_fidelity,quartet_minus_matching,1.2673455905757744,-5.481444629368169,8.46852331143445,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,population_gradient_cosine_nonroot,quartet_minus_matching,-0.06790534600500794,-0.26018192459126704,0.12540823580011612,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,population_gradient_cosine_full,quartet_minus_matching,-0.019256873388331208,-0.1816450671546862,0.15285967620259594,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,unit_broadcast_fixed,population_nmse,quartet_minus_matching,0.30945669375190377,-0.16509019746960626,0.8923328439368893,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,field_energy_fidelity,quartet_minus_matching,0.0710917359850943,-0.025226509530156982,0.17281075011108063,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,mean_per_example_fidelity,quartet_minus_matching,0.075088510013359,-0.02356167289659789,0.17943265485059715,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,error_weighted_energy_fidelity,quartet_minus_matching,0.07299711120786136,-0.030525377463238332,0.18672256681134522,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,eligibility_weighted_update_fidelity,quartet_minus_matching,0.0818858624317212,-0.038133870196892704,0.2070276965632259,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,population_gradient_cosine_nonroot,quartet_minus_matching,0.3238441337236253,0.17124475765399835,0.47404601558708387,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,population_gradient_cosine_full,quartet_minus_matching,0.08146719484352759,0.0034767418284070233,0.16662447749828427,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K2,population_nmse,quartet_minus_matching,0.307320891387329,-0.1557906140672416,0.8761418933582519,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,field_energy_fidelity,quartet_minus_matching,0.02547382140086276,-0.0820104116556621,0.1338331468045755,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,mean_per_example_fidelity,quartet_minus_matching,0.03544197929593436,-0.06930058644685354,0.13991524485300166,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,error_weighted_energy_fidelity,quartet_minus_matching,0.028051550497479448,-0.0883286862891685,0.14298551933485218,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,eligibility_weighted_update_fidelity,quartet_minus_matching,0.025581540665471254,-0.092459864322355,0.14742594047920402,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,population_gradient_cosine_nonroot,quartet_minus_matching,0.18131857185100458,0.06366535113441975,0.30499556661757743,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,population_gradient_cosine_full,quartet_minus_matching,0.04308647060839394,-0.017159852024807954,0.10937763518621772,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K3,population_nmse,quartet_minus_matching,0.307320891387329,-0.1598946632292487,0.8801598667354219,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,field_energy_fidelity,quartet_minus_matching,0.052404416239147954,-0.08536215042069868,0.18631179793680094,20,posthoc descriptive; no multiplicity adjustment
