candidate_id,shape,restart,fit_seed,validation_mse,test_nmse,noisy_test_mse,exact_population_nmse,status,fit_seconds,training_curve,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,selected_by_validation,seed,family,family_index,oracle_cut_candidate,parameters,edges
balanced_p3,balanced,0,82091310,0.4346017092684619,0.35004740152251,0.44146442283633913,0.35071708048036854,completed,0.08886535000056028,"{""0"": 1.0436808027709512, ""2"": 0.9547095346824096, ""8"": 0.37546211586191536, ""32"": 0.37545065744409156}",0,4,2.597024126787366,3.68206856079107,True,820913,quartet,1,mixed_p2,28,14
balanced_p3,balanced,1,82091311,0.7636809220105333,0.666544480967322,0.7537348987322623,0.6647188447055674,completed,0.08789681294001639,"{""0"": 1.0002692179536947, ""2"": 0.732736398098334, ""8"": 0.7119046427882285, ""32"": 0.7119035222167343}",0,4,2.513092180538184,11.960056507982442,False,820913,quartet,1,mixed_p2,28,14
comb_p0,comb,0,82091310,0.7764701529150829,0.6703494179468098,0.7581222802581684,0.6704837829177401,completed,0.08886566292494535,"{""0"": 1.2788809792403248, ""2"": 0.9719810032478897, ""8"": 0.7060931117742092, ""32"": 0.7060930730874371}",0,4,2.5137125877721056,19.549788189492727,False,820913,quartet,1,mixed_p2,28,14
comb_p0,comb,1,82091311,0.43419414335211537,0.3479002824680444,0.4388278134533553,0.34777041937121456,completed,0.08809799398295581,"{""0"": 1.1618729535675734, ""2"": 0.38495135418215637, ""8"": 0.37764771888383925, ""32"": 0.37764771888189513}",0,4,2.58128209506781,51.903809052080646,True,820913,quartet,1,mixed_p2,28,14
comb_p1,comb,0,82091310,0.43094529515782454,0.34832944318766557,0.4395898761901806,0.3480468341582522,completed,0.08829671808052808,"{""0"": 1.303044395190907, ""2"": 0.3782868483458903, ""8"": 0.37727838956113713, ""32"": 0.37727838873145453}",0,4,2.5827313556212266,35.42794585363485,True,820913,quartet,1,mixed_p2,28,14
comb_p1,comb,1,82091311,0.4309452951596858,0.34832944318751363,0.43958987618982126,0.3480468341583835,completed,0.0880212610354647,"{""0"": 1.1539618478339981, ""2"": 0.4279219751834294, ""8"": 0.3772784180362216, ""32"": 0.3772783887314546}",0,4,2.5827313556192313,36.656027080307865,False,820913,quartet,1,mixed_p2,28,14
comb_p2,comb,0,82091310,0.76551584424779,0.664710175842917,0.7518895654261786,0.6637622053416765,completed,0.08852110803127289,"{""0"": 1.244515811485714, ""2"": 0.7448659429443917, ""8"": 0.7130262010569997, ""32"": 0.71302620082311}",0,4,2.512494791674385,16.69748175163866,False,820913,quartet,1,mixed_p2,28,14
comb_p2,comb,1,82091311,0.4366468757739161,0.35096656536572596,0.44221965098618204,0.3505788331990124,completed,0.08929809799883515,"{""0"": 1.1203054447603293, ""2"": 0.3774872589509532, ""8"": 0.3753522708245061, ""32"": 0.37535227081306966}",0,4,2.581556946315675,62.934476211089326,True,820913,quartet,1,mixed_p2,28,14
comb_p3,comb,0,82091310,0.432697967040431,0.34857591433474444,0.44028284713805566,0.34912982098507195,completed,0.09095155296381563,"{""0"": 1.258234253676127, ""2"": 0.37667837633848034, ""8"": 0.3764079682258302, ""32"": 0.37640796822562816}",0,4,2.5834851496600564,39.079004504998544,False,820913,quartet,1,mixed_p2,28,14
comb_p3,comb,1,82091311,0.43269796704043095,0.3485759143347444,0.44028284713805566,0.3491298209850719,completed,0.08911226398777217,"{""0"": 1.1583472605630667, ""2"": 0.40746178476781797, ""8"": 0.37640796825642503, ""32"": 0.37640796822562816}",0,4,2.5834851496600555,34.51265498032967,True,820913,quartet,1,mixed_p2,28,14
mixed_p0,mixed,0,82091310,0.43316317909730817,0.3504471435997613,0.4416115637404894,0.349317907234987,completed,0.08952337806113064,"{""0"": 1.043052558628565, ""2"": 0.9828496543666773, ""8"": 0.9681242370816051, ""32"": 0.3761991660267296}",0,4,2.5874165070925645,8.401598585305226,True,820913,quartet,1,mixed_p2,28,14
