channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
2,random paths,0.9583586949470804,3.09375,864691135992368833,0.08362224583265092,
2,shuffled ancestry,0.9098432423569022,3.0,864691135992368833,0.11795043951018733,
2,depth-only bins,0.794555748079952,19.0,864691135992368833,,2.0
4,dense PCA oracle,0.2856138108126281,76.0,864691135992368833,,
4,morphology-aware paths,0.3423717917849103,6.0,864691135992368833,,
4,random paths,0.8671035842995921,4.140625,864691135992368833,0.15860955347969288,
4,shuffled ancestry,0.8468595039937905,6.0,864691135992368833,0.15121880606826563,
4,depth-only bins,0.6358520885455983,19.0,864691135992368833,,4.0
8,dense PCA oracle,0.11071399853077855,152.0,864691135992368833,,
8,morphology-aware paths,0.1452667449568972,11.0,864691135992368833,,
8,random paths,0.8126966294278906,10.0625,864691135992368833,0.1659567006242437,
8,shuffled ancestry,0.7141391284452574,11.0,864691135992368833,0.185928197071059,
8,depth-only bins,0.5920262359361236,19.0,864691135992368833,,8.0
16,dense PCA oracle,0.016241677442148838,304.0,864691135992368833,,
16,morphology-aware paths,0.07827815184894499,47.0,864691135992368833,,
16,random paths,0.6016903143816104,20.921875,864691135992368833,0.22209402979391563,
16,shuffled ancestry,0.35543001817746206,47.0,864691135992368833,0.12480195331059857,
16,depth-only bins,0.2144520990721346,19.0,864691135992368833,,16.0
1,dense PCA oracle,0.8320534360819966,19.0,864691135082534135,,
1,morphology-aware paths,0.8346848372309763,1.0,864691135082534135,,
1,random paths,0.9813574183560283,0.71875,864691135082534135,0.04252266002865671,
1,shuffled ancestry,0.9692160239537475,1.0,864691135082534135,0.052173775289987206,
1,depth-only bins,0.966940964013072,19.0,864691135082534135,,1.0
2,dense PCA oracle,0.6397191461040258,38.0,864691135082534135,,
2,morphology-aware paths,0.6440731544513908,2.0,864691135082534135,,
2,random paths,0.9753524002352638,1.34375,864691135082534135,0.047398373814779904,
2,shuffled ancestry,0.9469107254781419,2.0,864691135082534135,0.07998061233509678,
2,depth-only bins,0.931094936298327,19.0,864691135082534135,,2.0
4,dense PCA oracle,0.43895889917552694,76.0,864691135082534135,,
4,morphology-aware paths,0.5128899958567442,4.0,864691135082534135,,
4,random paths,0.9428054460512277,2.671875,864691135082534135,0.07107581238442437,
4,shuffled ancestry,0.9077977037635457,4.0,864691135082534135,0.08629896499736212,
4,depth-only bins,0.8412570568204084,19.0,864691135082534135,,4.0
8,dense PCA oracle,0.20217193126153166,152.0,864691135082534135,,
8,morphology-aware paths,0.25666414809183363,10.0,864691135082534135,,
8,random paths,0.8841708641670486,5.015625,864691135082534135,0.11108226534527377,
8,shuffled ancestry,0.7993644618706486,10.0,864691135082534135,0.12759858824746864,
