run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues,family
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,39,mnist,dendritic_additive,local_ca,per_soma_shuffled,4,2x2x2x2,30,20,standard,shuffled,51,occupancy_quantile,253.0,0.9695999622344972,0.9694166779518129,45,0.105029683470726,180,6034186,230400,2462657536,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,0,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,42,analytical,231.0,0.968999981880188,0.9679166674613952,116,0.1128840820391972,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,1,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,43,analytical,188.0,0.967799961566925,0.9675832986831664,85,0.1132852515975634,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,2,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,44,analytical,186.0,0.9695000052452089,0.9702500104904176,99,0.1033156010905901,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,3,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,45,analytical,188.0,0.9686999917030334,0.972000002861023,95,0.1027741171916325,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,4,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,46,analytical,187.0,0.9697999954223632,0.969249963760376,105,0.105391153872013,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,5,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,47,analytical,187.0,0.967799961566925,0.9695000052452089,86,0.1027802922924359,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,6,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,48,analytical,188.0,0.9703999757766724,0.9695000052452089,96,0.105526030699412,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,7,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,49,analytical,187.0,0.9709999561309814,0.9698333144187928,106,0.0981358251969019,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_shunting_local3f_20260803232906,8,mnist,dendritic_shunting,local_ca,per_soma_shared,2,2x2,6,20,standard,correct,50,analytical,188.0,0.9714999794960022,0.969249963760376,99,0.1089868144989013,180,1208074,46080,922934784,1040187392,4842834,23,pass,,routing
