cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,broadcast_k1,262144,0.628727507393542,0.753892878599703
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,subtrees_k3,262144,0.6573405067019331,0.8026354333545401
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,voltage,broadcast_k1,262144,0.506687568326541,0.5383981200606197
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,voltage,subtrees_k3,262144,0.6326624032586919,0.6673266352012455
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,broadcast_k1,262144,0.5322902716219271,0.5322336844304939
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,subtrees_k3,262144,0.5323820372371653,0.5323273450333765
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,voltage,broadcast_k1,262144,0.5197230896904357,0.5198636544826009
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,voltage,subtrees_k3,262144,0.5201730555528759,0.5203115808600793
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,broadcast_k1,262144,0.6236052664869145,0.7366872186804816
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,exact_k12,262144,1.0,1.0
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,subtrees_k3,262144,0.6590123271289583,0.7965053760250782
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,voltage,broadcast_k1,262144,0.4791998443649846,0.5112862173140229
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,voltage,exact_k12,262144,1.0,1.0
