architecture,arm,multiplier,metric,mean,ci_low,ci_high,n,positive
additive,projected_k1,3.0,best_epoch,15.333333333333334,13.0,18.0,3,3
additive,strict_scalar,0.3,test_accuracy,0.8639333049456278,0.8197999596595764,0.8883000016212463,3,3
additive,strict_scalar,0.3,test_cross_entropy,0.42259161671002704,0.3929535150527954,0.47453299164772034,3,3
additive,strict_scalar,0.3,selection_validation_loss,0.42897595368491276,0.39039377037684125,0.48374340041478475,3,3
additive,strict_scalar,0.3,best_epoch,125.0,91.0,146.0,3,3
additive,strict_scalar,1.0,test_accuracy,0.8908666372299194,0.8883999586105347,0.8931999802589417,3,3
additive,strict_scalar,1.0,test_cross_entropy,0.38444624344507855,0.3753546178340912,0.3896755874156952,3,3
additive,strict_scalar,1.0,selection_validation_loss,0.37978966871897374,0.3736481932799021,0.3906759850184123,3,3
additive,strict_scalar,1.0,best_epoch,70.66666666666667,48.0,91.0,3,3
additive,strict_scalar,3.0,test_accuracy,0.8981333176294962,0.8950999975204468,0.9030999541282654,3,3
additive,strict_scalar,3.0,test_cross_entropy,0.36756254235903424,0.35340815782546997,0.3771752417087555,3,3
additive,strict_scalar,3.0,selection_validation_loss,0.3601477671199375,0.3466359463532765,0.3785266971588135,3,3
additive,strict_scalar,3.0,best_epoch,38.0,29.0,47.0,3,3
additive,subtree_k3,0.3,test_accuracy,0.9729999701182047,0.9718999862670898,0.9739999771118164,3,3
additive,subtree_k3,0.3,test_cross_entropy,0.09171852717796962,0.08956879377365112,0.09284549206495285,3,3
additive,subtree_k3,0.3,selection_validation_loss,0.0932994136346711,0.08861436003446581,0.09940703900655111,3,3
additive,subtree_k3,0.3,best_epoch,60.0,57.0,64.0,3,3
additive,subtree_k3,1.0,test_accuracy,0.9739332993825277,0.9717999696731567,0.9753999710083008,3,3
additive,subtree_k3,1.0,test_cross_entropy,0.08887035151322682,0.08659829199314117,0.09123402088880539,3,3
additive,subtree_k3,1.0,selection_validation_loss,0.09368108032147089,0.08763384399811429,0.10091986793279646,3,3
additive,subtree_k3,1.0,best_epoch,24.333333333333332,24.0,25.0,3,3
additive,subtree_k3,3.0,test_accuracy,0.9736999670664469,0.9724999666213989,0.9749999642372131,3,3
additive,subtree_k3,3.0,test_cross_entropy,0.08776529630025227,0.08441048115491867,0.09040343016386032,3,3
additive,subtree_k3,3.0,selection_validation_loss,0.09096555354860093,0.08977296555042265,0.09159681989749273,3,3
additive,subtree_k3,3.0,best_epoch,11.666666666666666,10.0,14.0,3,3
shunting,decoder_only,0.3,test_accuracy,0.6677999893824259,0.6651999950408936,0.6715999841690063,3,3
shunting,decoder_only,0.3,test_cross_entropy,1.9154977401097615,1.9100987911224365,1.9184983968734741,3,3
shunting,decoder_only,0.3,selection_validation_loss,1.9189793259302776,1.9121905132929484,1.9235515451431275,3,3
shunting,decoder_only,0.3,best_epoch,180.0,180.0,180.0,3,3
shunting,decoder_only,1.0,test_accuracy,0.7448333104451498,0.7336999773979187,0.7646999955177307,3,3
shunting,decoder_only,1.0,test_cross_entropy,1.3969006935755413,1.3845551013946533,1.4036847352981567,3,3
shunting,decoder_only,1.0,selection_validation_loss,1.4041380065282187,1.3889495690663656,1.4138310416539508,3,3
shunting,decoder_only,1.0,best_epoch,180.0,180.0,180.0,3,3
shunting,decoder_only,3.0,test_accuracy,0.8063999613126119,0.8039999604225159,0.8107999563217163,3,3
shunting,decoder_only,3.0,test_cross_entropy,0.9060494502385458,0.8960052728652954,0.9129974246025085,3,3
shunting,decoder_only,3.0,selection_validation_loss,0.9155966355005901,0.9021340794563294,0.9227621243794758,3,3
shunting,decoder_only,3.0,best_epoch,180.0,180.0,180.0,3,3
shunting,exact_path,0.3,test_accuracy,0.971133311589559,0.9704999923706055,0.9714999794960022,3,3
shunting,exact_path,0.3,test_cross_entropy,0.09659268458684285,0.09402351081371307,0.10035952925682068,3,3
shunting,exact_path,0.3,selection_validation_loss,0.09775184186299642,0.09201476907730104,0.10309985792636871,3,3
shunting,exact_path,0.3,best_epoch,180.0,180.0,180.0,3,3
shunting,exact_path,1.0,test_accuracy,0.9714333017667135,0.9698999524116516,0.9722999930381775,3,3
shunting,exact_path,1.0,test_cross_entropy,0.0951283077398936,0.09272356331348419,0.09852223843336105,3,3
shunting,exact_path,1.0,selection_validation_loss,0.09432339021894666,0.08798052193721136,0.09892159152030945,3,3
shunting,exact_path,1.0,best_epoch,71.66666666666667,66.0,79.0,3,3
shunting,exact_path,3.0,test_accuracy,0.9721333185831705,0.97079998254776,0.9729999899864197,3,3
shunting,exact_path,3.0,test_cross_entropy,0.09615031878153484,0.0935438722372055,0.09991788119077682,3,3
