rate_policy,architecture,metric,contrast,seed,difference
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50301,-0.000599980354309082
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50302,0.000500023365020752
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50303,0.001699984073638916
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50304,-0.00020003318786621094
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50305,0.0
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50306,0.00010001659393310547
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50307,0.0009000301361083984
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50308,0.00010001659393310547
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,50309,0.0031999945640563965
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50300,0.001000046730041504
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50301,0.000500023365020752
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50302,-0.0009000301361083984
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50303,0.0009000301361083984
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50304,0.0006999969482421875
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50305,-0.00020003318786621094
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50306,0.00010001659393310547
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50307,-0.0009000301361083984
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50308,-0.00019997358322143555
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,50309,-0.0004000067710876465
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50300,-0.001100003719329834
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50301,-0.0020999908447265625
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50302,0.001300036907196045
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50303,-0.001100003719329834
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50304,0.0004000067710876465
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50305,0.000800013542175293
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50306,-0.0009999871253967285
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50307,-0.000800013542175293
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50308,9.995698928833008e-05
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,50309,-0.0015000104904174805
