seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11012,4,0,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,1,1,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,1,1,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.25,neuron_shared_k1,0.452246487141,0.813110351562,0.455416828394,0.799500048161,0.996682703495,0.993376433849,0.619924962521,0.625,0.5,1,4,200,1,4,0.4522464871,0.8131103516,0.4554168284,0.7995000482,0.9966827035,0.9933764338,0.6199249625,0.625,0.5,1,4,200,1,4,3.9447001221e-11,6.0638161159e-12
11012,4,0.25,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.625,0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.625,0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.25,within_neuron_deranged,3.20063638687,0.529174804688,3.10382008553,0.527999997139,0.983740210533,0.967744827271,0.476379960775,0.625,0.5,4,1,200,1,4,3.200636387,0.5291748047,3.103820086,0.5279999971,0.9837402105,0.9677448273,0.4763799608,0.625,0.5,4,1,200,1,4,3.89770438147e-11,4.74487116264e-10
11012,4,0.25,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.625,0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.625,0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.25,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.625,0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.625,0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.5,neuron_shared_k1,0.533033430576,0.799560546875,0.533268332481,0.79800003767,0.986379861832,0.972945213318,0.249792844057,0.25,0,1,4,200,1,4,0.5330334306,0.7995605469,0.5332683325,0.7980000377,0.9863798618,0.9729452133,0.2497928441,0.25,0,1,4,200,1,4,2.98645552732e-11,1.86157755877e-11
11012,4,0.5,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.25,0,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.25,0,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.5,within_neuron_deranged,1.08123970032,0.498657226562,1.07578313351,0.481500029564,0.0655672848225,0.00429906882346,0.00527859851718,0.25,0,4,1,200,1,4,1.0812397,0.4986572266,1.075783134,0.4815000296,0.06556728482,0.004299068823,0.005278598517,0.25,0,4,1,200,1,4,3.60961815993e-11,4.93225016385e-10
11012,4,0.5,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.25,0,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.25,0,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
