seed,branches,conflict_probability,epoch,condition,state_comparison,gradient_cosine,signed_signal_ratio,gradient_inner_product
11002,2,0.5,50,correct_path,common_exact_state,1,1,0.0272107701749
11002,2,0.5,50,within_neuron_deranged,own_state,-0.341383486986,-0.074258454144,-0.036928601563
11002,2,0.5,50,within_neuron_deranged,common_exact_state,-0.788529932499,-0.716670870781,-0.0195011664182
11002,2,0.5,50,backpropagation,own_state,1,1,0.0272107701749
11002,2,0.5,50,backpropagation,common_exact_state,1,1,0.0272107701749
11002,2,0.5,50,gated_point_emulation,own_state,1,1,0.0272107701749
11002,2,0.5,50,gated_point_emulation,common_exact_state,1,1,0.0272107701749
11002,2,0.5,100,neuron_shared_k1,own_state,0.887788712978,0.232300773263,0.011939490214
11002,2,0.5,100,neuron_shared_k1,common_exact_state,-0.185621067882,-0.13749371469,-0.00103681290057
11002,2,0.5,100,correct_path,own_state,1,1,0.00754080200568
11002,2,0.5,100,correct_path,common_exact_state,1,1,0.00754080200568
11002,2,0.5,100,within_neuron_deranged,own_state,-0.865749061108,-0.398671239614,-0.693843960762
11002,2,0.5,100,within_neuron_deranged,common_exact_state,-0.658870398998,-1.27498745918,-0.00961442757398
11002,2,0.5,100,backpropagation,own_state,1,1,0.00754080200568
11002,2,0.5,100,backpropagation,common_exact_state,1,1,0.00754080200568
11002,2,0.5,100,gated_point_emulation,own_state,1,1,0.00754080200568
11002,2,0.5,100,gated_point_emulation,common_exact_state,1,1,0.00754080200568
11002,2,0.5,250,neuron_shared_k1,own_state,0.525798380375,0.0783395543694,0.00215531443246
11002,2,0.5,250,neuron_shared_k1,common_exact_state,-0.0940685421228,-0.192827641964,-0.000320257735439
11002,2,0.5,250,correct_path,own_state,1,1,0.00166084966622
11002,2,0.5,250,correct_path,common_exact_state,1,1,0.00166084966622
11002,2,0.5,250,within_neuron_deranged,own_state,-0.896907508373,-0.426459699869,-0.932992458344
11002,2,0.5,250,within_neuron_deranged,common_exact_state,-0.321472048759,-1.38565528393,-0.0023013651371
11002,2,0.5,250,backpropagation,own_state,1,1,0.00166084966622
11002,2,0.5,250,backpropagation,common_exact_state,1,1,0.00166084966622
11002,2,0.5,250,gated_point_emulation,own_state,1,1,0.00166084966622
11002,2,0.5,250,gated_point_emulation,common_exact_state,1,1,0.00166084966622
11002,2,0.571428571429,0,neuron_shared_k1,own_state,0.998720943928,0.434942275286,0.190631642938
11002,2,0.571428571429,0,neuron_shared_k1,common_exact_state,0.998720943928,0.434942275286,0.190631642938
11002,2,0.571428571429,0,correct_path,own_state,1,1,0.438291817904
11002,2,0.571428571429,0,correct_path,common_exact_state,1,1,0.438291817904
11002,2,0.571428571429,0,within_neuron_deranged,own_state,-0.94721442461,-0.13011546433,-0.0570285432041
11002,2,0.571428571429,0,within_neuron_deranged,common_exact_state,-0.94721442461,-0.13011546433,-0.0570285432041
11002,2,0.571428571429,0,backpropagation,own_state,1,1,0.438291817904
11002,2,0.571428571429,0,backpropagation,common_exact_state,1,1,0.438291817904
11002,2,0.571428571429,0,gated_point_emulation,own_state,1,1,0.438291817904
11002,2,0.571428571429,0,gated_point_emulation,common_exact_state,1,1,0.438291817904
11002,2,0.571428571429,1,neuron_shared_k1,own_state,0.998678445816,0.431869268417,0.182609900832
11002,2,0.571428571429,1,neuron_shared_k1,common_exact_state,0.998614549637,0.427765995264,0.172511905432
11002,2,0.571428571429,1,correct_path,own_state,1,1,0.403285682201
11002,2,0.571428571429,1,correct_path,common_exact_state,1,1,0.403285682201
11002,2,0.571428571429,1,within_neuron_deranged,own_state,-0.945383727551,-0.128382787108,-0.0568564347923
11002,2,0.571428571429,1,within_neuron_deranged,common_exact_state,-0.954600572586,-0.144468039274,-0.0582618899643
11002,2,0.571428571429,1,backpropagation,own_state,1,1,0.403285682201
11002,2,0.571428571429,1,backpropagation,common_exact_state,1,1,0.403285682201
11002,2,0.571428571429,1,gated_point_emulation,own_state,1,1,0.403285682201
11002,2,0.571428571429,1,gated_point_emulation,common_exact_state,1,1,0.403285682201
11002,2,0.571428571429,10,neuron_shared_k1,own_state,0.997470617294,0.404164016247,0.126040190458
11002,2,0.571428571429,10,neuron_shared_k1,common_exact_state,0.990206539631,0.357949644327,0.0715308487415
11002,2,0.571428571429,10,correct_path,own_state,1,1,0.199834942818
11002,2,0.571428571429,10,correct_path,common_exact_state,1,1,0.199834942818
11002,2,0.571428571429,10,within_neuron_deranged,own_state,-0.923720955849,-0.114493653178,-0.0553141459823
11002,2,0.571428571429,10,within_neuron_deranged,common_exact_state,-0.94229644537,-0.284100741148,-0.0567732527852
11002,2,0.571428571429,10,backpropagation,own_state,1,1,0.199834942818
11002,2,0.571428571429,10,backpropagation,common_exact_state,1,1,0.199834942818
11002,2,0.571428571429,10,gated_point_emulation,own_state,1,1,0.199834942818
11002,2,0.571428571429,10,gated_point_emulation,common_exact_state,1,1,0.199834942818
11002,2,0.571428571429,50,neuron_shared_k1,own_state,0.972136616707,0.291168987751,0.0351919308305
11002,2,0.571428571429,50,neuron_shared_k1,common_exact_state,0.0894121527672,0.0274880640209,0.000747971411329
11002,2,0.571428571429,50,correct_path,own_state,1,1,0.0272107701749
11002,2,0.571428571429,50,correct_path,common_exact_state,1,1,0.0272107701749
11002,2,0.571428571429,50,within_neuron_deranged,own_state,-0.66116642952,-0.0976394563913,-0.065313115716
11002,2,0.571428571429,50,within_neuron_deranged,common_exact_state,-0.839200019836,-0.945023834705,-0.0257148258388
11002,2,0.571428571429,50,backpropagation,own_state,1,1,0.0272107701749
11002,2,0.571428571429,50,backpropagation,common_exact_state,1,1,0.0272107701749
11002,2,0.571428571429,50,gated_point_emulation,own_state,1,1,0.0272107701749
11002,2,0.571428571429,50,gated_point_emulation,common_exact_state,1,1,0.0272107701749
11002,2,0.571428571429,100,neuron_shared_k1,own_state,0.888234853745,0.188148006797,0.0124521683902
11002,2,0.571428571429,100,neuron_shared_k1,common_exact_state,-0.340732425451,-0.291186392307,-0.00219577900134
11002,2,0.571428571429,100,correct_path,own_state,1,1,0.00754080200568
11002,2,0.571428571429,100,correct_path,common_exact_state,1,1,0.00754080200568
11002,2,0.571428571429,100,within_neuron_deranged,own_state,-0.845085561275,-0.306780487299,-0.478625386953
11002,2,0.571428571429,100,within_neuron_deranged,common_exact_state,-0.701647400856,-1.58237278461,-0.0119323600084
11002,2,0.571428571429,100,backpropagation,own_state,1,1,0.00754080200568
11002,2,0.571428571429,100,backpropagation,common_exact_state,1,1,0.00754080200568
11002,2,0.571428571429,100,gated_point_emulation,own_state,1,1,0.00754080200568
11002,2,0.571428571429,100,gated_point_emulation,common_exact_state,1,1,0.00754080200568
11002,2,0.571428571429,250,neuron_shared_k1,own_state,0.509846270084,0.0584212392569,0.00219358410686
11002,2,0.571428571429,250,neuron_shared_k1,common_exact_state,-0.159383609891,-0.366931766272,-0.000609418493696
11002,2,0.571428571429,250,correct_path,own_state,1,1,0.00166084966622
11002,2,0.571428571429,250,correct_path,common_exact_state,1,1,0.00166084966622
11002,2,0.571428571429,250,within_neuron_deranged,own_state,-0.932505965233,-0.384257376194,-0.859662055969
11002,2,0.571428571429,250,within_neuron_deranged,common_exact_state,-0.356396406889,-1.73386347294,-0.00287968665361
11002,2,0.571428571429,250,backpropagation,own_state,1,1,0.00166084966622
