root_id,draw,dose_relative_to_local_input_conductance,perturbation,localization_index,signed_localization,descendant_attenuated_fraction,descendant_enhanced_fraction,descendant_sign_flip_fraction,descendant_gradient_energy_ratio,transport_selectivity
864691135060651419,25,4,focal shunt,1.358478807,-1.358478807,1,0,0,0.06366075314,74.32957515
864691135060651419,25,4,matched additive,0.6328075786,0.6328075786,0,1,0,5.20278542,74.32957515
864691135060651419,26,0.25,focal shunt,0.1610531785,-0.1610531785,1,0,0,0.7217910206,75.55436908
864691135060651419,26,0.25,matched additive,0.05489059063,0.05489059063,0,1,0,1.159570977,75.55436908
864691135060651419,26,1,focal shunt,0.5386088917,-0.5386088917,1,0,0,0.3351525931,75.55436908
864691135060651419,26,1,matched additive,0.2014764476,0.2014764476,0,1,0,1.716347805,75.55436908
864691135060651419,26,4,focal shunt,1.361906188,-1.361906188,1,0,0,0.06325590572,75.55436908
864691135060651419,26,4,matched additive,0.6241366566,0.6241366566,0,1,0,5.114413583,75.55436908
864691135060651419,27,0.25,focal shunt,0.1602835357,-0.1602835357,1,0,0,0.7228198367,74.55793123
864691135060651419,27,0.25,matched additive,0.05574761468,0.05574761468,0,1,0,1.161588332,74.55793123
864691135060651419,27,1,focal shunt,0.5367760564,-0.5367760564,1,0,0,0.336277436,74.55793123
864691135060651419,27,1,matched additive,0.2043586347,0.2043586347,0,1,0,1.726335947,74.55793123
864691135060651419,27,4,focal shunt,1.359087679,-1.359087679,1,0,0,0.0635770836,74.55793123
864691135060651419,27,4,matched additive,0.6312213686,0.6312213686,0,1,0,5.185065664,74.55793123
864691135060651419,28,0.25,focal shunt,0.1596124611,-0.1596124611,1,0,0,0.7239096245,73.87678069
864691135060651419,28,0.25,matched additive,0.05651980202,0.05651980202,0,1,0,1.16372504,73.87678069
864691135060651419,28,1,focal shunt,0.5351767174,-0.5351767174,1,0,0,0.3374695323,73.87678069
864691135060651419,28,1,matched additive,0.2069719293,0.2069719293,0,1,0,1.736917087,73.87678069
864691135060651419,28,4,focal shunt,1.356629165,-1.356629165,1,0,0,0.06391768164,73.87678069
864691135060651419,28,4,matched additive,0.6377708959,0.6377708959,0,1,0,5.259939192,73.87678069
864691135060651419,29,0.25,focal shunt,0.1598113622,-0.1598113622,1,0,0,0.7235132583,74.04429026
864691135060651419,29,0.25,matched additive,0.05628618972,0.05628618972,0,1,0,1.162946121,74.04429026
864691135060651419,29,1,focal shunt,0.5356447499,-0.5356447499,1,0,0,0.3370359655,74.04429026
864691135060651419,29,1,matched additive,0.2061914317,0.2061914317,0,1,0,1.733035434,74.04429026
864691135060651419,29,4,focal shunt,1.357339201,-1.357339201,1,0,0,0.06379395016,74.04429026
864691135060651419,29,4,matched additive,0.6358684578,0.6358684578,0,1,0,5.232156959,74.04429026
864691135060651419,30,0.25,focal shunt,0.1607150292,-0.1607150292,1,0,0,0.7222228493,75.01491204
864691135060651419,30,0.25,matched additive,0.05524969764,0.05524969764,0,1,0,1.160417424,75.01491204
864691135060651419,30,1,focal shunt,0.5377980434,-0.5377980434,1,0,0,0.3356242847,75.01491204
864691135060651419,30,1,matched additive,0.2026855219,0.2026855219,0,1,0,1.720528744,75.01491204
864691135060651419,30,4,focal shunt,1.360648799,-1.360648799,1,0,0,0.06339050152,75.01491204
864691135060651419,30,4,matched additive,0.6271180824,0.6271180824,0,1,0,5.143859713,75.01491204
864691135060651419,31,0.25,focal shunt,0.1593755797,-0.1593755797,1,0,0,0.7241628278,73.83805448
864691135060651419,31,0.25,matched additive,0.05677357801,0.05677357801,0,1,0,1.164216119,73.83805448
864691135060651419,31,1,focal shunt,0.5345953467,-0.5345953467,1,0,0,0.3377477968,73.83805448
864691135060651419,31,1,matched additive,0.2078583213,0.2078583213,0,1,0,1.739294034,73.83805448
864691135060651419,31,4,focal shunt,1.355708805,-1.355708805,1,0,0,0.06399791345,73.83805448
864691135060651419,31,4,matched additive,0.6401251639,0.6401251639,0,1,0,5.276049041,73.83805448
864691135060651419,32,0.25,focal shunt,0.1596735852,-0.1596735852,1,0,0,0.7237199279,73.82207818
864691135060651419,32,0.25,matched additive,0.05644202039,0.05644202039,0,1,0,1.163350153,73.82207818
864691135060651419,32,1,focal shunt,0.5353101105,-0.5353101105,1,0,0,0.3372625344,73.82207818
864691135060651419,32,1,matched additive,0.2067405303,0.2067405303,0,1,0,1.735026939,73.82207818
864691135060651419,32,4,focal shunt,1.356815398,-1.356815398,1,0,0,0.06385893511,73.82207818
864691135060651419,32,4,matched additive,0.6373509251,0.6373509251,0,1,0,5.246128968,73.82207818
864691135060651419,33,0.25,focal shunt,0.160084955,-0.160084955,1,0,0,0.7232663062,74.38729663
864691135060651419,33,0.25,matched additive,0.05598699209,0.05598699209,0,1,0,1.162464838,74.38729663
864691135060651419,33,1,focal shunt,0.5362982613,-0.5362982613,1,0,0,0.3367637502,74.38729663
864691135060651419,33,1,matched additive,0.2051900954,0.2051900954,0,1,0,1.730660731,74.38729663
864691135060651419,33,4,focal shunt,1.358346977,-1.358346977,1,0,0,0.06371544882,74.38729663
864691135060651419,33,4,matched additive,0.6334351591,0.6334351591,0,1,0,5.215464971,74.38729663
864691135060651419,34,0.25,focal shunt,0.1609251139,-0.1609251139,1,0,0,0.7218438691,75.0225307
864691135060651419,34,0.25,matched additive,0.0549841947,0.0549841947,0,1,0,1.159671331,75.0225307
864691135060651419,34,1,focal shunt,0.5382881669,-0.5382881669,1,0,0,0.3352135891,75.0225307
864691135060651419,34,1,matched additive,0.2017927409,0.2017927409,0,1,0,1.716848242,75.0225307
864691135060651419,34,4,focal shunt,1.361383043,-1.361383043,1,0,0,0.06327442282,75.0225307
864691135060651419,34,4,matched additive,0.6249146202,0.6249146202,0,1,0,5.117999632,75.0225307
864691135060651419,35,0.25,focal shunt,0.1579362048,-0.1579362048,1,0,0,0.7266344515,72.40863427
864691135060651419,35,0.25,matched additive,0.05847537841,0.05847537841,0,1,0,1.169074167,72.40863427
864691135060651419,35,1,focal shunt,0.5311958521,-0.5311958521,1,0,0,0.3404482756,72.40863427
864691135060651419,35,1,matched additive,0.2135869264,0.2135869264,0,1,0,1.763473052,72.40863427
864691135060651419,35,4,focal shunt,1.350534943,-1.350534943,1,0,0,0.06476773204,72.40863427
864691135060651419,35,4,matched additive,0.6542493644,0.6542493644,0,1,0,5.448714378,72.40863427
864691135060651419,36,0.25,focal shunt,0.1598738358,-0.1598738358,1,0,0,0.7234293195,73.96837826
864691135060651419,36,0.25,matched additive,0.05621652535,0.05621652535,0,1,0,1.162783323,73.96837826
864691135060651419,36,1,focal shunt,0.5357925495,-0.5357925495,1,0,0,0.3369424324,73.96837826
864691135060651419,36,1,matched additive,0.20596582,0.20596582,0,1,0,1.732229223,73.96837826
864691135060651419,36,4,focal shunt,1.357565531,-1.357565531,1,0,0,0.06376664605,73.96837826
864691135060651419,36,4,matched additive,0.6353619777,0.6353619777,0,1,0,5.226451792,73.96837826
864691135060651419,37,0.25,focal shunt,0.1604907852,-0.1604907852,1,0,0,0.7225363592,74.82303092
864691135060651419,37,0.25,matched additive,0.05551577768,0.05551577768,0,1,0,1.161031436,74.82303092
864691135060651419,37,1,focal shunt,0.5372626903,-0.5372626903,1,0,0,0.3359671978,74.82303092
864691135060651419,37,1,matched additive,0.2035971206,0.2035971206,0,1,0,1.723559007,74.82303092
